팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과,시즌 & 이름
01-03 성남FC 리그3연패 베스트,"2001년, 2002년, 2003년 K리그 3연패를 달성한 성남FC 선수들로 구성된 팀컬러입니다.",5명,-,-,-,골 결정력 +3 / 슛 파워 +2 /  / ,-,-,-,"['TKL 김도훈', 'TKL 김상식', 'TKL 윤정환', 'TKL 김영철', 'TKL 이기형', 'TKI 김도훈', 'TKI 윤정환', 'TKI 김영철', 'TKI 김상식']"
02 수원삼성 더블,2002년 FA컵과 아시아 챔피언스 리그를 우승한 수원삼성 블루윙즈 선수들로 구성된 팀컬러입니다.,5명,-,-,-,크로스 +2 / 반응 속도 +2 / 커브 +1 / ,-,-,-,"['BWC 이운재', 'CAP 이운재', 'TKL 김두현', 'TKL 이운재', 'TKL 서정원', 'TKL 고종수', 'TKL 신홍기', 'TKL 이기형', 'TKL 이병근', 'TKI 서정원', 'TKI 이운재', 'TKI 김두현', 'TKI 고종수', 'TKL 최성용', 'TKI 최성용', 'TKI 신홍기']"
09 포항 스틸러스 더블,2009년 리그컵과 아시아 챔피언스 리그를 우승한 포항 스틸러스 선수들로 구성된 팀컬러입니다.,5명,-,-,-,볼 컨트롤 +2 / 밸런스 +2 / 대인 수비 +1 / ,-,-,-,"['TKL 최효진', '20KLB 김광석', 'TKL 김기동', 'TKL 김광석', 'TKL 황지수', 'TKL 김재성', '20KL 김광석', '21KL 김광석', '19PLA 김광석', '18PLS 김광석', '18PLS 최효진', 'LIVE 김광석', '17 김재성', '21 최효진']"
10 FC서울 더블,2010년 K리그와 리그컵을 우승한 FC서울 선수들로 구성된 팀컬러입니다.,5명,-,-,-,골 결정력 +2 / 대인 수비 +2 / 헤더 +1 / ,-,-,-,"['TKL 데얀', '21KLB 김태환', 'TKL 정조국', 'TKL 최효진', 'TKL 고요한', '20KLB 김태환', 'TKL 최태욱', 'TKL 김태환', 'TKL 김진규', 'TKL 김치우', 'TKL 고명진', '22KFA 김태환', 'BWC 최태욱', 'TKL 현영민', 'VTR 데얀', 'TKI 최태욱', 'TKI 현영민', '22KL 고요한', '22KL 김태환', 'TKI 김진규', '21KL 고요한', '2019KFA 김태환', '21KL 김태환', '20KL 고요한', '20KL 데얀', '20KL 김태환', '20KL 고명진', '21KL 고명진', 'KFA 고요한', '20KL 김치우', '19PLA 김태환', '19PLA 고요한', '19PLA 데얀', '18PLS 고요한', '18PLS 데얀', '19PLA 정조국', '18PLS 정조국', '18PLS 정승용', '18PLS 최효진', '18PLS 김태환', 'LIVE 김태환', '20 정조국', '20 데얀', 'LIVE 고요한', 'LIVE 정승용', '19 정승용', '19 김치우', '21 최효진', 'LIVE 고명진', '19 문기한']"
13 포항 스틸러스 더블,2013년 K리그와 FA컵을 우승한 포항 스틸러스 선수들로 구성된 팀컬러입니다.,5명,-,-,-,스태미너 +2 / 짧은 패스 +2 / 시야 +1 / ,-,-,-,"['21KLB 신진호', '20KLB 김광석', 'TKL 김광석', 'TKL 김승대', 'TKL 황지수', 'TKL 고무열', 'TKL 신광훈', 'TKL 신진호', 'CAP 신진호', 'TKL 김재성', '22KL 신진호', '21KL 신진호', '21KL 김승대', '22KL 고무열', '20KL 신진호', '20KL 김광석', '20KL 김승대', 'OTW 김승대', '21KL 김광석', '21KL 고무열', '22KL 신광훈', '20KL 고무열', '19PLA 김승대', '21KL 신광훈', '19PLA 신진호', '20KL 신광훈', '19PLA 김광석', '18PLS 신진호', '18PLS 김승대', '19PLA 김원일', '18PLS 김광석', '18PLS 김원일', '19PLA 신광훈', 'LIVE 신진호', '18PLS 신광훈', 'LIVE 김광석', '19 김원일', 'LIVE 고무열', 'LIVE 신광훈', 'LIVE 김승대', '17 김재성']"
14-15 전북현대 리그연패 베스트,"2014년, 2015년 K리그 2연패를 달성한 전북현대 선수들로 구성된 팀컬러입니다.",5명,-,-,-,골 결정력 +2 / 가속력 +2 / 크로스 +1 / ,-,-,-,"['BWC 김남일', 'TKL 이동국', 'FA 이재성', '22KFA 이재성', '21KLB 김기희', 'TKL 이근호', 'TKL 이재성', '21KLB 한교원', 'TKL 레오나르두', '20KLB 한교원', 'CAP 김남일', 'WC22 이재성', '21KLB 이승기', '21KLB 이범수', 'TKL 이승기', 'TKL 김남일', '2012KH 김기희', 'TKL 최철순', '20KLB 권경원', 'TKL 한교원', 'TKL 최은성', 'TKL 최보경', 'TKL 김인성', 'VTR 이동국', '22KFA 권경원', 'TKI 김남일', 'TKL 김동찬', 'TKL 이주용', 'LH 이동국', '2019KFA 이재성', 'TKL 권경원', 'LH 이근호', 'TKL 장윤호', '2019KFA 최철순', '22PLA 이재성', '2019KFA 권경원', 'TKL 이범수', '22KL 이승기', '22KL 한교원', 'TKI 최은성', 'KFA 이재성', 'OTW 레오나르두', '21KL 한교원', '21KL 이승기', '21PLA 이재성', '20KL 이승기', '20KL 김인성', '21KL 김인성', '20KL 최철순', '20KL 이근호', '21KL 이근호', '21KL 최철순', '20KL 한교원', '21KL 김기희', '19PLA 레오나르두', 'KFA 이근호', '20KL 이동국', '19PLA 이동국', '20KL 권경원', '19PLA 이승기', '20KL 최보경', '20KL 장윤호', '22KL 이주용', '21KL 이범수', '19PLA 최철순', '19PLA 김인성', '19PLA 이근호', '21KL 이주용', 'KFA 권경원', 'KFA 장윤호', '18PLS 이승기', '18PLS 이근호', '18PLS 최철순', '19PLA 한교원', 'LIVE 이재성', '18PLS 김인성', '19PLA 권경원', '18PLS 한교원', '18PLS 이동국', '19PLA 최보경', '18PLS 권경원', '19PLA 장윤호', 'NHD 이근호', '18PLS 최보경', '18PLS 장윤호', '19PLA 이범수', 'NHD 이동국', 'LIVE 김기희', '19 레오나르두', '21 권경원', '18PLS 이주용', 'LIVE 이승기', 'LIVE 한교원', '20 이동국', 'LIVE 김인성', 'LIVE 최철순', '19 김동찬', 'LIVE 이주용', 'LIVE 이근호', 'LIVE 이범수']"
17-19 전북현대 리그3연패 베스트,"2017년, 2018년, 2019년 K리그 3연패를 달성한 전북현대 선수들로 구성된 팀컬러입니다.",5명,-,-,-,밸런스 +2 / 짧은 패스 +2 / 크로스 +1 / ,-,-,-,"['SPL 김민재', 'WC22 김민재', '22KFA 김민재', 'TKL 이동국', 'FA 이재성', 'TKL 김신욱', '22KFA 이재성', '21KLB 김기희', 'TKL 이재성', '21KLB 한교원', 'TKL 김민재', '20KLB 한교원', 'WC22 이재성', '21KLB 이승기', 'TKL 이승기', 'TKL 이용', '2012KH 김기희', 'TKL 최철순', '20KLB 권경원', 'TKL 김진수', '22KFA 김진수', 'TKL 고무열', 'TKL 한교원', '20KLB 이용', 'TKL 최보경', '22KFA 이용', 'WC22 김진수', 'VTR 이동국', '22KFA 권경원', 'WC22 이용', '2019KFA 김신욱', '22PLA 김민재', 'TKL 이주용', 'LH 이동국', '2019KFA 이용', '2019KFA 이재성', '2019KFA 김민재', 'TKL 권경원', '19TOTS 이용', 'TKL 장윤호', '2019KFA 최철순', '22PLA 이재성', 'LH 김신욱', '2019KFA 권경원', 'OTW 김신욱', '22KL 이승기', '22KL 한교원', '2019KFA 김진수', 'KFA 이재성', '21KL 이용', '21KL 한교원', '21KL 이승기', '21PLA 이재성', '22KL 고무열', '20KL 이용', '22KL 김진수', '20KL 이승기', '20KL 김진수', '20KL 최철순', 'KFA 김신욱', 'KFA 김진수', '22KL 이용', '19PLA 김진수', '21KL 최철순', 'KFA 김민재', '20KL 한교원', '21KL 고무열', '21KL 김기희', '20KL 이동국', '19PLA 이동국', '19PLA 김신욱', '20KL 권경원', '20KL 고무열', '19PLA 이승기', '19PLA 김민재', '20KL 최보경', '20KL 장윤호', '22KL 이주용', 'KFA 이용', '19PLA 최철순', '18PLS 김신욱', '21KL 이주용', 'KFA 권경원', 'KFA 장윤호', 'LIVE 김민재', '18PLS 김진수', '19PLA 이용', '18PLS 이승기', '18PLS 김민재', 'NHD 김신욱', '18PLS 최철순', '19PLA 한교원', 'LIVE 이재성', '18PLS 이용', '19PLA 권경원', '20 김신욱', '18PLS 한교원', '18PLS 이동국', '19PLA 최보경', '18PLS 권경원']"
2002 대한민국,2002 대한민국 선수들로 구성된 팀컬러입니다.,5명,-,-,-,스태미너 +2 / 몸싸움 +2 / 적극성 +1 / ,-,-,-,"['ICON 박지성', 'BWC 안정환', 'BWC 유상철', 'BWC 홍명보', 'LN 박지성', 'BWC 이영표', 'BWC 박지성', 'BWC 송종국', 'CAP 박지성', 'BWC 설기현', 'BWC 이을용', 'BWC 이운재', 'BWC 황선홍', 'UP 박지성', 'CAP 홍명보', 'BWC 최진철', 'BWC 김태영', 'BTB 박지성', 'CAP 유상철', 'BWC 김남일', 'TKL 홍명보', 'TKL 유상철', 'BWC 이천수', 'CAP 이운재', 'TKL 안정환', 'TKL 이천수', 'TKL 최용수', 'TKL 이운재', 'LH 박지성', 'TKL 최진철', 'CAP 김남일', 'TKL 김병지', 'TKL 황선홍', 'TKL 김태영', 'TKL 송종국', 'TKL 김남일', 'TKL 차두리', 'BWC 이민성', 'TKL 윤정환', 'BWC 차두리', 'TKL 이영표', 'TKL 최태욱', 'TKL 이민성', 'BWC 최용수', 'BWC 최태욱', 'TKL 최은성', 'TKI 홍명보', 'TKI 황선홍', 'TKL 현영민', 'TKI 박지성', 'TKL 이을용', 'TKI 이영표', 'TKI 유상철', 'TKI 안정환', 'TKI 최용수', 'TKI 김병지', 'TKI 이운재', 'TKI 이천수', 'TKI 최진철', 'TKI 김남일', 'TKI 김태영', 'TKI 설기현', 'TKL 최성용', 'TKI 이을용', 'TKI 송종국', 'TKI 윤정환', 'TKI 차두리', 'TKL 설기현', 'TKI 이민성', 'TKI 최태욱', 'TKI 최은성', 'TKI 현영민', 'TKI 최성용']"
2006 잉글랜드,2006 잉글랜드 선수들로 구성된 팀컬러입니다.,5명,-,-,-,긴 패스 +2 / 중거리 슛 +2 / 속력 +1 / ,-,-,-,"['ICON 데이비드 베컴', 'ICON 웨인 루니', 'ICON 마이클 오언', 'LN 프랭크 램파드', 'LN 스티븐 제라드', 'ICON 프랭크 램파드', 'ICON 리오 퍼디난드', 'ICON 스티븐 제라드', 'RMCF 데이비드 베컴', 'LN 리오 퍼디난드', 'LN 웨인 루니', 'LN 데이비드 베컴', 'CFA 프랭크 램파드', 'BTB 프랭크 램파드', 'ICON 솔 캠벨', 'FA 솔 캠벨', 'LN 마이클 오언', 'ICON 애슐리 콜', 'LN 애슐리 콜', 'CAP 스티븐 제라드', 'CAP 프랭크 램파드', 'CAP 리오 퍼디난드', 'BTB 리오 퍼디난드', 'BTB 웨인 루니', 'ICON 게리 네빌', 'CFA 조 콜', 'BTB 게리 네빌', 'BTB 데이비드 베컴', 'LN 조 콜', 'EBS 프랭크 램파드', 'CAP 데이비드 베컴', 'FA 웨인 루니', 'BTB 조 콜', '22HR 조 콜', 'EBS 스티븐 제라드', 'CAP 솔 캠벨', 'NTG 데이비드 베컴', 'CFA 애슐리 콜', 'LA 스티븐 제라드', 'FA 프랭크 램파드', 'FA 스티븐 제라드', 'VTR 웨인 루니', 'EBS 마이클 오언', 'LA 마이클 오언', 'EBS 데이비드 베컴', 'MOG 프랭크 램파드', 'EBS 솔 캠벨', 'CAP 게리 네빌', 'EBS 애슐리 콜', 'HOT 프랭크 램파드', 'HOT 스티븐 제라드', 'LH 웨인 루니', 'EBS 게리 네빌', 'VTR 시오 월콧', 'LH 프랭크 램파드', 'LH 스티븐 제라드', 'HOT 리오 퍼디난드', 'LH 마이클 오언', 'GR 웨인 루니', 'TC 프랭크 램파드', 'TC 스티븐 제라드', 'HOT 마이클 오언', 'LH 리오 퍼디난드', 'HOT 게리 네빌', 'HOT 솔 캠벨', 'TC 웨인 루니', 'GR 시오 월콧', 'TC 리오 퍼디난드', 'LH 솔 캠벨', 'TT 마이클 오언', 'TT 리오 퍼디난드', 'TT 솔 캠벨', 'TC 애슐리 콜', 'LH 게리 네빌', 'EBS 시오 월콧', 'TC 피터 크라우치', 'NHD 마이클 오언', 'TC 시오 월콧', 'NHD 솔 캠벨', 'NHD 리오 퍼디난드', 'NHD 웨인 루니', 'TT 시오 월콧', '21PLA 시오 월콧', 'NHD 마이클 캐릭', 'NHD 게리 네빌', 'TC 솔 캠벨', '19PLS 시오 월콧', '19PLA 시오 월콧', 'TB 웨인 루니', '18PLS 시오 월콧', 'NHD 피터 크라우치', '18PLS 아론 레넌', '17 마이클 캐릭', '17 존 테리', '20 웨인 루니', 'TC 마이클 오언', '21 아론 레넌', 'LIVE 시오 월콧', '18 피터 크라우치', '18 애슐리 콜']"
2019 U-20 대한민국,2019 U-20 대한민국 선수들로 구성된 팀컬러입니다.,5명,-,-,-,볼 컨트롤 +2 / 긴 패스 +2 / 짧은 패스 +1 / ,-,-,-,"['FA 이강인', '21KFA 이강인', '21KLB 조영욱', '20KLB 엄원상', '21KFA 엄원상', '19NG 이강인', '22KFA 엄원상', '22KFA 조영욱', 'TKL 조영욱', 'TKL 전진우', '22KL 엄원상', 'TKL 오세훈', '2019KFA 이강인', '22PLA 이강인', '21PLA 이강인', '20PLA 이강인', 'TKL 엄원상', '19UCL 이강인', 'TKL 이지솔', 'TKL 김주성', '19PLS 이강인', '22KL 조영욱', '20KL 엄원상', '21KL 엄원상', '20KL 조영욱', '20KL 전진우', '2019KFA 김현우', '2019KFA 이광연', '22KL 이지솔', '2019KFA 조영욱', '21KL 조영욱', '2019KFA 오세훈', '2019KFA 이재익', '2019KFA 이지솔', '20KL 오세훈', '2019KFA 정호진', '2019KFA 최준', '21KL 박태준', '21KL 이광연', 'KFA 김정민', '2019KFA 김세윤', '2019KFA 김정민', '19PLA 조영욱', '2019KFA 엄원상', '2019KFA 황태현', '2019KFA 전진우', '2019KFA 고재현', '2019KFA 최민수', 'LIVE 엄원상', 'LIVE 이강인', '19PLA 전진우', '2019KFA 박태준', '2019KFA 김주성', '18PLS 조영욱', '20KL 이광연', '2019KFA 박지민', '2019KFA 이규혁', '2019KFA 이상준', '20KL 김주성', 'LIVE 조영욱', 'LIVE 최준', '21 오세훈', 'LIVE 전진우', 'LIVE 이재익', 'LIVE 황태현', 'LIVE 김정민', 'LIVE 고재현', 'LIVE 이지솔', 'LIVE 박태준', 'LIVE 이광연', '18 이재익', 'LIVE 박지민', 'LIVE 정호진', 'LIVE 김주성', '20 최민수', 'LIVE 김현우', 'LIVE 김세윤', '21 이상준', 'LIVE 이규혁']"
