pk,price
246158856,"38,600,000 "
246161754,"13,500,000 "
246162131,"63,800,000 "
246162240,"19,100,000 "
246162329,"8,740,000 "
246162347,"41,000,000 "
246163083,"18,000,000 "
246163587,"88,300,000 "
246164082,"87,900,000 "
246164376,"9,050,000 "
246164477,"18,300,000 "
246164959,"10,900,000 "
246164994,"27,500,000 "
246165788,"12,600,000 "
246168530,"24,800,000 "
246168609,"516,000,000 "
246168651,"128,000,000 "
246169181,"13,800,000 "
246169588,"8,430,000 "
246170890,"35,200,000 "
246171579,"16,500,000 "
246171688,"14,400,000 "
246171897,"12,000,000 "
246172049,"30,800,000 "
246172672,"41,700,000 "
246172862,"18,000,000 "
246172962,"54,400,000 "
246173373,"16,300,000 "
246173521,"44,000,000 "
246173771,"1,170,000,000 "
246173818,"4,710,000 "
246176600,"13,300,000 "
246177326,"8,950,000 "
246177458,"35,000,000 "
246177610,"43,500,000 "
246177845,"131,000,000 "
246178224,"20,900,000 "
246178319,"19,100,000 "
246179527,"8,200,000 "
246179560,"10,300,000 "
246179846,"232,000,000 "
246180403,"27,400,000 "
246181098,"12,000,000 "
246181458,"11,000,000 "
246183130,"15,300,000 "
246183280,"10,800,000 "
246183285,"15,300,000 "
246183376,"9,880,000 "
246183427,"8,050,000 "
246183512,"11,600,000 "
246183556,"128,000,000 "
246183569,"4,160,000 "
246183855,"9,100,000 "
246183940,"9,510,000 "
246184087,"36,900,000 "
246184089,"8,310,000 "
246184134,"12,100,000 "
246184255,"10,500,000 "
246184431,"8,730,000 "
246184432,"87,300,000 "
246185020,"9,100,000 "
246185103,"22,500,000 "
246185221,"13,300,000 "
246186132,"17,800,000 "
246186146,"7,820,000 "
246186452,"26,700,000 "
246186456,"23,900,000 "
246186569,"19,500,000 "
246186942,"43,400,000 "
246188152,"20,500,000 "
246188177,"18,800,000 "
246188802,"12,600,000 "
246188943,"22,900,000 "
246189251,"12,900,000 "
246189332,"41,900,000 "
246189505,"130,000,000 "
246189511,"132,000,000 "
251189511,"132,000,000 "
246189511,"133,000,000 "
251189511,"133,000,000 "
246189725,"11,300,000 "
246190483,"350,000,000 "
246190531,"9,440,000 "
246190778,"10,500,000 "
246190779,"13,500,000 "
