nation_pk,club_pk,name,pk
002,"0196,1030,1083,1651",크리스티안 겐트너,246158856
004,"0798,0851,0976,1047,1274,1386,1476,1498,1850",하비 가르시아,246161754
004,"0460,0836,1169,1176,1390,1501,1632,1906,2005",요렌테,246162131
014,"0374,0432,1181,1454,1874,2005",무사 뎀벨레,246162240
035,"0164,0240,0537,0763,1631,2038",K. 엘아흐마디,246162329
010,"0061,0781,0808,1309,1495,1738",주앙 무티뉴,246162347
010,"0054,0290,0460,0550,1281,1309,1328",홀란두,246163083
017,"0434,0842,0976,1687,1812,1850,1861,1869,1945,1973,2033",카스퍼 슈마이켈,246163587
008,"0091,0123,0309,1215,1701,1906",아드리아누,246164082
007,"0046,0357,0918,1222,1456,1620,1631,1723,1874,1944",그라치아노 펠레,246164376
031,"0472,1031,1294,1529,1670,2019",존 오비 미켈,246164477
038,"0063,0433,0595,0662,1328,1406,1421,1500,1843,1906,2019",스테판 음비아,246164959
011,"1030,1219,1371,1732,1859",J. 브와슈치코프스키,246164994
005,"0237,0557,0658,0850,1063,1223,1381,1450,1626,2033",레오나르도 우조아,246165788
008,"0067,0199,0439,0559,0632,0777,0865,1193,1476,1767,1886",자르델,246168530
008,"0091,0139,0290,1066,1624,1893",미란다,246168609
025,"0532,0573,1701,1906",이반 라키티치,246168651
009,"0009,0374,1573,1631,1661,2064",케너트 베르메이르,246169181
016,"0012,0211,1285,2033,2080",조니 에번스,246169588
003,"1114,1169,1229,1510,1844",블레즈 마튀이디,246170890
004,"0836,1498,1893",라울 가르시아,246171579
010,"0691,0808,1047,1241,1476,1641,1738",파비우 코엔트랑,246171688
041,"0231,0370,0672,0779,1275,1386",안드레스 과르다도,246171897
009,"0164,0498,0577,1169,1222,1631,1743,1789,2025",엘리에로 엘리아,246172049
010,"0357,0550,0681,0718,0749,0933,1246,1285,1309,1738,1886,1990",바렐라,246172672
046,"0330,0692,0918,1647,1874,2025,2064",N. 모이산데르,246172862
031,"0120,0184,0212,0290,0435,0610,0926,1031,1529",빅터 모지스,246172962
005,"0211,0808,0813,0918,1208,1874,1913",세르히오 로메로,246173373
004,"0492,0526,1309,1520,1691,1692,1934",마르카노,246173521
011,"1099,1250,1495,1732,1896",우카시 피슈체크,246173771
004,"0231,0907,1309,1336,1498,1636,1691,1893",아드리안 로페스,246173818
003,"0672,0737,1482,1510,1893,1906",케빈 가메이로,246176600
003,"0212,1328,1502,1520,1623,1662,1702,2024",마티외 발부에나,246177326
002,"0370,1295,1732,1813",스벤 벤더,246177458
004,"0093,0143,0836,1304,1498",하비 마르티네스,246177610
009,"0063,1701,1717,1955,2064",프랑크 더부르,246177845
041,"0211,0370,0610,1047,1092,1108,1253,1906",치차리토,246178224
009,"0164,1425,1647,1743",바우트 브라마,246178319
003,"0063,0120,0214,0433,0470,0492,0921,1096,1252,1328,1529,1765,1812,1974,2024",로이크 레미,246179527
028,"0329,0590,1188,1476,2064",미랄렘 술레이마니,246179560
002,"1047,1169,1250,1651,1901",사미 케디라,246179846
008,"0070,0183,0656,1072,1181,1529",윌리안,246180403
040,"0337,0955,1009,1030",하세베 마코토,246181098
025,"0009,0290,0567,1030,1066,1304,1732,2005",이반 페리시치,246181458
001,"0435,0763,2033",마크 올브라이턴,246183130
003,"0051,0212,0214,0453,0672,0851,1114,1328,1906,1963",아딜 라미,246183280
003,"0120,0184,1499,1510",마마두 사코,246183285
028,"1188,1476,1520,1636,1884,2038",류보미르 페이사,246183376
001,"0763,0771,0842,0976,1850",페이비언 델프,246183427
004,"0561,0836,1042,1129,1272,1390,1510,1645,2005",유리 베르치체,246183512
028,"0028,0168,0804,1083,1307,1732,1844,1992",네벤 수보티치,246183556
038,"0168,0532,0577,0955,1031,1304,1510",E. 추포-모팅,246183569
007,"0482,0610,1169,1620",안젤로 오그본나,246183855
