pk,season,season_pk
246158856,UP,246
246161754,UP,246
246162131,UP,246
246162240,UP,246
246162329,UP,246
246162347,UP,246
246163083,UP,246
246163587,UP,246
246164082,UP,246
246164376,UP,246
246164477,UP,246
246164959,UP,246
246164994,UP,246
246165788,UP,246
246168530,UP,246
246168609,UP,246
246168651,UP,246
246169181,UP,246
246169588,UP,246
246170890,UP,246
246171579,UP,246
246171688,UP,246
246171897,UP,246
246172049,UP,246
246172672,UP,246
246172862,UP,246
246172962,UP,246
246173373,UP,246
246173521,UP,246
246173771,UP,246
246173818,UP,246
246176600,UP,246
246177326,UP,246
246177458,UP,246
246177610,UP,246
246177845,UP,246
246178224,UP,246
246178319,UP,246
246179527,UP,246
246179560,UP,246
246179846,UP,246
246180403,UP,246
246181098,UP,246
246181458,UP,246
246183130,UP,246
246183280,UP,246
246183285,UP,246
246183376,UP,246
246183427,UP,246
246183512,UP,246
246183556,UP,246
246183569,UP,246
246183855,UP,246
246183940,UP,246
246184087,UP,246
246184089,UP,246
246184134,UP,246
246184255,UP,246
246184431,UP,246
246184432,UP,246
246185020,UP,246
246185103,UP,246
246185221,UP,246
246186132,UP,246
246186146,UP,246
246186452,UP,246
246186456,UP,246
246186569,UP,246
246186942,UP,246
246188152,UP,246
246188177,UP,246
246188802,UP,246
246188943,UP,246
246189251,UP,246
246189332,UP,246
246189505,UP,246
246189511,UP,246
251189511,EBS,251
246189511,UP,246
251189511,EBS,251
246189725,UP,246
246190483,UP,246
246190531,UP,246
246190778,UP,246
246190779,UP,246
246191180,UP,246
246192362,UP,246
246192620,UP,246
246192638,UP,246
246192841,UP,246
246193041,UP,246
246193061,UP,246
246193082,UP,246
246193105,UP,246
246193158,UP,246
246193348,UP,246
246193474,UP,246
246194022,UP,246
246194365,UP,246
246195363,UP,246
246198006,UP,246
246198031,UP,246
246198200,UP,246
246198329,UP,246
246198784,UP,246
246198868,UP,246
246198950,UP,246
246199069,UP,246
246199304,UP,246
246199564,UP,246
246199566,UP,246
246199987,UP,246
237200108,MC,237
246200108,UP,246
237200108,MC,237
246200108,UP,246
246200111,UP,246
246200215,UP,246
246200223,UP,246
246200315,UP,246
246200724,UP,246
246200759,UP,246
246200949,UP,246
218233419,OTW,218
246201400,UP,246
218233419,OTW,218
246201400,UP,246
246201510,UP,246
246201942,UP,246
246202101,UP,246
246202135,UP,246
246202166,UP,246
246202371,UP,246
246202685,UP,246
246203280,UP,246
246203299,UP,246
246203485,UP,246
272203485,BWC,272
246203485,UP,246
272203485,BWC,272
246203574,UP,246
246203757,UP,246
246203888,UP,246
246203965,UP,246
246204366,UP,246
246204838,UP,246
246204963,UP,246
246205069,UP,246
246205193,UP,246
246205600,UP,246
246205601,UP,246
246205756,UP,246
246205995,UP,246
246206058,UP,246
246207410,UP,246
246208141,UP,246
246208230,UP,246
246208333,UP,246
246208618,UP,246
246208777,UP,246
246209499,UP,246
246209658,UP,246
246209769,UP,246
246209818,UP,246
246210008,UP,246
260210008,21UCL,260
246210008,UP,246
260210008,21UCL,260
246210243,UP,246
237210897,MC,237
246210897,UP,246
237210897,MC,237
246210897,UP,246
246211256,UP,246
246211320,UP,246
246211990,UP,246
246212190,UP,246
246212404,UP,246
246212523,UP,246
246212755,UP,246
246212811,UP,246
246213135,UP,246
246213345,UP,246
246214047,UP,246
246219683,UP,246
246219809,UP,246
246220440,UP,246
246220814,UP,246
246221363,UP,246
246221660,UP,246
246222558,UP,246
246223061,UP,246
246224411,UP,246
246225100,UP,246
246225850,UP,246
246225953,UP,246
246226226,UP,246
246226229,UP,246
246226851,UP,246
246227535,UP,246
246227633,UP,246
246228687,UP,246
246229636,UP,246
246230658,UP,246
246232411,UP,246
246234568,UP,246
246236401,UP,246
246238857,UP,246
246239053,UP,246
246241084,UP,246
246241852,UP,246
246243781,UP,246
247165889,2012KH,247
247176368,2012KH,247
247176389,2012KH,247
247180283,2012KH,247
247182152,2012KH,247
247191909,2012KH,247
247191924,2012KH,247
247191980,2012KH,247
247193144,2012KH,247
247199183,2012KH,247
247199266,2012KH,247
247200592,2012KH,247
247201528,2012KH,247
247203002,2012KH,247
247207730,2012KH,247
247211002,2012KH,247
247211003,2012KH,247
293211003,22KFA,293
247232626,2012KH,247
249000250,NTG,249
249007763,NTG,249
249007826,NTG,249
249009676,NTG,249
249010535,NTG,249
249023174,NTG,249
249049369,NTG,249
249117106,NTG,249
249121939,NTG,249
249140601,NTG,249
249167135,NTG,249
249167198,NTG,249
249243781,NTG,249
249248146,NTG,249
249254642,NTG,249
250020801,21TOTS,250
250120533,21TOTS,250
250124375,21TOTS,250
250146536,21TOTS,250
250158023,21TOTS,250
250162328,21TOTS,250
250165153,21TOTS,250
250167495,21TOTS,250
250171791,21TOTS,250
250175943,21TOTS,250
250176580,21TOTS,250
250178086,21TOTS,250
250178603,21TOTS,250
250179605,21TOTS,250
250182521,21TOTS,250
250183898,21TOTS,250
250186153,21TOTS,250
250186345,21TOTS,250
250186942,21TOTS,250
250188545,21TOTS,250
250189332,21TOTS,250
250189596,21TOTS,250
250190674,21TOTS,250
250190815,21TOTS,250
250190871,21TOTS,250
250192119,21TOTS,250
250192366,21TOTS,250
250192387,21TOTS,250
250192505,21TOTS,250
250192629,21TOTS,250
250192984,21TOTS,250
250192985,21TOTS,250
250193041,21TOTS,250
250193082,21TOTS,250
250193165,21TOTS,250
250193408,21TOTS,250
250193983,21TOTS,250
250197655,21TOTS,250
250198031,21TOTS,250
250198176,21TOTS,250
250198219,21TOTS,250
250198658,21TOTS,250
250199110,21TOTS,250
250199434,21TOTS,250
250199451,21TOTS,250
250200104,21TOTS,250
250200145,21TOTS,250
250200260,21TOTS,250
250200389,21TOTS,250
250200610,21TOTS,250
250201095,21TOTS,250
250201535,21TOTS,250
250202024,21TOTS,250
250202126,21TOTS,250
250202556,21TOTS,250
250202811,21TOTS,250
250203483,21TOTS,250
250203574,21TOTS,250
250204923,21TOTS,250
250205705,21TOTS,250
250205988,21TOTS,250
250206511,21TOTS,250
250206517,21TOTS,250
250206534,21TOTS,250
250207865,21TOTS,250
250208045,21TOTS,250
250208093,21TOTS,250
250208165,21TOTS,250
250208418,21TOTS,250
250208574,21TOTS,250
250208618,21TOTS,250
250208830,21TOTS,250
250208919,21TOTS,250
250209331,21TOTS,250
250209519,21TOTS,250
250209658,21TOTS,250
250209889,21TOTS,250
250210035,21TOTS,250
250210257,21TOTS,250
250210411,21TOTS,250
250210514,21TOTS,250
250210935,21TOTS,250
250212187,21TOTS,250
250212198,21TOTS,250
250212269,21TOTS,250
250212616,21TOTS,250
250212622,21TOTS,250
250213345,21TOTS,250
250213516,21TOTS,250
250215698,21TOTS,250
250216320,21TOTS,250
250216354,21TOTS,250
250216393,21TOTS,250
250216547,21TOTS,250
250216594,21TOTS,250
250219686,21TOTS,250
250220651,21TOTS,250
250220735,21TOTS,250
250221992,21TOTS,250
250223697,21TOTS,250
250223848,21TOTS,250
250224232,21TOTS,250
250224490,21TOTS,250
250225085,21TOTS,250
250225850,21TOTS,250
250226161,21TOTS,250
250228279,21TOTS,250
250228702,21TOTS,250
250228941,21TOTS,250
