season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
212,18TOTY,19,ST,93,94,95,96,96,95,97,89,87,83,84,86,79,84,83,89,95,89,78,98,30,33,31,91,25,87,90,65,97,97,9,13,17,13,16,93,91,92,91,90,90,82,90,63,67,56,67,63,56,63,22
212,18TOTY,19,LW,93,93,97,97,94,91,90,93,93,90,88,93,84,88,87,95,94,91,69,92,38,51,48,90,39,91,90,71,91,84,19,16,16,15,15,93,93,92,93,91,92,86,92,71,74,64,74,70,64,70,24
212,18TOTY,17,RB,89,92,92,80,86,88,87,78,77,81,78,90,82,87,86,91,84,93,85,91,90,90,91,77,90,78,92,93,80,79,19,15,16,15,17,84,86,85,86,85,86,84,86,86,89,86,89,89,86,89,24
212,18TOTY,18,CB,92,80,83,77,81,75,74,77,79,85,83,86,83,84,75,77,83,79,83,83,95,97,94,92,96,88,86,95,83,82,19,15,15,16,19,80,80,80,80,80,81,83,81,89,88,92,88,89,92,89,24
212,18TOTY,18,RW,93,91,99,98,87,87,88,91,86,93,90,92,86,94,95,96,96,96,90,94,27,53,43,81,50,82,89,58,87,93,17,13,17,18,16,91,93,93,93,93,93,87,93,70,74,61,74,70,61,70,24
212,18TOTY,17,LB,90,90,93,77,82,83,83,71,73,84,80,91,85,81,82,89,87,91,88,89,92,91,92,80,92,83,91,89,78,80,15,17,19,18,18,83,86,84,86,85,86,85,86,88,90,88,90,90,88,90,25
212,18TOTY,16,LB,90,93,88,80,87,85,93,80,64,90,88,91,86,76,88,100,93,101,98,89,88,92,90,84,94,85,91,90,87,90,15,8,8,12,8,88,91,90,91,90,91,90,91,89,91,89,91,90,89,90,19
212,18TOTY,18,CM,92,81,81,79,82,90,92,88,86,96,92,89,92,83,85,90,95,91,94,90,86,88,88,64,86,80,91,81,73,95,20,19,15,18,18,84,89,88,89,90,89,92,89,89,88,84,88,87,83,87,26
212,18TOTY,17,CB,88,77,75,55,84,71,63,68,85,87,82,72,86,78,78,70,86,73,68,80,93,91,86,90,92,89,82,88,86,87,15,17,15,20,20,74,74,74,74,77,76,81,76,87,83,88,83,84,89,84,24
212,18TOTY,18,CAM,91,88,89,91,89,92,91,86,83,95,90,91,91,89,87,92,93,83,79,88,53,76,77,73,58,86,93,88,77,90,19,14,18,18,15,88,91,90,91,91,91,90,91,82,82,75,82,79,74,79,24
212,18TOTY,15,GK,91,62,57,24,41,28,24,17,44,54,70,31,54,35,28,32,52,82,63,83,31,31,42,28,31,62,48,59,73,53,95,91,89,97,90,40,45,45,45,50,47,51,47,49,45,43,45,44,43,44,91
212,18TOTY,18,ST,91,90,91,96,91,90,89,89,91,86,85,83,81,84,91,91,93,81,74,91,61,54,53,88,57,89,87,85,81,82,16,16,17,19,18,91,89,90,89,89,88,84,88,74,75,70,75,73,71,73,25
212,18TOTY,17,CDM,91,87,86,71,79,81,86,78,73,92,89,80,87,69,68,88,91,89,92,88,94,95,91,69,92,83,93,92,70,89,16,16,15,13,12,81,85,85,85,87,86,89,86,91,89,88,89,89,88,89,22
