season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
247,2012KH,23,ST,102,108,107,104,101,105,108,99,102,96,98,90,89,105,108,103,101,108,100,101,48,48,54,95,55,100,99,92,107,102,17,16,16,15,20,102,101,102,101,101,100,93,100,78,81,72,81,77,73,77,26
247,2012KH,20,RB,100,103,99,72,83,92,92,73,64,90,81,104,87,80,92,99,93,99,89,100,104,100,104,92,99,94,105,90,85,93,16,16,18,17,23,89,93,91,93,90,94,92,94,96,100,97,100,100,97,100,27
247,2012KH,18,GK,101,68,36,19,50,25,26,17,17,47,39,24,41,23,22,23,39,69,77,88,29,26,37,28,36,93,44,66,85,80,100,105,103,103,107,40,37,39,37,40,39,41,39,44,41,45,41,41,46,41,101
247,2012KH,21,CM,101,92,88,90,109,108,94,89,91,105,104,99,108,103,107,98,104,90,99,92,90,97,90,92,90,100,104,100,90,107,22,17,20,19,17,96,97,98,97,99,98,101,98,98,96,94,96,95,94,95,26
247,2012KH,21,CAM,102,101,97,97,103,103,106,97,96,108,102,96,100,91,99,103,99,103,100,103,80,82,81,94,72,91,107,99,100,103,23,24,20,22,19,100,101,101,101,102,101,100,101,93,93,87,93,90,87,90,30
247,2012KH,19,ST,97,100,93,97,100,92,101,104,86,87,87,71,60,70,83,95,91,86,89,99,54,59,62,100,57,98,98,63,93,88,20,18,14,22,23,97,91,94,91,91,90,84,90,74,77,73,77,76,72,76,29
247,2012KH,17,GK,99,63,67,23,43,36,24,30,20,42,53,25,47,36,37,28,46,69,81,81,24,47,33,54,36,93,36,56,87,74,100,104,99,100,103,44,42,42,42,44,42,44,42,45,41,49,41,43,49,43,99
247,2012KH,20,LB,101,105,105,74,87,89,88,79,72,89,87,100,88,89,95,93,97,98,92,92,104,103,105,95,103,101,107,91,98,92,16,15,22,17,19,89,92,90,92,90,93,92,93,97,100,99,100,101,99,101,25
247,2012KH,20,RM,99,107,105,90,94,101,94,82,88,102,88,101,88,90,102,107,100,102,91,98,38,58,62,74,48,79,98,68,75,82,20,19,18,18,13,93,99,97,99,98,99,92,99,77,82,66,82,78,65,78,26
247,2012KH,21,CAM,101,99,93,97,97,106,103,96,80,103,98,104,101,96,103,107,104,107,99,96,76,81,67,88,71,93,102,83,94,96,17,15,15,21,19,98,101,100,101,101,101,98,101,89,90,83,90,87,83,87,26
247,2012KH,22,CF,101,104,103,98,106,107,106,100,91,94,95,88,88,80,101,105,102,106,95,99,51,67,56,100,46,101,100,88,98,98,20,18,17,20,18,101,100,101,100,99,98,94,98,80,81,75,81,78,74,78,27
247,2012KH,20,CDM,100,99,94,83,97,97,85,77,85,102,92,90,102,96,88,92,100,88,95,99,99,98,100,98,92,99,107,106,102,98,22,21,18,17,23,93,93,93,93,94,95,97,95,100,97,98,97,97,98,97,29
247,2012KH,20,CB,100,93,92,70,87,73,75,73,71,87,83,80,89,78,73,71,88,92,95,94,108,104,99,103,100,104,93,100,94,96,26,22,17,26,23,84,81,82,81,82,83,86,83,95,93,100,93,95,100,95,31
247,2012KH,18,CB,95,93,93,63,73,67,78,73,56,82,80,90,86,63,87,77,91,80,83,92,98,99,100,90,96,102,85,97,87,83,30,31,29,33,27,80,82,80,82,81,84,84,84,92,91,95,91,93,95,93,36
247,2012KH,19,CAM,96,98,95,79,92,93,94,93,80,99,99,92,100,94,87,101,98,92,95,97,67,69,66,79,59,83,93,66,85,79,22,13,17,19,16,90,95,94,95,96,96,94,96,83,84,74,84,81,74,81,26
247,2012KH,20,CB,100,98,92,69,82,79,75,73,57,85,83,80,77,56,71,78,87,88,94,90,107,106,98,103,101,104,96,92,97,99,17,18,23,15,20,83,82,82,82,82,83,85,83,93,93,100,93,95,99,95,25
247,2012KH,18,CDM,98,88,91,76,102,101,87,82,77,94,92,83,100,99,87,88,96,83,92,97,100,103,101,91,94,100,100,93,84,95,24,25,14,24,19,90,89,90,89,91,90,95,90,98,94,97,94,95,96,95,30
247,2012KH,20,RB,100,101,98,72,82,70,94,71,46,88,83,98,88,47,68,96,91,85,89,103,104,105,103,90,103,96,104,97,85,90,22,24,19,16,21,88,90,89,90,89,93,91,93,97,99,99,99,100,98,100,29
