season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
295,2019KFA,14,CAM,84,83,83,72,71,72,83,75,73,89,85,82,85,76,77,86,90,87,80,87,52,55,59,65,48,64,87,65,76,80,12,18,16,17,18,78,83,82,83,84,84,83,84,72,73,62,73,70,62,70,24
295,2019KFA,14,RB,85,86,91,64,68,65,81,69,68,80,81,84,75,73,69,80,79,89,95,83,89,83,86,85,90,85,94,93,100,78,16,17,14,19,18,77,79,78,79,79,81,80,81,83,85,86,85,85,86,85,24
295,2019KFA,16,CM,89,75,72,75,92,83,82,71,80,96,93,88,97,87,92,85,95,73,82,75,71,90,70,82,77,87,87,87,75,92,19,19,21,19,20,82,84,84,84,86,86,89,86,85,82,81,82,81,81,81,25
295,2019KFA,14,CAM,85,82,83,85,91,88,88,88,85,86,81,77,82,81,82,85,92,87,89,85,67,66,71,77,59,70,82,66,86,82,20,23,16,21,21,85,85,86,85,85,84,83,84,76,76,71,76,75,71,75,28
295,2019KFA,11,GK,83,42,42,12,19,19,18,18,14,38,42,26,35,35,26,19,29,71,76,80,19,22,29,17,13,67,26,32,80,71,80,83,77,90,85,28,32,30,32,34,32,34,32,33,31,32,31,30,31,30,83
295,2019KFA,16,ST,88,79,81,93,93,84,90,82,89,82,83,72,76,79,73,84,86,84,88,84,68,43,45,98,56,96,73,89,83,85,10,13,10,11,13,88,83,86,83,84,82,78,82,69,68,69,68,67,71,67,19
295,2019KFA,14,RM,84,91,94,81,75,86,87,68,79,85,82,85,77,85,88,89,81,97,79,80,41,54,56,67,48,66,84,60,70,76,15,19,10,14,17,80,85,84,85,84,84,79,84,67,71,59,71,68,59,68,22
295,2019KFA,15,CM,86,85,87,78,79,87,88,80,84,93,93,86,85,71,92,84,84,91,88,83,68,70,76,73,67,78,88,75,84,89,15,18,13,16,16,82,85,85,85,87,86,86,86,80,80,74,80,78,74,78,23
295,2019KFA,11,RB,80,95,94,69,76,67,75,56,69,77,65,81,76,65,75,79,75,90,78,86,78,77,75,71,81,74,85,83,85,64,15,13,19,14,12,75,78,76,78,76,79,75,79,77,80,77,80,80,77,80,21
295,2019KFA,14,LB,85,96,96,52,79,84,84,39,79,77,78,91,79,86,86,89,84,88,90,84,87,81,81,76,81,81,92,76,88,76,20,18,18,21,16,76,82,80,82,81,84,81,84,81,85,81,85,85,81,85,25
