season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
257,21KLB,20,ST,98,94,88,102,98,88,100,98,91,92,85,82,77,70,96,96,98,83,93,94,57,55,59,103,48,105,98,88,97,101,20,21,15,18,16,98,93,95,93,92,92,87,92,77,77,74,77,75,74,75,26
257,21KLB,21,CM,100,91,85,88,104,105,93,88,95,105,106,96,106,100,104,91,105,88,97,91,91,96,93,90,88,103,101,101,88,106,20,18,21,17,15,94,95,96,95,98,96,100,96,98,95,94,95,94,94,94,25
257,21KLB,19,RW,99,103,95,104,101,90,105,93,90,98,86,93,89,83,95,104,99,99,95,100,69,60,83,88,63,95,100,73,84,104,19,14,16,17,18,99,99,99,99,97,98,93,98,84,87,78,87,84,77,84,26
257,21KLB,21,CB,101,90,83,76,102,98,75,73,85,100,98,82,105,93,93,85,99,74,95,88,103,106,106,105,98,105,99,96,100,103,16,18,16,14,18,89,87,89,87,91,89,96,89,101,96,101,96,97,101,97,24
257,21KLB,21,CAM,101,98,97,96,98,96,98,93,94,106,106,93,97,97,100,101,106,104,103,99,90,75,73,87,73,95,98,86,89,106,14,17,21,20,18,97,100,100,100,101,100,99,100,91,90,85,90,88,85,88,26
257,21KLB,20,RB,100,105,104,83,95,87,97,78,83,94,82,94,91,69,95,102,96,102,101,102,102,101,101,90,102,98,104,106,93,93,16,17,18,16,17,94,95,95,95,94,96,94,96,98,100,99,100,100,99,100,25
257,21KLB,21,CB,102,96,100,79,88,79,79,83,74,97,92,68,90,73,77,89,95,97,96,98,104,104,102,106,103,104,98,103,105,98,19,22,17,13,14,90,88,90,88,91,89,93,89,99,95,102,95,97,102,97,25
257,21KLB,20,CM,100,93,93,91,104,104,100,88,97,104,105,99,104,106,106,95,104,96,98,93,89,86,92,75,78,94,98,94,85,103,19,22,18,16,17,94,98,98,98,99,98,100,98,95,93,88,93,91,88,91,26
257,21KLB,19,CM,96,95,93,95,91,92,98,98,92,101,98,93,96,99,99,94,101,93,96,92,77,81,87,89,60,94,95,86,88,99,16,15,18,18,16,94,95,96,95,96,96,96,96,89,88,84,88,86,83,86,24
257,21KLB,19,CB,98,92,91,79,86,73,84,90,60,98,73,78,98,66,76,81,83,93,93,96,99,101,97,99,101,100,97,96,101,86,13,16,18,14,13,87,84,85,84,85,86,89,86,95,93,98,93,94,98,94,23
