season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
262,21NG,20,CAM,99,94,94,95,96,98,97,91,84,104,103,102,99,103,102,99,103,100,100,97,78,73,64,75,71,86,97,78,70,100,14,13,13,18,16,94,99,98,99,99,99,97,99,87,88,78,88,85,78,85,24
262,21NG,18,RW,94,92,93,93,87,95,95,81,77,96,96,89,95,85,92,97,94,96,90,93,59,64,49,62,59,68,91,92,65,94,19,17,18,15,17,88,94,93,94,94,93,91,93,78,79,67,79,75,68,75,25
262,21NG,17,CB,95,102,93,56,73,75,67,58,64,90,74,89,83,54,68,91,89,90,90,93,95,97,92,93,97,100,98,100,100,88,16,15,15,16,16,79,84,81,84,82,86,85,86,92,93,95,93,94,95,94,24
262,21NG,19,ST,96,92,89,100,100,97,103,100,97,88,80,54,68,84,96,92,97,84,83,90,54,46,47,96,43,103,90,79,100,97,15,16,14,15,16,96,89,94,89,90,87,83,87,70,69,68,69,67,69,67,23
262,21NG,17,CB,94,72,75,70,72,35,41,54,54,95,68,43,85,45,53,81,86,63,71,90,95,97,92,97,93,105,91,94,89,88,20,16,19,14,16,75,71,73,71,75,74,81,74,91,84,94,84,86,94,86,24
262,21NG,20,CF,97,103,98,99,103,92,101,93,102,91,92,84,83,71,89,97,95,95,92,99,56,56,54,91,50,102,96,93,100,100,14,14,14,17,15,97,95,97,95,95,94,89,94,77,78,73,78,76,73,76,24
262,21NG,19,CAM,96,92,97,90,88,86,91,66,76,99,90,84,95,79,86,101,102,100,101,99,58,41,38,48,39,70,88,59,84,99,31,27,31,24,28,87,95,94,95,96,95,90,95,72,74,58,74,68,58,68,35
262,21NG,20,ST,97,101,101,99,96,92,99,88,99,95,95,80,78,86,97,101,97,100,100,97,51,55,51,90,50,98,96,68,93,100,16,17,16,16,14,97,96,97,96,96,95,89,95,75,77,69,77,75,69,75,24
262,21NG,17,GK,98,68,73,28,58,29,15,38,29,75,73,29,77,24,38,34,54,76,76,100,32,30,26,34,29,83,59,59,100,83,103,96,99,101,95,47,50,51,50,56,54,59,54,54,48,46,48,47,47,47,98
262,21NG,18,CM,95,87,90,66,90,86,86,71,64,98,95,80,97,70,84,101,99,92,103,97,93,96,85,73,92,92,97,91,88,100,17,16,17,16,17,85,90,90,90,93,92,95,92,94,92,90,92,91,90,91,25
262,21NG,20,CM,98,97,96,95,93,91,96,87,97,100,100,88,99,89,99,103,101,101,103,97,88,90,87,77,77,86,98,85,81,102,13,15,16,17,16,94,97,97,97,98,97,98,97,93,92,87,92,90,86,90,24
262,21NG,19,CAM,96,98,99,96,91,98,92,76,90,95,95,96,88,98,98,103,97,102,100,91,57,60,60,74,61,89,96,79,87,101,15,16,16,15,15,92,96,95,96,96,96,91,96,79,82,71,82,78,71,78,23
262,21NG,19,CDM,98,90,93,86,99,96,79,81,74,98,94,97,103,89,92,100,102,96,98,99,100,100,100,86,93,91,99,96,89,101,15,17,16,16,13,91,94,93,94,95,95,97,95,98,97,96,97,96,95,96,24
262,21NG,17,CAM,95,95,94,97,94,85,100,89,83,95,90,83,93,70,87,97,98,93,90,99,75,88,84,88,96,87,90,93,79,96,14,17,16,30,17,95,94,95,94,95,94,93,94,90,90,87,90,90,88,90,28
262,21NG,19,CB,97,98,92,61,80,54,54,62,61,86,64,53,84,43,70,78,88,83,100,91,98,98,102,101,102,99,89,100,93,99,15,17,18,17,15,78,75,76,75,76,77,80,77,92,89,97,89,91,97,91,24
262,21NG,20,CAM,99,97,94,98,97,95,99,83,83,100,99,98,101,88,99,100,100,101,95,100,80,90,78,78,81,85,100,97,83,98,13,14,15,15,15,95,98,98,98,99,98,98,98,92,92,86,92,90,86,90,23
262,21NG,18,CM,95,92,92,90,95,93,92,79,80,95,94,90,97,81,93,96,95,95,94,96,87,93,91,78,95,90,102,94,95,95,15,17,16,18,17,91,93,93,93,94,94,95,94,93,93,90,93,92,90,92,25
262,21NG,21,LW,100,108,108,98,93,93,102,89,88,99,100,91,93,82,97,105,101,109,101,99,46,45,46,69,38,85,97,78,92,95,15,17,17,18,16,95,100,100,100,100,100,93,100,75,78,63,78,73,63,73,25
262,21NG,19,CB,98,94,98,78,92,83,79,78,77,98,91,86,103,75,86,95,98,97,99,98,100,98,100,98,101,96,99,98,104,100,16,16,16,18,16,89,91,91,91,92,93,95,93,98,97,98,97,97,98,97,25
262,21NG,18,CAM,94,94,94,97,89,84,97,94,88,94,96,93,97,76,92,97,93,97,91,95,64,60,67,65,55,80,93,82,83,97,20,15,20,19,19,90,94,94,94,94,94,91,94,80,81,71,81,77,70,77,26
262,21NG,20,CAM,99,98,100,100,95,103,101,97,89,102,98,96,90,85,100,99,103,98,98,97,54,49,46,70,51,86,93,74,68,99,16,14,17,15,14,95,99,99,99,99,98,93,98,76,79,65,79,75,66,75,23
262,21NG,18,CDM,97,90,89,90,97,95,88,86,98,100,96,97,100,94,88,96,101,87,93,99,96,98,97,92,93,94,100,93,97,101,16,17,16,17,15,93,94,94,94,95,95,97,95,97,96,95,96,96,95,96,25
262,21NG,17,LW,95,100,100,93,91,82,96,90,99,89,91,93,92,60,83,100,96,99,91,96,56,59,57,88,57,80,86,85,94,95,18,14,17,16,15,93,95,94,95,94,94,88,94,77,79,71,79,77,71,77,24
262,21NG,18,RM,95,101,100,96,94,100,96,80,74,91,96,95,88,82,100,98,92,96,101,96,93,90,87,74,86,90,102,93,90,93,19,15,15,16,17,93,95,95,95,95,95,93,95,91,93,88,93,92,88,92,25
262,21NG,20,LW,99,97,100,98,96,94,100,95,101,99,100,103,95,101,103,102,98,97,99,97,56,61,64,80,52,88,94,83,79,100,16,14,18,17,17,95,99,98,99,98,99,94,99,81,83,72,83,79,71,79,25
262,21NG,21,CF,100,99,100,106,100,104,105,99,91,98,99,96,94,90,102,99,101,102,102,104,68,75,80,68,67,82,98,85,68,105,13,19,14,16,15,97,100,100,100,100,99,97,99,87,89,78,89,86,77,86,25
262,21NG,18,CDM,96,81,89,64,78,69,76,61,74,100,90,81,93,66,76,86,96,83,96,93,97,98,93,84,98,95,101,100,91,90,15,17,14,18,16,81,84,84,84,87,88,91,88,96,93,94,93,93,95,93,24
262,21NG,18,CB,95,95,88,77,73,49,55,55,59,96,67,59,98,55,54,90,90,85,90,93,95,97,95,91,98,102,95,97,96,88,15,14,14,15,15,80,80,80,80,82,83,86,83,94,90,95,90,91,95,91,23
262,21NG,18,ST,94,103,102,99,95,89,101,91,91,85,70,78,78,50,83,90,92,97,91,94,35,41,34,86,33,84,87,80,102,93,15,13,16,18,14,94,91,92,91,89,89,80,89,65,68,59,68,65,60,65,23
262,21NG,17,CAM,93,94,96,89,91,88,95,64,63,91,95,90,88,88,82,97,95,97,90,88,68,60,55,75,56,71,90,90,88,90,14,16,16,13,17,88,93,92,93,93,92,88,92,77,79,70,79,76,71,76,23
262,21NG,19,CDM,98,92,89,86,95,88,90,69,74,101,93,84,101,73,86,98,101,93,98,97,93,100,100,97,90,102,102,101,99,99,18,17,15,16,15,93,93,94,93,95,94,97,94,98,95,97,95,95,97,95,25
262,21NG,18,CAM,96,98,101,97,92,86,96,89,83,97,96,81,97,71,88,98,94,96,95,97,50,78,64,87,70,81,93,77,85,96,17,16,18,16,16,94,95,95,95,96,95,93,95,82,82,75,82,81,75,81,25
262,21NG,16,RB,93,103,104,70,70,61,89,54,63,93,81,92,81,57,82,94,90,104,103,96,92,94,89,75,94,64,96,94,81,90,17,15,16,15,17,82,89,87,89,88,91,87,91,89,93,87,93,93,87,93,24
262,21NG,18,LW,97,101,101,97,101,86,97,90,81,94,97,102,85,83,97,101,99,96,90,94,53,56,57,86,46,94,95,76,92,94,18,17,15,13,17,96,97,97,97,96,97,90,97,77,80,70,80,77,69,77,24
262,21NG,18,CB,94,85,77,49,89,65,55,49,57,96,84,50,98,52,59,68,88,64,74,91,97,93,97,99,92,101,87,88,100,91,16,15,13,16,18,75,72,75,72,78,76,85,76,93,85,94,85,87,94,87,24
262,21NG,15,GK,95,46,54,20,53,26,17,28,20,59,81,27,66,24,21,29,50,58,45,98,31,26,28,24,28,62,59,36,91,79,96,94,92,100,93,40,43,45,43,51,47,54,47,49,43,39,43,42,40,42,95
262,21NG,18,RW,95,97,97,90,81,88,95,84,60,98,95,89,88,84,90,99,96,98,83,97,84,84,73,64,80,79,95,86,86,98,18,15,18,15,15,89,95,94,95,95,95,93,95,87,89,81,89,87,82,87,24
262,21NG,19,LB,98,100,102,64,86,69,95,59,65,93,98,104,94,89,102,100,95,97,91,101,101,96,97,84,101,91,99,93,86,96,14,16,16,15,14,86,93,91,93,93,96,94,96,96,98,95,98,98,95,98,24
262,21NG,17,CB,93,89,85,49,80,48,60,46,66,88,81,73,92,51,68,81,84,74,78,92,93,96,94,97,95,99,91,92,91,90,17,15,15,17,16,75,76,76,76,78,80,83,80,91,88,93,88,90,93,90,24
262,21NG,18,CB,97,102,95,54,73,59,50,58,56,90,69,59,96,53,57,95,87,81,85,94,98,100,102,99,94,101,85,98,101,98,14,15,16,17,16,77,78,78,78,80,81,84,81,94,90,97,90,92,97,92,24
262,21NG,19,CF,96,100,101,98,95,88,100,89,79,93,93,83,85,64,95,98,95,98,96,97,50,57,49,89,55,89,95,86,97,94,18,13,13,16,16,95,95,96,95,95,94,89,94,76,78,70,78,75,71,75,24
262,21NG,18,RW,93,95,98,88,91,88,92,83,85,90,91,88,91,74,93,98,96,96,83,98,53,50,48,78,45,86,87,73,79,99,16,17,14,15,15,90,93,93,93,93,93,88,93,73,75,65,75,72,65,72,24
262,21NG,18,CAM,96,93,96,97,94,89,95,83,83,93,97,99,97,91,94,101,96,101,99,98,75,68,56,60,66,70,97,88,74,98,16,13,18,17,19,90,96,95,96,96,96,92,96,82,84,72,84,80,73,80,25
262,21NG,18,RW,94,98,97,97,99,100,91,89,89,93,95,93,84,88,97,97,93,99,93,90,68,57,47,82,54,72,90,91,92,97,16,16,18,16,17,92,94,94,94,94,93,88,93,75,78,70,78,75,70,75,24
262,21NG,20,ST,100,100,96,106,103,100,103,101,104,92,85,76,90,86,102,97,98,90,101,100,43,48,33,95,43,106,99,84,90,100,17,17,16,14,15,100,95,98,95,95,94,89,94,72,73,66,73,70,67,70,25
262,21NG,17,CDM,95,94,96,73,89,83,85,74,79,98,93,80,98,75,86,96,97,95,98,97,90,96,94,78,90,89,97,98,97,96,19,17,17,18,17,86,90,90,90,92,92,94,92,95,93,92,93,92,91,92,26
