season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
250,21TOTS,26,ST,105,107,104,110,110,110,109,107,110,93,91,84,93,87,99,108,102,100,105,101,35,43,36,104,33,102,97,98,110,107,13,16,19,16,18,105,101,103,101,101,100,92,100,73,74,66,74,70,67,70,25
250,21TOTS,21,CB,100,89,88,69,83,70,68,59,73,97,86,64,94,75,76,80,93,81,100,96,107,101,94,104,101,99,96,106,106,97,16,17,18,14,16,83,81,83,81,85,84,89,84,97,92,100,92,94,101,94,24
250,21TOTS,22,ST,104,99,91,109,110,105,111,105,103,98,87,80,87,102,92,91,103,86,89,105,47,46,57,98,42,108,89,103,92,107,23,22,19,20,14,104,97,101,97,98,95,92,95,78,76,72,76,73,72,73,29
250,21TOTS,22,RB,103,108,108,72,81,90,99,84,78,101,98,110,97,81,101,103,105,107,107,105,105,107,98,79,102,75,109,94,91,99,14,19,15,20,16,90,100,97,100,99,102,100,102,100,104,97,104,103,97,103,26
250,21TOTS,24,CF,105,105,111,110,103,108,108,105,108,106,99,98,106,108,110,111,103,110,111,101,43,54,58,81,41,87,97,76,85,110,12,20,16,9,15,103,105,105,105,105,104,99,104,80,82,68,82,77,67,77,23
250,21TOTS,19,GK,103,63,59,23,37,24,26,26,38,56,76,26,79,25,26,30,46,62,77,93,21,26,25,26,25,75,48,38,70,65,103,106,107,101,109,41,45,45,45,51,48,54,48,47,41,38,41,40,38,40,103
250,21TOTS,24,CF,105,102,102,110,104,105,108,106,105,106,106,89,100,94,106,108,106,103,109,102,63,54,61,99,46,105,104,85,99,110,16,10,12,9,12,105,104,105,104,105,103,100,103,84,83,76,83,80,76,80,21
250,21TOTS,20,GK,104,85,84,35,68,43,47,33,57,79,88,49,88,29,56,74,87,92,92,101,26,37,55,53,59,89,67,77,97,98,103,107,104,106,106,64,71,71,71,75,73,75,73,68,64,59,64,62,60,62,104
250,21TOTS,22,CB,104,87,85,79,68,64,84,71,68,104,92,64,101,68,71,91,102,84,96,90,108,107,95,109,107,107,91,109,99,96,16,17,21,12,15,88,87,89,87,91,89,95,89,101,94,104,94,96,104,96,23
250,21TOTS,21,CF,102,103,107,108,99,103,108,90,98,100,91,92,94,103,103,103,106,108,111,98,39,49,48,70,57,72,86,80,87,101,13,17,15,9,14,98,102,102,102,101,100,93,100,75,79,64,79,75,64,75,22
