season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
261,22HR,22,RW,104,104,106,99,104,108,103,104,83,101,100,100,93,96,106,109,108,108,108,102,71,75,81,75,65,88,100,98,89,105,18,17,16,19,19,99,104,103,104,103,103,99,103,89,91,82,91,88,81,88,27
261,22HR,21,ST,101,100,100,105,106,101,105,105,98,95,94,88,76,75,96,98,103,103,102,105,55,46,51,90,34,92,101,95,87,103,19,17,16,19,17,101,99,101,99,98,97,91,97,76,78,69,78,74,68,74,27
261,22HR,20,CAM,100,98,96,101,96,100,102,103,87,102,101,86,92,85,92,98,102,97,95,101,60,64,69,88,59,84,89,60,94,102,17,15,16,16,19,98,98,100,98,100,97,95,97,82,83,74,83,80,73,80,25
261,22HR,22,ST,102,103,106,107,104,97,110,102,85,90,82,79,79,73,95,97,104,105,94,105,47,44,48,95,47,85,87,84,84,105,17,19,16,20,18,102,98,100,98,97,96,88,96,72,75,67,75,73,67,73,27
261,22HR,23,ST,105,102,100,110,106,98,108,103,103,97,94,85,89,92,93,99,104,100,105,104,48,52,47,110,54,103,100,92,108,106,17,15,16,18,17,105,100,102,100,100,99,93,99,78,79,74,79,77,75,77,26
261,22HR,22,LM,103,109,107,99,99,100,105,86,94,102,99,101,97,96,100,108,100,107,104,101,67,56,59,84,55,95,110,90,97,101,15,18,17,15,19,99,103,102,103,102,103,97,103,83,86,75,86,82,75,82,26
261,22HR,22,CAM,103,98,97,104,101,103,100,95,102,104,103,98,97,107,105,106,106,104,99,102,52,62,65,94,67,94,98,98,93,102,18,16,16,19,18,101,102,102,102,103,101,98,101,85,86,77,86,83,78,83,26
261,22HR,22,CB,105,103,102,86,95,84,73,85,88,95,81,81,90,84,83,82,87,101,108,105,108,107,108,106,107,103,106,108,106,98,16,15,17,19,18,91,88,88,88,88,89,91,89,100,99,105,99,101,105,101,26
261,22HR,19,GK,103,70,78,32,44,35,38,39,44,53,72,32,47,45,34,41,42,89,79,100,41,36,43,32,36,90,61,49,95,71,107,100,93,107,103,48,51,51,51,54,52,53,52,51,50,50,50,49,50,49,103
261,22HR,21,ST,101,98,95,101,103,95,102,104,88,98,90,84,88,79,89,95,99,97,103,103,79,63,63,110,62,102,101,107,110,96,16,17,18,18,16,101,96,98,96,96,96,92,96,85,84,84,84,83,84,83,26
261,22HR,22,CF,104,104,106,110,107,107,106,108,106,100,100,100,95,108,107,102,105,106,108,104,69,53,56,92,48,93,99,88,90,105,17,18,19,16,15,103,103,104,103,103,102,96,102,82,84,74,84,80,74,80,26
261,22HR,24,ST,106,97,98,112,108,96,110,108,93,97,88,82,68,63,91,97,106,96,105,105,41,42,41,111,42,107,99,96,100,106,15,16,17,21,18,106,99,102,99,98,97,89,97,73,75,70,75,72,70,72,27
261,22HR,21,CF,101,99,100,104,100,98,104,96,94,100,100,95,94,97,94,99,102,97,98,102,59,75,48,98,68,97,97,96,95,101,16,17,19,18,16,100,100,101,100,100,99,95,99,83,84,79,84,82,80,82,26
261,22HR,22,RW,104,109,108,101,101,98,101,100,98,101,101,102,95,99,102,108,106,108,106,104,45,48,45,93,46,85,99,70,91,101,18,16,15,16,19,101,104,103,104,103,103,95,103,76,81,67,81,77,67,77,26
261,22HR,20,ST,99,100,103,103,102,91,102,103,97,92,90,84,85,93,92,99,96,93,98,100,45,46,50,100,49,85,99,69,93,103,19,16,19,16,17,99,96,98,96,95,95,89,95,73,77,67,77,74,67,74,26
261,22HR,18,GK,102,96,103,95,78,79,100,92,91,77,89,68,78,68,83,91,92,104,96,101,46,49,65,83,54,68,83,68,105,96,108,103,95,104,97,90,90,91,90,90,88,83,88,71,74,66,74,72,65,72,102
261,22HR,24,LW,106,108,109,105,104,108,100,103,95,102,105,104,97,99,107,111,109,108,107,103,67,58,68,93,58,100,102,89,100,106,15,14,17,16,16,103,106,105,106,105,105,99,105,86,88,79,88,85,79,85,24
261,22HR,23,CB,106,95,88,74,81,68,78,69,68,98,78,75,91,58,68,75,88,92,98,105,110,107,106,107,109,108,103,110,105,99,16,17,16,15,14,86,83,84,83,85,86,90,86,101,97,106,97,100,106,100,25
261,22HR,23,ST,105,100,101,110,107,97,109,104,107,98,92,84,89,93,100,100,106,101,106,104,59,53,63,106,52,102,103,91,104,104,19,18,21,20,16,105,100,103,100,100,99,94,99,82,82,77,82,80,77,80,27
