season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
511,22PLA,19,LW,96,104,106,101,88,92,96,76,78,90,88,90,84,71,82,99,94,100,92,98,48,45,46,89,41,85,96,79,94,92,15,11,15,17,14,95,96,95,96,94,95,87,95,72,76,65,76,72,65,72,23
511,22PLA,18,LM,96,101,101,97,94,90,101,87,87,95,95,90,84,77,89,99,97,103,99,101,58,58,52,95,54,85,96,87,98,95,29,29,34,33,27,96,97,97,97,96,96,90,96,77,80,72,80,78,73,78,37
511,22PLA,19,CM,96,94,86,78,83,81,87,69,56,102,97,83,102,77,89,95,101,98,92,96,93,95,92,74,85,82,99,78,85,94,10,16,13,12,13,86,92,91,92,94,93,96,93,95,93,89,93,91,88,91,21
511,22PLA,17,CM,96,93,91,84,80,78,88,82,67,100,98,89,99,76,94,97,99,97,90,98,87,87,92,84,88,85,99,85,87,100,26,31,28,28,28,89,93,92,93,95,94,96,94,93,93,88,93,92,88,92,35
511,22PLA,20,ST,97,106,106,102,97,88,99,96,89,89,91,78,79,74,80,101,98,105,98,101,49,44,45,81,45,91,96,79,91,100,16,8,10,9,14,97,97,97,97,96,95,87,95,72,75,65,75,72,65,72,21
511,22PLA,20,ST,97,105,105,101,97,91,100,92,90,94,92,88,82,80,90,101,99,101,91,101,42,49,52,83,47,86,96,75,87,97,30,23,25,24,28,97,98,98,98,97,97,90,97,74,78,66,78,74,65,74,34
511,22PLA,17,CDM,93,76,79,76,86,86,82,66,49,97,91,70,95,60,70,87,94,74,77,94,89,95,96,86,90,90,97,88,76,97,12,12,9,10,16,84,84,86,84,88,86,92,86,93,89,90,89,89,90,89,21
511,22PLA,18,CDM,93,74,67,75,98,91,85,71,59,95,92,75,92,73,76,88,94,76,76,91,93,95,92,90,88,93,97,91,83,94,27,27,25,26,31,86,84,87,84,88,86,92,86,93,88,91,88,88,91,88,34
511,22PLA,14,CM,89,86,88,88,90,84,89,73,72,93,89,84,90,79,88,92,93,91,89,94,66,84,77,70,68,76,84,80,71,87,15,12,15,19,20,86,89,89,89,90,89,89,89,83,83,77,83,81,76,81,24
511,22PLA,17,CM,89,79,83,82,90,83,84,81,75,92,93,87,91,88,90,93,93,90,89,90,74,82,80,73,78,79,84,90,67,91,26,24,26,30,31,84,88,88,88,89,88,89,88,85,84,80,84,82,80,82,34
511,22PLA,16,ST,88,76,84,93,90,92,92,92,97,87,81,84,64,82,87,93,92,90,91,90,48,34,35,78,40,76,84,81,78,89,24,29,29,30,23,88,88,89,88,87,86,79,86,64,68,58,68,64,59,64,33
511,22PLA,17,CF,88,76,83,87,89,88,89,87,97,91,89,84,75,86,87,92,92,91,93,91,48,34,35,78,40,78,84,81,81,89,24,29,29,30,23,86,88,88,88,88,87,82,87,66,68,59,68,64,60,64,33
511,22PLA,14,CDM,85,65,77,66,79,72,72,63,75,85,83,87,84,75,75,83,86,78,78,89,86,87,85,77,86,83,87,83,89,87,26,26,26,30,28,76,79,78,79,80,81,83,81,85,84,84,84,84,84,84,34
511,22PLA,15,LB,85,72,75,66,79,72,74,63,75,88,83,87,85,75,75,83,86,78,78,90,89,87,87,78,86,83,87,83,89,90,26,26,26,30,28,77,80,79,80,81,82,84,82,86,85,85,85,85,85,85,34
511,22PLA,15,CB,88,77,74,42,72,56,43,40,46,82,56,48,78,37,48,73,82,64,63,87,93,92,92,85,88,86,78,90,86,83,24,28,26,24,23,66,66,67,66,68,69,74,69,85,80,88,80,82,88,82,31
511,22PLA,15,CB,88,77,74,44,74,58,45,42,48,82,58,50,79,39,49,74,82,66,65,89,92,92,92,84,87,88,78,90,90,82,26,30,28,26,25,67,67,68,67,69,69,75,69,85,80,88,80,82,88,82,33
511,22PLA,11,RM,79,91,88,80,74,67,80,65,54,75,77,73,77,48,64,81,80,78,77,79,40,52,40,67,47,77,74,49,88,69,24,27,29,28,24,77,79,79,79,78,79,74,79,62,65,57,65,63,57,63,31
511,22PLA,11,RM,79,92,90,77,76,69,82,67,66,77,79,74,79,55,66,80,79,90,81,81,42,52,42,69,46,79,74,51,89,71,26,29,31,30,26,78,80,79,80,79,79,75,79,63,66,58,66,64,58,64,33
