season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
259,22TOTN,22,RB,104,109,108,74,102,88,99,79,92,104,96,97,99,94,96,99,104,102,98,107,100,103,101,100,108,103,109,105,105,102,19,15,23,17,22,96,98,98,98,99,100,100,100,103,103,103,103,104,103,104,28
259,22TOTN,22,RB,104,110,108,67,95,78,90,76,82,103,97,101,104,90,98,101,105,99,103,106,103,105,100,102,107,103,109,106,107,104,19,20,19,20,17,93,97,96,97,97,100,100,100,103,104,103,104,104,104,104,28
259,22TOTN,26,ST,107,106,103,113,109,107,112,108,110,99,92,92,95,95,101,105,106,102,106,103,45,48,44,109,51,97,99,100,109,111,14,17,13,17,20,107,103,105,103,102,102,95,102,78,80,72,80,77,73,77,26
259,22TOTN,23,CB,106,95,96,70,97,74,80,76,79,96,85,84,99,74,90,93,98,86,108,98,110,109,108,108,107,108,93,112,102,106,12,12,11,12,13,90,88,89,88,89,91,93,91,102,99,106,99,100,106,100,21
259,22TOTN,22,RB,103,106,107,90,95,94,104,89,81,103,97,108,102,82,104,105,104,104,105,102,104,102,104,88,104,86,108,96,100,105,19,18,17,19,15,97,102,100,102,101,103,102,103,102,104,99,104,103,99,103,26
259,22TOTN,25,CF,106,102,100,111,104,106,108,107,104,106,105,95,106,93,104,107,109,102,108,101,65,51,64,109,45,105,100,86,101,110,11,15,10,16,14,106,105,106,105,106,104,100,104,85,84,77,84,80,77,80,23
259,22TOTN,24,ST,105,102,102,110,105,103,112,107,103,101,96,97,92,102,108,102,107,101,108,103,67,51,60,103,52,104,101,107,93,108,26,22,21,18,22,105,103,104,103,102,102,96,102,83,84,78,84,81,78,81,30
259,22TOTN,23,CM,104,97,92,84,99,104,101,98,98,109,108,100,110,102,103,108,108,108,110,98,87,94,95,78,87,85,103,92,89,112,14,18,17,14,15,95,101,101,101,104,102,104,102,99,98,91,98,95,90,95,24
259,22TOTN,21,LW,101,99,98,98,101,104,102,98,101,102,100,105,102,106,106,105,107,99,97,95,50,50,52,80,65,96,93,84,78,100,16,17,18,13,15,98,101,101,101,101,101,96,101,80,83,70,83,78,71,78,24
259,22TOTN,24,CB,105,96,92,92,97,85,94,84,90,106,105,87,110,80,99,97,102,94,108,101,104,106,106,110,108,109,93,101,104,109,13,15,18,15,14,98,96,98,96,99,97,102,97,104,100,105,100,101,105,101,23
