season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
253,BOE21,16,GK,96,48,38,19,23,22,22,31,33,49,57,32,47,25,22,23,43,57,59,92,19,27,36,25,25,87,39,53,68,69,97,99,97,95,99,36,38,38,38,42,40,44,40,44,39,41,39,38,40,38,96
253,BOE21,25,ST,104,100,102,110,107,105,107,103,111,92,98,82,97,90,94,106,103,101,104,102,38,40,43,101,31,97,99,96,109,109,12,15,20,16,19,104,101,103,101,101,99,93,99,74,74,66,74,70,66,70,25
253,BOE21,18,CB,96,93,91,68,85,69,79,58,70,96,93,70,99,73,77,77,91,99,104,98,99,96,97,91,95,96,93,102,95,95,12,16,9,12,13,83,84,85,84,87,86,91,86,96,91,96,91,92,96,92,22
253,BOE21,22,CB,104,94,91,74,96,79,79,78,79,96,91,84,98,81,94,89,97,91,107,93,110,105,106,109,104,106,97,109,103,107,9,11,11,8,10,89,88,89,88,90,90,93,90,101,97,104,97,99,104,99,18
253,BOE21,16,CM,91,75,80,83,87,87,82,85,80,98,95,97,94,94,95,93,93,82,96,93,79,83,80,75,75,78,92,85,73,101,15,17,16,14,15,85,89,88,89,90,90,91,90,87,86,81,86,84,81,84,23
253,BOE21,19,GK,102,69,66,24,45,29,44,20,34,62,69,39,75,26,26,22,62,93,74,102,28,15,27,26,27,75,37,82,94,75,103,100,98,108,102,47,51,51,51,56,53,56,53,51,44,43,44,43,44,43,102
253,BOE21,19,RM,97,94,91,99,98,101,95,83,97,98,92,100,98,101,106,99,99,87,95,100,93,96,93,92,85,78,107,101,95,93,13,16,20,14,19,95,97,97,97,96,97,97,97,95,96,92,96,95,92,95,25
253,BOE21,24,ST,104,100,100,108,106,104,107,100,103,107,98,87,105,92,107,107,105,102,107,100,67,53,56,103,51,100,101,87,103,108,17,15,11,13,12,104,102,104,102,104,102,99,102,84,83,76,83,79,77,79,23
253,BOE21,16,GK,94,69,63,21,38,24,20,17,56,69,77,16,83,16,22,38,48,60,35,98,22,21,35,31,16,85,50,36,85,69,96,93,98,96,92,43,47,48,47,55,51,58,51,51,42,41,42,41,40,41,94
253,BOE21,16,GK,97,68,66,17,25,16,15,16,38,48,35,19,48,19,16,21,35,77,56,93,30,15,32,17,20,48,43,33,85,66,102,96,83,105,91,33,37,36,37,39,39,39,39,39,38,34,38,37,33,37,97
253,BOE21,13,GK,86,57,57,21,37,23,19,19,26,32,63,25,38,19,22,24,26,69,81,89,20,16,31,17,23,76,42,37,73,68,91,83,81,83,88,34,36,36,36,39,37,38,37,36,35,34,35,34,33,34,86
253,BOE21,16,LB,91,94,89,68,90,82,85,81,60,92,76,101,76,80,90,78,76,89,91,95,92,87,84,71,96,81,103,83,72,91,13,16,13,16,11,81,83,82,83,82,85,83,85,86,91,85,91,91,85,91,22
253,BOE21,19,RB,97,104,100,81,92,92,85,81,72,91,92,105,101,96,92,93,95,91,86,99,101,95,100,88,92,89,100,88,87,87,18,14,15,18,17,90,93,91,93,92,95,94,95,96,97,94,97,97,93,97,25
253,BOE21,21,CB,100,106,89,79,95,84,91,69,86,95,81,95,95,81,83,88,99,86,95,97,104,101,104,102,102,98,94,100,95,98,11,14,13,11,17,91,91,91,91,90,92,93,92,98,98,100,98,99,100,99,22
253,BOE21,22,RW,102,108,104,97,105,102,102,99,97,98,100,97,103,103,105,105,106,101,97,102,76,75,74,95,68,92,97,91,103,101,15,19,13,11,10,100,102,102,102,101,101,98,101,89,90,84,90,88,84,88,23
253,BOE21,15,CB,87,89,81,56,69,57,71,55,68,89,68,79,80,47,66,72,77,81,77,96,94,90,90,77,96,82,88,83,75,73,16,10,17,13,16,73,75,74,75,76,78,79,78,86,87,87,87,88,87,88,22
253,BOE21,17,CAM,91,94,98,89,85,87,96,85,90,87,88,87,82,86,92,94,94,95,93,93,35,48,47,61,45,62,82,62,78,92,12,14,12,9,15,86,92,91,92,91,90,84,90,68,72,57,72,68,57,68,21
253,BOE21,15,ST,88,73,85,91,94,89,101,81,84,79,73,70,71,63,78,85,83,84,92,91,48,40,37,88,36,84,79,83,89,84,16,10,14,19,13,88,83,86,83,83,82,77,82,64,64,60,64,61,61,61,22
253,BOE21,18,RB,95,100,77,70,91,82,67,68,59,91,88,91,85,68,89,89,87,79,80,101,102,97,93,97,99,93,98,85,89,93,17,18,13,15,19,84,85,84,85,85,87,88,87,93,94,95,94,95,95,95,26
253,BOE21,22,CM,102,94,93,90,101,105,100,94,96,104,99,100,109,100,102,104,106,105,109,101,85,87,95,78,86,81,101,92,96,111,17,14,12,14,19,95,100,99,100,101,100,102,100,96,96,89,96,94,88,94,25
253,BOE21,19,CM,96,91,92,91,95,93,93,81,92,100,88,94,101,87,90,100,96,95,104,100,91,96,92,98,92,92,105,103,96,101,10,12,13,13,15,94,95,95,95,95,96,96,96,96,95,94,95,95,95,95,22
253,BOE21,13,CM,81,68,68,58,76,58,61,59,58,96,78,68,83,50,67,74,89,67,81,77,75,77,68,74,87,78,93,86,79,79,17,14,13,8,18,71,73,74,73,77,76,81,76,82,79,78,79,78,79,78,21
253,BOE21,17,GK,99,60,62,22,38,24,31,18,37,53,68,26,57,27,27,26,38,80,77,96,22,25,28,19,20,77,53,63,86,73,99,103,99,98,102,40,43,43,43,48,45,49,45,45,40,39,40,39,39,39,99
253,BOE21,16,GK,96,63,55,23,45,19,20,23,34,48,70,19,57,24,18,25,34,73,89,99,21,15,25,17,16,82,60,39,86,72,100,93,90,95,99,38,40,41,40,45,43,47,43,42,38,35,38,36,35,36,96
253,BOE21,15,ST,86,79,75,87,90,81,87,90,96,85,83,70,66,72,75,76,86,68,80,90,42,43,50,96,26,95,73,79,88,84,17,19,15,11,11,86,81,84,81,82,80,77,80,66,64,63,64,62,62,62,22
253,BOE21,23,CB,102,92,89,81,95,82,92,81,89,104,94,93,106,79,99,93,97,89,106,103,104,99,103,109,103,100,97,103,101,103,17,11,14,11,10,93,93,93,93,94,95,98,95,101,98,102,98,99,102,99,22
253,BOE21,16,ST,91,81,89,97,92,81,101,88,89,81,75,63,73,68,68,87,90,90,93,93,40,51,57,90,37,79,77,71,95,99,18,16,12,17,19,91,86,89,86,86,84,80,84,68,67,64,67,65,63,65,25
253,BOE21,21,CB,103,100,87,77,98,75,63,70,90,96,88,77,104,98,79,89,95,82,94,100,107,105,102,102,107,105,97,107,98,104,12,15,19,20,15,87,86,87,86,88,88,93,88,101,97,103,97,98,103,98,24
253,BOE21,22,CM,103,102,97,106,100,103,110,95,96,102,100,89,101,79,97,101,104,95,106,107,90,101,101,93,91,97,107,98,101,105,21,11,18,11,16,102,101,103,101,102,101,103,101,100,99,97,99,98,96,98,25
253,BOE21,18,CM,96,76,79,79,87,85,95,79,88,95,98,88,100,89,90,92,99,75,77,98,90,95,99,89,91,84,105,102,90,98,10,11,12,13,11,88,89,91,89,92,92,96,92,96,93,92,93,92,92,92,20
253,BOE21,13,LB,83,87,85,68,80,71,73,66,70,88,74,88,74,73,77,73,79,88,90,89,84,81,77,69,85,73,85,80,88,80,11,15,20,16,14,76,79,77,79,78,80,79,80,81,83,80,83,83,80,83,22
