season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
256,BTB,23,RW,104,106,107,94,102,104,103,91,106,104,98,110,101,107,106,108,108,108,102,101,54,66,68,83,61,97,103,94,90,107,15,19,14,15,16,99,104,102,104,103,104,99,104,86,89,77,89,85,77,85,25
256,BTB,23,RW,104,107,104,95,103,102,104,90,105,105,99,109,100,106,107,109,108,107,103,103,55,68,72,89,66,96,103,95,91,106,14,15,13,14,15,100,104,103,104,103,104,100,104,87,90,79,90,87,79,87,24
256,BTB,22,CDM,104,94,91,83,86,91,87,91,80,106,103,77,101,88,88,97,98,93,105,98,105,107,106,95,105,102,108,109,87,97,11,12,13,11,16,92,93,94,93,97,95,100,95,104,99,103,99,100,103,100,21
256,BTB,22,CDM,104,97,94,87,92,99,94,95,86,103,99,84,103,90,92,97,99,95,107,100,104,108,105,98,106,103,108,112,90,96,16,20,19,19,23,95,95,96,95,97,96,100,96,104,100,103,100,101,103,101,28
256,BTB,22,RW,104,101,107,100,101,103,107,96,84,102,99,101,94,98,107,110,107,109,109,103,58,59,67,78,54,86,99,93,90,106,17,19,23,15,22,100,104,103,104,103,103,98,103,83,86,74,86,82,74,82,27
256,BTB,23,LM,105,109,109,94,93,101,107,96,101,102,98,109,99,101,108,109,108,106,95,106,73,85,88,83,76,86,106,84,89,109,18,13,22,21,21,99,105,103,105,103,105,101,105,93,97,86,97,94,85,94,28
256,BTB,23,RB,105,103,104,73,90,61,76,74,57,100,85,109,97,58,91,89,100,95,106,106,107,105,104,101,107,97,109,106,99,99,17,15,20,18,27,89,92,90,92,90,95,94,95,102,104,103,104,105,103,105,28
256,BTB,23,CM,105,97,94,101,110,112,100,98,96,110,107,97,112,94,97,99,111,99,106,101,71,79,93,91,62,89,105,103,98,107,19,22,20,15,21,101,102,103,102,104,102,105,102,96,92,86,92,90,85,90,28
256,BTB,23,RM,105,101,98,100,109,112,104,97,110,105,106,116,112,115,114,106,108,103,103,103,84,90,89,91,78,96,106,109,89,109,18,22,21,21,22,102,105,104,105,105,105,105,105,98,98,92,98,95,91,95,29
256,BTB,23,ST,103,95,89,108,106,104,108,107,101,95,90,88,89,92,90,92,104,86,90,106,54,48,56,106,53,100,96,97,101,101,20,19,15,15,20,103,97,100,97,97,96,92,96,79,79,74,79,77,75,77,27
256,BTB,21,CF,102,100,97,104,97,98,106,90,89,105,103,88,93,87,93,99,104,98,96,103,57,65,76,90,65,85,92,59,92,103,15,13,22,13,20,99,100,102,100,102,99,97,99,84,86,76,86,83,75,83,25
256,BTB,22,LB,104,100,100,86,95,81,85,76,83,106,95,101,96,80,79,100,106,99,105,100,105,105,105,97,106,95,111,105,83,104,21,19,22,24,23,94,97,96,97,97,99,99,99,103,104,102,104,104,102,104,30
256,BTB,23,CF,104,103,104,107,103,106,105,97,108,106,97,97,95,107,110,107,107,105,100,106,52,59,59,91,57,88,102,85,81,108,14,13,21,14,17,103,104,104,104,104,103,98,103,83,85,73,85,82,73,82,24
256,BTB,24,LB,104,106,104,79,92,82,93,88,71,101,94,101,102,61,84,94,99,99,107,103,110,104,105,109,109,104,107,103,104,102,18,22,21,17,19,95,96,95,96,95,98,98,98,103,103,105,103,104,105,104,28
256,BTB,23,CB,103,100,95,73,90,79,81,73,70,95,90,67,101,75,75,91,95,98,106,101,105,104,103,110,102,107,97,107,106,97,17,19,22,15,16,90,88,90,88,91,89,94,89,100,95,103,95,97,103,97,26
256,BTB,20,GK,105,61,72,23,59,33,41,48,49,48,78,27,65,28,35,37,61,97,92,102,35,36,39,31,37,81,55,71,95,91,107,106,98,105,107,49,51,53,51,56,53,57,53,54,48,49,48,48,50,48,105
256,BTB,23,CB,104,97,102,63,74,58,65,71,64,91,88,74,85,57,79,76,92,99,109,104,106,108,107,105,106,106,95,106,107,98,15,17,25,17,22,82,82,82,82,84,85,88,85,99,96,104,96,99,104,99,27
