season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
252,CAP,19,GK,102,51,71,40,43,36,32,39,49,51,76,43,53,41,35,43,47,75,69,103,36,33,53,36,34,81,69,52,79,83,98,104,105,103,105,49,52,51,52,54,54,55,54,53,52,49,52,50,48,50,102
252,CAP,22,CDM,104,94,91,83,86,91,87,91,80,106,103,77,101,88,88,97,98,93,105,98,105,107,106,95,105,102,108,109,87,97,11,12,13,11,16,92,93,94,93,97,95,100,95,104,99,103,99,100,103,100,21
252,CAP,22,CDM,104,97,94,87,92,99,94,95,86,103,99,84,103,90,92,97,99,95,107,100,104,108,105,98,106,103,108,112,90,96,16,20,19,19,23,95,95,96,95,97,96,100,96,104,100,103,100,101,103,101,28
252,CAP,19,CM,97,95,97,89,88,91,95,89,95,103,102,101,101,98,106,99,104,93,89,90,67,78,79,75,67,77,91,79,81,104,15,10,15,17,14,91,97,96,97,98,98,97,98,87,88,78,88,85,77,85,22
252,CAP,21,RB,100,98,97,67,80,65,84,76,52,96,86,108,93,65,95,87,89,101,102,99,105,101,103,93,104,91,105,99,96,94,15,10,13,17,17,84,89,86,89,88,92,91,92,98,100,99,100,100,99,100,23
252,CAP,23,RM,104,99,96,98,108,111,100,95,109,104,108,115,110,113,111,104,107,102,102,98,79,86,84,88,74,89,109,107,86,107,17,10,10,16,12,99,103,102,103,103,104,103,104,95,96,88,96,93,87,93,22
252,CAP,23,CB,103,103,100,73,88,63,84,63,63,91,80,68,80,36,54,71,80,80,103,99,105,101,102,110,105,111,89,108,101,93,17,17,14,12,10,87,81,83,81,82,83,84,83,95,92,103,92,96,103,96,23
252,CAP,22,CAM,103,100,95,94,96,101,99,94,104,108,104,105,105,105,103,108,105,105,96,98,53,53,83,73,49,89,99,79,89,102,12,12,14,14,13,96,102,100,102,103,102,100,102,85,86,73,86,81,71,81,22
252,CAP,23,RB,105,104,105,80,94,83,84,74,81,102,96,102,95,73,76,98,104,102,106,101,106,106,109,96,104,94,115,106,84,103,17,14,12,16,15,92,96,95,96,96,99,99,99,103,105,102,105,105,102,105,24
252,CAP,24,CF,105,104,103,106,104,107,106,99,106,104,98,99,93,108,111,108,108,104,98,105,47,46,56,88,43,85,101,80,75,109,13,14,12,13,13,102,104,105,104,104,103,97,103,79,82,67,82,77,67,77,23
