season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
217,COC,9,RB,77,91,95,46,66,42,73,41,49,72,65,79,66,41,42,81,78,83,85,75,71,78,77,64,78,60,77,78,94,76,21,20,22,25,25,67,74,71,74,71,75,71,75,73,78,73,78,77,73,77,28
217,COC,8,RB,77,91,82,21,46,32,62,26,39,76,48,78,46,31,50,80,78,82,83,81,72,79,70,74,76,64,77,79,80,56,11,10,12,15,15,60,68,64,68,65,70,65,70,71,77,74,77,77,74,77,20
217,COC,20,ST,97,98,94,100,97,96,103,89,95,91,91,79,86,83,90,96,98,88,79,101,38,36,45,99,23,90,94,63,98,96,7,11,15,11,14,97,95,97,95,95,94,88,94,69,70,61,70,67,60,67,20
217,COC,21,ST,97,98,100,99,99,101,103,93,100,85,88,85,83,78,90,99,98,93,91,95,30,37,35,95,28,96,94,89,105,98,10,14,18,14,17,97,95,96,95,94,94,86,94,67,69,61,69,65,61,65,22
217,COC,15,CB,89,75,78,54,63,56,40,23,57,77,48,46,76,47,44,58,73,76,82,90,91,91,94,89,85,95,65,100,79,79,8,15,5,10,9,66,63,63,63,64,64,69,64,83,76,89,76,80,89,80,18
217,COC,14,CDM,84,69,75,67,82,77,70,74,61,87,78,68,80,72,70,76,86,78,86,85,82,83,88,61,76,82,91,86,78,85,12,11,5,7,13,74,76,77,76,79,77,82,77,84,81,80,81,80,80,80,18
217,COC,15,GK,94,50,47,12,25,11,16,16,16,31,48,15,32,17,14,10,18,75,46,93,11,10,23,19,12,56,34,19,78,60,95,87,93,101,98,27,29,29,29,31,30,31,30,29,28,26,28,27,26,27,94
217,COC,19,ST,95,90,96,100,95,95,100,93,87,95,84,70,63,77,87,99,100,88,94,94,13,20,24,90,12,84,76,64,82,87,13,15,6,14,11,95,93,96,93,93,90,82,90,58,60,49,60,56,48,56,21
217,COC,16,CDM,90,76,77,70,88,85,71,71,69,95,89,74,90,71,74,84,94,72,81,85,86,94,85,74,90,88,98,91,64,86,7,14,16,16,16,80,82,83,82,85,84,89,84,90,87,86,87,86,87,86,21
217,COC,14,LW,81,86,88,82,85,81,76,67,70,75,80,78,66,50,77,86,82,88,77,84,33,28,34,69,21,75,79,58,81,75,16,8,12,15,11,80,81,81,81,80,80,73,80,57,61,49,61,56,49,56,20
217,COC,20,CF,96,96,103,97,91,87,97,83,73,98,97,83,88,94,90,99,98,97,96,98,33,28,29,79,26,59,77,48,68,96,6,11,15,8,14,92,96,96,96,96,95,87,95,64,67,50,67,63,50,63,19
217,COC,14,CAM,82,88,89,79,85,79,81,69,79,82,83,80,78,75,80,83,86,79,72,84,17,43,39,58,29,78,69,73,76,80,15,12,5,15,12,79,82,82,82,82,82,77,82,61,62,52,62,58,51,58,20
217,COC,12,LB,80,93,90,69,67,63,75,52,68,73,69,86,66,70,77,78,84,88,76,84,80,79,70,69,78,86,89,79,63,74,12,12,12,13,6,75,79,76,79,76,79,75,79,76,81,77,81,80,77,80,18
217,COC,14,CM,83,74,81,72,76,80,75,77,70,85,88,79,82,80,82,83,88,83,91,84,67,71,79,68,72,68,91,74,78,86,13,15,15,13,13,76,81,80,81,82,82,83,82,79,79,73,79,77,73,77,21
217,COC,9,GK,79,53,61,12,14,12,12,12,24,32,46,17,37,13,15,17,31,54,52,75,15,15,24,16,13,66,40,31,73,56,80,80,76,82,81,27,31,30,31,33,33,33,33,32,30,29,30,30,28,30,79
217,COC,8,GK,77,60,59,14,24,12,13,14,24,52,70,12,61,14,14,28,29,69,63,75,14,15,12,12,20,68,30,41,83,66,78,76,86,77,80,30,36,36,36,42,39,42,39,36,30,30,30,29,30,29,77
217,COC,18,CB,95,89,80,49,76,77,67,61,66,94,81,63,95,71,59,83,93,86,91,91,95,97,92,103,98,96,78,90,100,90,9,12,5,10,9,78,79,80,79,83,81,87,81,92,87,95,87,89,95,89,18
217,COC,13,CAM,81,74,72,71,71,76,76,62,45,88,80,65,78,59,69,85,89,78,67,84,81,75,75,77,77,88,78,88,80,79,14,9,16,14,14,77,79,80,79,81,79,81,79,81,78,80,78,77,80,77,20
217,COC,7,LM,73,87,94,67,70,64,59,64,62,72,72,65,69,43,59,78,73,84,74,70,21,20,42,47,18,70,75,53,65,53,7,10,6,5,6,68,73,71,73,72,73,66,73,53,56,42,56,51,41,51,13
217,COC,14,CB,86,76,71,43,70,41,43,51,49,76,58,48,69,39,32,65,77,65,67,82,89,92,89,84,88,83,65,87,85,84,12,6,10,12,13,64,62,64,62,64,64,69,64,80,76,86,76,79,86,79,18
217,COC,7,GK,76,55,64,13,24,13,19,11,30,49,65,13,33,13,16,23,37,64,57,76,15,16,25,16,14,57,40,35,81,66,80,70,66,81,78,31,36,37,36,41,38,40,38,35,33,30,33,32,30,32,76
217,COC,15,LB,86,95,90,57,72,69,68,64,57,80,73,82,66,57,64,79,86,77,84,86,87,89,88,73,88,74,89,87,75,75,10,11,8,13,13,74,78,76,78,77,79,78,79,83,86,84,86,86,83,86,19
217,COC,17,CM,93,77,86,81,72,88,96,73,59,97,98,83,92,77,80,94,99,88,84,86,52,79,82,57,62,70,94,59,74,65,15,15,7,12,10,83,90,90,90,93,91,93,91,82,82,71,82,78,69,78,20
217,COC,15,CB,88,68,68,40,29,29,40,34,43,80,55,36,69,32,33,65,78,64,66,92,89,93,90,89,90,90,69,93,73,69,7,11,16,6,10,60,61,61,61,64,63,70,63,83,76,88,76,79,88,79,18
217,COC,16,CM,91,78,86,73,80,83,86,76,70,96,93,73,90,91,86,90,95,84,90,96,60,89,88,55,79,64,96,70,74,76,7,10,10,10,11,80,86,87,86,89,88,91,88,86,85,76,85,83,76,83,19
217,COC,12,CB,81,76,71,45,64,44,46,55,63,78,59,64,68,28,48,56,76,71,66,82,85,82,79,86,84,79,71,80,79,76,12,15,14,10,9,64,63,63,63,64,65,68,65,77,76,81,76,78,81,78,19
217,COC,15,ST,84,82,78,81,89,78,89,78,75,78,72,49,59,72,70,82,83,74,60,80,26,34,32,86,27,98,82,85,85,71,16,9,14,12,12,84,77,81,77,79,76,72,76,58,57,56,57,55,56,55,19
217,COC,5,GK,72,45,48,14,26,19,11,15,24,24,13,13,27,18,11,14,12,54,58,64,10,19,18,16,12,44,44,24,56,34,76,70,69,76,75,23,23,22,23,22,24,23,24,24,25,23,25,25,22,25,72
217,COC,12,GK,83,54,48,13,23,12,15,8,24,40,58,13,31,13,12,15,25,55,58,82,11,19,21,10,12,68,45,38,69,57,83,84,84,87,83,28,31,31,31,35,33,35,33,33,30,29,30,29,28,29,83
217,COC,16,GK,95,57,53,15,38,11,13,17,32,31,64,12,30,16,10,20,23,70,61,93,13,13,22,11,11,77,45,39,79,53,98,96,94,94,94,31,32,33,32,36,34,35,34,32,30,30,30,29,29,29,95
