season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
251,EBS,22,CDM,103,91,90,81,86,77,94,72,77,109,99,84,104,89,95,104,107,94,101,102,102,99,109,95,97,99,107,99,92,109,23,19,13,19,20,93,96,96,96,99,98,102,98,103,100,100,100,99,100,99,28
251,EBS,22,CDM,103,96,92,79,89,81,96,70,81,108,95,89,104,94,98,107,109,95,106,106,103,99,98,97,101,101,107,102,89,112,9,11,15,15,13,94,98,98,98,100,100,102,100,103,101,100,101,100,100,100,22
251,EBS,19,GK,101,54,70,48,45,38,31,38,48,56,74,46,50,49,38,49,56,76,71,101,39,32,56,38,36,86,68,48,77,86,97,106,104,101,103,52,55,55,55,57,57,57,57,55,54,51,54,52,50,52,101
251,EBS,24,ST,105,101,102,110,108,105,107,105,107,98,89,93,89,105,104,97,106,94,92,103,44,79,57,108,66,104,103,99,104,108,11,10,14,17,15,105,100,102,100,99,99,95,99,84,85,81,85,83,81,83,23
251,EBS,12,ST,80,76,83,85,78,75,85,95,84,65,94,46,57,73,71,79,77,78,83,83,37,39,68,83,37,68,75,56,83,81,16,20,17,18,19,80,76,80,76,78,74,73,74,61,61,57,61,60,56,60,25
251,EBS,20,RB,98,95,95,58,82,64,77,71,48,94,81,107,90,71,94,83,96,95,98,94,100,104,98,94,98,86,99,101,91,98,16,15,18,16,25,81,86,83,86,85,89,89,89,96,98,97,98,98,97,98,26
251,EBS,21,LM,100,92,90,98,108,109,99,95,93,107,102,99,108,92,95,98,106,97,105,97,68,72,90,85,59,85,106,96,94,104,17,20,18,14,15,98,99,100,99,101,100,101,100,92,90,82,90,86,80,86,25
251,EBS,21,RM,101,93,91,92,105,106,96,96,111,101,105,113,108,107,107,98,105,96,93,100,83,79,87,83,70,93,108,103,81,100,20,24,23,23,18,96,99,98,99,100,101,101,101,94,94,86,94,91,86,91,30
251,EBS,21,CB,100,99,97,71,85,64,81,64,64,89,81,70,83,16,55,71,84,84,100,97,102,100,99,107,101,107,93,105,99,92,17,15,22,23,18,85,81,82,81,82,83,85,83,94,91,100,91,94,100,94,27
251,EBS,22,ST,102,95,89,107,107,103,106,105,101,92,92,81,89,89,87,89,103,85,88,99,54,57,61,108,54,103,98,92,100,98,20,21,17,17,20,102,95,98,95,96,94,92,94,80,79,76,79,77,76,77,28
251,EBS,22,CAM,103,99,96,90,101,98,98,95,103,108,106,102,103,104,102,107,106,104,105,102,50,48,81,75,53,91,101,89,92,99,25,17,19,14,23,96,101,101,101,103,102,100,102,85,86,73,86,81,72,81,28
251,EBS,21,CF,99,96,100,101,99,104,103,100,104,97,98,95,91,106,109,104,101,102,95,94,49,55,57,88,53,78,100,87,79,107,19,15,16,18,23,97,99,99,99,99,98,93,98,78,81,69,81,77,69,77,26
251,EBS,23,CB,104,97,104,75,78,64,67,68,71,90,86,74,92,76,66,83,98,93,101,103,106,104,109,107,108,107,93,105,101,95,19,20,24,15,13,86,86,86,86,87,87,90,87,100,97,104,97,99,104,99,26
251,EBS,24,LB,104,107,103,78,93,79,91,87,75,100,96,100,101,64,83,93,100,97,101,102,108,105,103,108,107,106,105,98,106,105,24,23,27,15,18,94,95,94,95,95,97,98,97,102,103,104,103,104,104,104,29
251,EBS,24,CB,105,102,96,74,93,86,85,76,78,94,94,69,105,76,77,92,96,97,108,97,108,105,105,111,104,109,101,108,105,98,21,24,20,21,20,91,89,91,89,92,91,96,91,101,96,105,96,99,105,99,29
251,EBS,20,GK,104,57,71,25,43,22,32,31,37,44,72,21,59,16,29,30,48,93,96,100,20,13,34,24,14,77,50,64,97,79,105,104,91,108,107,43,46,46,46,50,47,49,47,44,39,38,39,37,38,37,104
251,EBS,23,CB,104,101,104,61,69,65,54,70,65,88,89,80,85,51,81,77,93,103,110,100,109,106,108,104,108,104,99,107,111,97,26,21,28,28,29,80,82,80,82,83,85,87,85,99,97,104,97,100,104,100,34
251,EBS,22,ST,102,101,101,108,102,97,115,101,98,91,83,70,81,84,94,92,97,107,104,108,45,43,64,101,26,87,91,79,102,106,26,27,26,15,27,102,96,99,96,96,94,89,94,73,73,67,73,71,66,71,33
251,EBS,22,CM,102,100,99,93,110,110,104,100,94,104,98,103,107,102,102,100,108,98,107,106,92,75,91,89,72,96,106,98,94,107,20,26,20,19,27,100,101,102,101,102,102,102,102,96,95,89,95,93,89,93,31
251,EBS,25,CAM,105,97,98,103,97,108,104,103,105,106,104,100,109,104,104,111,112,105,105,99,76,82,92,101,65,101,100,94,92,111,17,20,18,20,27,103,104,104,104,105,104,104,104,95,93,89,93,91,88,91,29
251,EBS,24,CDM,105,100,99,93,100,97,96,85,92,105,96,78,104,83,88,99,103,89,98,101,105,108,106,103,104,109,110,107,100,105,18,23,27,26,22,99,96,99,96,99,98,102,98,105,101,105,101,102,105,102,31
251,EBS,21,LM,99,98,101,90,96,95,99,89,94,97,93,103,98,95,107,106,103,106,98,91,48,57,69,78,48,80,99,78,89,101,14,15,14,21,16,93,99,97,99,98,99,94,99,80,83,69,83,78,68,78,24
251,EBS,19,CDM,96,93,91,81,93,92,86,83,92,97,86,86,103,88,97,91,96,87,83,97,94,98,97,93,97,93,99,95,94,95,23,19,26,17,21,90,90,90,90,91,92,94,92,96,94,95,94,95,95,95,28
251,EBS,24,ST,105,113,113,109,106,105,106,105,107,98,95,93,98,104,110,107,106,110,105,104,57,54,56,98,61,93,106,86,92,111,24,23,18,24,21,105,104,105,104,103,103,97,103,82,85,75,85,82,75,82,31
251,EBS,17,CDM,94,90,86,71,73,68,78,61,43,92,92,80,95,71,68,88,91,91,105,92,102,95,95,75,95,87,101,100,96,96,21,28,25,29,23,80,85,84,85,87,87,90,87,94,92,93,92,92,93,92,32
251,EBS,12,GK,85,37,32,13,15,13,14,15,25,41,41,20,38,15,15,14,33,56,58,88,12,17,27,16,16,78,32,43,63,61,83,84,89,85,86,28,30,30,30,33,31,35,31,35,30,32,30,29,32,29,85
251,EBS,23,CAM,104,102,96,104,107,111,107,92,108,108,104,93,106,103,96,98,105,95,106,104,100,98,96,108,94,108,107,106,98,104,24,18,22,26,23,104,102,104,102,104,102,104,102,102,99,101,99,99,101,99,31
251,EBS,23,CM,104,98,92,94,108,107,94,93,105,109,103,87,111,106,97,96,107,92,108,99,101,103,102,107,98,109,107,109,92,109,20,25,21,25,19,100,98,100,98,101,99,104,99,104,100,103,100,100,103,100,30
251,EBS,23,CAM,104,102,101,103,101,102,108,97,102,104,96,93,95,91,97,106,113,102,105,103,43,58,67,92,60,99,100,83,91,107,26,22,25,20,15,103,103,104,103,104,103,98,103,83,85,75,85,81,74,81,30
251,EBS,15,CM,87,85,84,71,89,79,82,76,70,90,87,71,87,58,66,83,86,81,98,94,83,89,86,85,85,85,99,101,82,90,16,25,24,23,17,83,82,84,82,84,84,87,84,88,86,87,86,86,87,86,28
251,EBS,22,RWB,102,107,103,78,96,93,87,79,85,91,90,107,90,61,93,102,101,100,102,98,106,104,103,91,106,88,104,101,88,96,24,27,26,14,22,91,96,94,96,94,97,95,97,98,102,99,102,102,99,102,30
251,EBS,22,ST,101,111,108,105,104,98,109,103,99,88,90,85,64,85,91,101,99,106,102,104,44,48,51,88,48,84,98,75,102,105,14,24,23,14,26,101,99,101,99,97,97,87,97,71,78,67,78,75,66,75,28
251,EBS,24,CM,104,95,98,108,109,112,110,104,110,106,103,102,106,105,106,102,106,97,103,103,86,94,93,91,86,99,107,99,98,105,28,30,32,25,29,104,103,104,103,104,103,104,103,99,98,94,98,96,93,96,36
251,EBS,23,RW,104,106,107,94,102,104,103,91,106,104,98,110,101,107,106,108,108,108,102,101,54,66,68,83,61,97,103,94,90,107,15,19,14,15,16,99,104,102,104,103,104,99,104,86,89,77,89,85,77,85,25
251,EBS,23,RW,104,107,104,95,103,102,104,90,105,105,99,109,100,106,107,109,108,107,103,103,55,68,72,89,66,96,103,95,91,106,14,15,13,14,15,100,104,103,104,103,104,100,104,87,90,79,90,87,79,87,24
251,EBS,24,ST,105,107,106,110,106,93,108,97,99,94,87,89,85,94,94,100,110,105,107,98,55,27,35,111,61,107,96,93,110,95,18,24,19,22,15,105,101,102,101,99,99,89,99,73,77,70,77,75,72,75,28
251,EBS,22,RW,101,110,104,95,100,102,95,100,84,103,94,102,93,87,100,106,100,105,103,102,56,67,72,75,55,83,106,78,84,95,20,15,23,23,24,96,101,99,101,100,101,96,101,84,88,74,88,84,73,84,29
251,EBS,21,CB,102,99,94,55,85,45,59,52,63,84,76,74,59,70,49,88,96,85,97,100,106,103,102,106,99,110,90,109,98,99,22,11,22,12,22,81,80,80,80,79,82,81,82,93,93,102,93,96,102,96,26
251,EBS,22,ST,102,101,104,105,104,94,106,97,97,91,66,71,74,79,90,96,100,96,107,102,44,62,38,106,52,105,92,86,104,105,15,14,24,18,17,102,95,97,95,93,92,85,92,73,75,72,75,73,73,73,25
251,EBS,23,LM,103,102,105,97,112,111,101,98,93,102,102,107,104,103,103,106,103,105,108,104,85,90,91,92,81,92,108,103,93,110,20,14,25,15,19,101,103,103,103,103,103,102,103,96,97,91,97,95,91,95,26
251,EBS,21,LM,100,107,106,96,95,99,104,85,89,97,96,99,91,93,98,106,98,106,99,95,58,55,55,83,53,94,105,83,94,94,12,10,14,12,11,97,100,99,100,99,100,93,100,79,83,71,83,79,71,79,20
251,EBS,23,CDM,105,88,88,82,105,109,91,83,105,109,99,108,112,113,111,101,116,96,106,100,95,106,108,76,92,89,109,98,81,113,27,21,23,20,18,94,99,99,99,101,101,105,101,105,103,97,103,100,96,100,30
251,EBS,23,ST,104,106,107,110,103,98,110,107,108,92,94,87,77,88,100,101,104,97,105,100,46,55,30,106,45,104,98,93,94,105,21,20,23,26,24,104,101,102,101,99,99,90,99,73,76,70,76,74,71,74,31
251,EBS,23,CM,105,96,97,96,101,101,101,87,106,111,100,105,110,110,109,106,111,109,114,103,93,95,98,68,87,86,106,105,83,111,25,16,23,30,19,97,103,102,103,104,104,105,104,101,100,92,100,97,92,97,31
251,EBS,23,ST,103,98,102,111,100,94,109,98,103,90,87,86,83,85,96,95,103,102,104,101,48,54,70,111,53,101,94,101,112,106,23,17,14,23,26,103,98,100,98,97,96,90,96,79,80,77,80,78,77,78,30
251,EBS,23,CB,104,102,99,74,89,63,84,71,75,97,94,91,94,79,79,90,94,94,110,103,110,105,105,106,104,104,107,109,108,106,27,15,24,25,23,90,90,90,90,91,93,94,93,101,100,104,100,102,104,102,31
251,EBS,24,CM,103,100,99,98,110,110,103,102,105,107,99,106,107,105,106,105,107,96,102,100,92,98,91,104,92,99,111,104,94,100,28,30,31,25,20,103,103,103,103,103,103,103,103,100,100,97,100,99,97,99,34
251,EBS,19,GK,101,68,73,44,51,37,43,45,54,55,44,44,56,48,53,53,64,96,88,103,36,36,37,42,44,81,64,65,96,85,104,102,95,103,98,56,58,57,58,57,58,55,58,53,54,51,54,53,52,53,101
251,EBS,21,RW,99,94,95,86,101,105,94,96,90,97,97,105,95,103,108,107,106,103,95,95,41,43,53,71,25,78,84,78,79,96,17,16,13,17,11,92,99,97,99,98,98,92,98,73,75,60,75,70,59,70,23
251,EBS,25,ST,105,107,107,106,109,109,111,106,111,89,90,89,94,94,96,105,105,103,102,101,40,43,46,106,36,98,99,97,112,111,10,13,15,13,14,105,101,103,101,100,100,92,100,74,76,68,76,73,68,73,22
251,EBS,12,GK,85,58,50,16,30,19,24,14,31,23,65,13,23,13,14,13,37,78,84,89,22,30,27,19,29,71,37,39,78,67,82,86,85,86,88,33,34,35,34,37,34,36,34,35,34,36,34,35,37,35,85
251,EBS,13,GK,85,58,51,17,28,17,21,17,28,24,63,14,23,14,18,15,34,70,74,91,20,28,25,21,25,68,37,40,78,63,83,86,87,85,87,32,34,35,34,36,34,35,34,34,33,35,33,34,35,34,85
251,EBS,20,LB,100,103,107,70,89,80,93,84,83,89,83,101,90,80,95,98,94,101,105,98,107,101,101,83,102,91,105,96,87,97,16,17,14,13,19,88,93,90,93,90,94,92,94,96,100,97,100,100,97,100,25
251,EBS,22,CF,101,101,98,104,99,99,101,99,99,99,96,84,84,89,95,101,106,98,103,105,58,57,56,102,48,88,98,70,101,107,20,19,26,25,24,101,99,101,99,100,98,94,98,79,81,73,81,78,73,78,31
251,EBS,18,GK,100,59,59,20,46,31,28,23,42,52,69,31,46,29,29,24,48,77,59,95,34,26,46,26,25,82,57,35,76,76,98,102,93,106,103,41,44,45,44,48,46,50,46,48,45,43,45,44,42,44,100
