season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
264,FA,24,CB,106,106,104,77,87,67,85,68,67,98,84,72,87,39,57,75,89,89,106,102,106,104,104,114,106,116,95,109,106,100,17,18,19,17,21,90,86,87,86,87,87,90,87,99,96,106,96,99,106,99,27
264,FA,22,CAM,103,98,107,92,104,102,100,95,93,99,100,96,99,105,107,114,112,114,109,97,37,43,52,85,53,76,99,65,75,106,19,18,15,20,16,98,103,102,103,103,102,96,102,76,80,63,80,76,63,76,26
264,FA,22,ST,103,96,97,107,106,102,109,93,93,93,83,74,82,84,97,95,100,87,105,102,47,41,50,107,40,108,93,99,97,103,19,17,16,18,15,103,96,99,96,96,94,88,94,74,74,71,74,71,71,71,26
264,FA,21,CB,101,93,98,67,71,57,66,46,64,91,85,70,97,57,63,82,94,89,97,96,102,103,108,104,106,100,88,101,96,96,17,18,15,16,19,81,82,82,82,84,85,89,85,98,94,101,94,96,101,96,26
264,FA,24,CM,105,99,99,98,111,109,102,90,107,109,105,86,108,104,95,97,109,98,109,101,102,102,98,109,96,110,106,110,98,106,17,17,14,19,16,103,100,103,100,103,101,105,101,104,100,103,100,100,103,100,26
264,FA,23,CAM,102,92,91,106,105,108,109,101,108,105,101,98,104,103,103,100,105,92,99,101,83,93,89,87,81,96,104,98,94,104,15,17,18,11,13,101,101,102,101,102,101,102,101,96,95,91,95,93,91,93,23
264,FA,24,RW,105,104,103,93,99,101,106,86,103,107,103,108,104,105,105,111,109,105,101,102,48,55,67,82,58,94,102,93,86,107,18,20,16,16,17,99,105,103,105,105,105,100,105,85,87,74,87,82,73,82,26
264,FA,24,CM,107,90,91,89,106,110,97,84,106,110,105,111,115,114,113,106,114,98,107,102,92,103,105,75,88,92,109,97,80,114,20,21,18,16,17,96,102,102,102,104,104,107,104,104,102,95,102,100,94,100,27
264,FA,21,ST,101,97,98,106,106,103,106,104,102,95,93,91,90,104,102,94,106,95,95,100,42,52,34,93,39,91,93,79,89,105,18,21,17,15,19,101,98,100,98,98,97,91,97,73,75,65,75,71,66,71,27
264,FA,22,ST,104,107,107,112,102,104,111,99,102,96,87,87,85,98,98,101,102,106,99,105,58,45,50,94,45,95,102,95,101,108,18,17,16,20,19,104,101,103,101,100,99,92,99,77,80,71,80,76,71,76,27
