season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
210,GR,17,CF,92,86,91,87,84,88,98,93,85,94,97,92,89,72,94,88,94,90,84,99,53,60,69,95,47,77,96,85,93,91,11,12,16,20,19,90,92,92,92,92,92,90,92,79,79,72,79,77,71,77,24
210,GR,18,CF,92,90,87,98,87,88,100,94,69,89,88,82,76,68,90,85,92,87,82,100,40,50,67,92,53,84,96,66,91,95,9,10,14,17,17,92,90,92,90,90,89,86,89,73,76,67,76,74,67,74,22
210,GR,20,CF,94,94,97,97,98,96,91,99,94,93,93,84,79,92,91,95,96,93,98,96,35,69,56,82,40,97,98,100,75,91,18,14,12,19,18,94,93,94,93,93,92,89,92,76,76,70,76,73,69,73,25
210,GR,20,ST,94,94,99,98,97,91,98,93,92,89,87,80,71,82,92,95,92,94,99,95,44,35,39,85,28,88,87,75,91,97,14,16,8,15,12,94,92,93,92,91,90,83,90,66,69,60,69,65,59,65,22
210,GR,20,CF,95,96,100,100,84,89,95,92,79,93,91,88,80,89,90,100,97,99,98,97,38,44,27,76,55,84,89,51,76,93,9,14,18,11,17,92,95,95,95,95,94,86,94,67,73,58,73,69,60,69,22
210,GR,19,CM,93,84,84,91,87,89,92,82,86,98,97,92,99,91,87,92,97,83,78,89,68,78,72,70,71,82,90,79,66,89,9,13,11,18,18,88,91,91,91,93,92,93,92,85,84,76,84,81,76,81,22
210,GR,17,RW,91,98,100,93,88,87,95,80,78,88,86,86,72,77,82,93,89,98,91,91,38,56,47,79,50,78,86,72,71,81,14,11,12,11,12,89,91,91,91,90,90,83,90,69,74,63,74,71,63,71,20
210,GR,13,LM,81,94,85,75,92,76,74,75,71,75,74,86,71,82,73,86,84,73,59,79,24,29,29,63,26,89,85,61,70,65,18,10,11,14,10,79,80,80,80,78,81,72,81,57,62,49,62,57,48,57,20
210,GR,17,CAM,91,82,87,89,96,99,91,89,89,95,92,91,97,95,97,90,95,84,78,86,60,70,70,70,59,72,89,76,64,82,23,20,21,18,14,87,90,90,90,91,90,90,90,80,80,71,80,77,70,77,26
210,GR,16,CAM,86,85,82,76,88,88,84,82,72,88,86,84,84,61,81,90,91,85,81,86,22,28,69,65,46,72,85,47,74,71,10,15,20,12,19,81,85,85,85,86,86,83,86,66,70,54,70,65,53,65,22
210,GR,16,RW,90,93,95,91,77,85,95,88,80,88,84,81,72,76,87,94,93,96,84,86,34,31,46,69,34,79,84,66,76,82,17,23,17,19,22,87,90,89,90,89,88,81,88,64,68,55,68,63,55,63,27
210,GR,14,RB,83,88,85,65,83,64,76,68,77,81,75,87,79,58,70,79,81,77,89,75,83,84,85,87,82,98,85,96,92,84,9,17,16,10,17,78,78,77,78,77,79,78,79,82,83,85,83,83,85,83,20
210,GR,15,RW,88,90,89,87,86,90,85,86,81,87,81,81,83,85,94,94,94,91,78,84,32,27,46,77,32,62,81,62,71,69,12,17,13,15,10,85,88,88,88,88,87,81,87,63,66,52,66,62,52,62,21
210,GR,14,ST,83,87,90,84,86,89,85,81,74,75,66,75,75,86,77,89,86,91,89,88,25,32,32,78,27,69,77,57,72,68,10,13,15,9,11,83,83,83,83,81,82,74,82,57,61,49,61,58,49,58,19
210,GR,15,LW,86,92,95,78,75,71,84,64,85,79,73,91,72,65,81,90,91,91,88,89,36,47,38,65,32,47,81,72,59,69,16,17,17,16,15,79,86,83,86,83,85,76,85,62,68,53,68,64,52,64,24
210,GR,17,ST,91,98,93,94,92,89,95,89,85,81,81,72,72,78,78,87,91,89,67,91,35,34,32,86,35,87,86,70,79,88,10,18,12,16,8,91,88,89,88,87,86,79,86,62,65,57,65,62,57,62,21
210,GR,15,CB,88,76,75,62,84,55,56,53,31,67,71,54,58,51,36,67,68,69,79,86,91,93,84,94,93,94,76,96,89,88,9,11,8,8,15,72,66,68,66,67,67,69,67,79,77,88,77,80,89,80,18
210,GR,18,RM,92,100,96,92,96,97,90,86,84,89,87,90,87,94,95,96,90,91,82,93,70,72,66,82,69,89,96,84,74,86,18,18,14,9,8,91,92,92,92,91,92,88,92,81,83,77,83,81,77,81,22
210,GR,16,ST,86,84,82,89,95,84,86,81,80,77,65,56,56,77,76,85,82,66,71,84,36,44,42,89,37,98,85,73,81,79,26,19,24,22,22,86,79,83,79,78,77,72,77,61,63,60,63,61,60,61,29
210,GR,15,LM,87,91,94,85,86,83,83,71,77,86,81,88,77,63,80,90,88,92,86,90,60,68,53,81,77,82,90,79,79,76,16,12,18,21,13,85,87,86,87,86,87,82,87,75,79,72,79,78,73,78,23
210,GR,18,CAM,93,88,86,80,82,84,94,85,75,98,95,95,95,89,92,96,96,97,83,95,30,44,39,66,27,79,84,64,61,77,9,17,13,17,9,86,92,91,92,93,93,88,93,69,70,55,70,65,54,65,22
210,GR,17,LB,91,96,89,81,85,83,77,60,65,88,86,96,88,78,91,97,97,96,93,89,85,92,90,81,91,83,95,95,82,93,16,10,9,12,8,85,90,88,90,89,90,89,90,90,92,88,92,91,88,91,19
210,GR,16,ST,86,92,91,89,82,81,87,85,79,84,80,77,73,70,80,88,89,90,82,90,15,28,28,79,18,78,82,69,68,78,11,10,8,10,8,86,86,86,86,85,85,77,85,58,61,48,61,57,48,57,18
210,GR,19,CAM,93,91,89,89,86,88,94,92,79,95,93,93,87,99,95,94,97,97,93,93,60,60,47,74,33,80,93,60,80,90,12,13,17,11,8,89,93,92,93,93,93,89,93,74,76,65,76,72,64,72,20
210,GR,15,ST,85,87,84,85,86,78,86,76,77,80,71,59,38,57,67,84,85,78,70,80,24,34,30,90,29,97,84,82,87,80,10,10,10,11,8,85,80,82,80,79,78,70,78,56,59,56,59,57,56,57,17
