season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
216,HOT,16,GK,95,57,59,33,37,28,21,34,36,40,76,32,39,31,25,30,34,52,53,91,24,21,40,34,23,83,64,38,60,73,93,98,99,95,96,41,42,42,42,45,44,45,44,42,41,39,41,41,38,41,95
216,HOT,21,ST,98,96,95,103,101,96,100,100,100,94,79,87,81,93,94,93,97,77,74,93,33,68,49,101,58,96,95,83,96,100,8,9,13,12,12,98,93,95,93,92,93,87,93,75,77,71,77,75,72,75,19
216,HOT,18,ST,95,94,96,98,97,91,96,93,93,87,91,78,77,88,86,93,93,85,89,98,30,53,73,98,43,87,91,75,88,88,8,15,9,12,10,95,92,94,92,91,90,87,90,73,75,68,75,73,66,73,20
216,HOT,18,CDM,96,73,78,77,92,94,79,78,74,96,96,77,89,75,85,88,95,79,92,93,97,97,101,88,99,93,98,104,78,89,11,17,15,17,17,85,86,87,86,89,87,93,87,96,92,95,92,92,95,92,24
216,HOT,17,RB,93,92,86,48,90,41,59,63,35,88,69,99,84,38,72,62,89,78,87,92,95,97,93,89,98,87,93,96,87,84,15,12,8,14,9,74,75,73,75,74,79,80,79,90,92,93,92,93,93,93,21
216,HOT,21,CAM,98,89,86,96,100,105,97,93,76,102,101,94,104,73,87,95,101,85,92,94,57,70,86,84,41,78,97,93,88,93,10,15,8,11,18,94,96,96,96,98,96,97,96,86,83,76,83,80,74,80,22
216,HOT,17,CB,93,90,84,54,64,39,40,32,42,86,56,48,73,21,34,47,72,55,67,91,95,94,89,99,96,102,79,98,94,85,14,10,15,12,8,68,62,64,62,64,66,70,66,85,81,93,81,85,94,85,20
216,HOT,17,ST,93,81,73,98,98,95,100,97,92,85,76,74,80,75,73,80,92,57,62,98,37,34,44,97,41,87,79,88,89,97,10,18,17,10,14,93,85,89,85,86,84,81,84,67,66,62,66,64,63,64,22
216,HOT,16,GK,96,49,44,11,25,10,13,15,23,19,64,15,27,10,13,16,26,64,75,99,11,10,14,9,8,87,34,101,90,24,98,91,80,103,98,28,30,31,30,33,31,32,31,32,26,33,26,25,33,25,96
216,HOT,18,CAM,93,89,96,84,91,95,93,87,91,89,89,87,86,99,95,104,101,100,102,90,39,42,52,75,39,69,86,51,57,95,12,18,15,16,12,89,93,93,93,93,92,87,92,69,73,57,73,68,56,68,22
216,HOT,15,GK,92,57,62,16,48,19,20,19,29,30,71,14,16,13,15,16,25,66,54,93,14,18,31,36,19,85,42,95,75,74,96,93,87,94,90,36,34,36,34,37,35,35,35,37,33,40,33,33,40,33,92
216,HOT,15,GK,92,57,62,26,48,19,20,19,43,30,73,24,16,13,29,25,35,69,64,97,14,18,31,36,19,85,42,94,78,77,87,96,88,91,94,40,39,41,39,41,39,38,39,38,35,40,35,35,40,35,92
216,HOT,19,CAM,96,87,88,87,96,94,90,93,97,101,100,100,100,97,95,98,102,93,89,93,39,41,73,64,32,79,88,70,76,87,18,8,8,9,13,89,95,94,95,96,95,93,95,77,77,62,77,71,60,71,20
216,HOT,19,LB,97,102,101,87,105,101,87,87,87,97,86,101,85,102,103,88,98,82,97,100,97,94,97,87,96,91,100,86,93,86,11,15,13,14,16,93,94,93,94,92,94,93,94,94,97,94,97,97,93,97,23
216,HOT,19,RB,97,98,95,72,85,61,80,70,73,97,89,98,94,63,63,87,98,95,90,97,96,100,99,91,98,80,101,93,67,85,10,10,12,12,12,85,89,87,89,89,92,92,92,96,97,94,97,97,93,97,20
216,HOT,20,CF,97,99,97,100,96,99,99,98,97,93,95,91,86,97,100,99,101,98,82,98,43,45,53,83,37,77,93,75,70,91,15,12,10,15,10,95,97,97,97,97,96,90,96,73,76,63,76,72,62,72,22
216,HOT,19,CB,96,89,81,54,58,51,54,54,60,86,53,62,78,43,57,75,87,65,73,97,101,95,98,98,100,99,76,98,91,77,11,12,17,16,15,73,72,72,72,72,74,77,74,90,87,96,87,90,96,90,22
216,HOT,21,LB,98,96,93,68,80,59,67,73,58,93,83,95,83,43,49,84,93,80,89,96,101,102,100,100,105,93,98,84,94,93,13,9,12,13,15,82,84,83,84,84,87,87,87,95,97,98,97,98,98,98,21
216,HOT,21,CAM,98,97,98,98,89,93,95,92,92,101,95,95,97,98,100,105,102,96,101,98,48,36,29,71,39,84,76,63,81,96,8,18,11,13,10,94,98,97,98,98,97,90,97,70,73,58,73,67,59,67,21
216,HOT,18,CB,95,88,83,56,72,59,55,54,61,86,69,51,85,57,55,67,87,76,79,95,98,95,98,97,97,100,86,96,93,98,10,17,8,14,11,74,72,74,72,75,74,80,74,91,86,95,86,89,95,89,21
216,HOT,19,CB,97,95,91,48,60,66,51,53,65,81,70,71,78,51,75,71,79,97,104,98,103,100,100,95,101,96,87,98,105,89,14,9,17,16,16,71,74,72,74,74,75,78,75,90,89,97,89,92,97,92,23
216,HOT,19,ST,96,93,90,103,93,94,104,94,90,85,70,62,68,79,86,89,98,95,97,99,35,27,53,100,27,78,82,65,91,92,17,13,14,10,13,96,90,93,90,89,87,81,87,64,66,59,66,63,58,63,22
216,HOT,19,CF,97,97,99,98,97,97,95,89,94,99,95,91,89,101,97,102,99,97,101,100,56,53,42,65,43,62,84,70,66,88,18,17,17,11,10,92,97,97,97,97,96,91,96,73,76,62,76,72,62,72,23
216,HOT,19,CAM,97,88,93,92,103,104,95,87,92,99,93,95,100,93,93,98,102,92,96,99,79,77,85,75,69,86,103,89,83,98,17,18,17,16,15,93,96,96,96,97,96,96,96,90,90,82,90,87,82,87,25
216,HOT,20,CDM,97,94,89,85,80,87,89,76,81,98,89,74,97,66,75,93,97,79,86,96,93,99,100,89,94,101,102,103,94,93,13,12,10,18,18,90,90,91,90,92,91,95,91,97,94,96,94,94,96,94,23
216,HOT,18,RW,93,95,94,89,80,86,91,81,85,91,91,99,88,91,96,99,97,92,89,89,37,41,50,66,39,78,91,60,84,93,9,9,14,13,17,87,93,91,93,92,93,87,93,69,74,58,74,69,57,69,20
216,HOT,18,CDM,94,89,87,87,93,95,89,79,67,98,78,82,95,86,86,88,95,89,87,95,93,93,97,88,96,94,96,98,86,90,11,15,16,14,17,90,89,90,89,90,89,92,89,94,92,93,92,93,93,93,23
216,HOT,21,ST,98,105,104,105,94,98,98,99,94,91,89,89,84,96,96,101,103,103,89,95,49,54,62,88,48,89,93,76,78,102,13,15,10,13,13,98,98,98,98,97,96,90,96,76,79,69,79,76,68,76,22
216,HOT,18,CDM,95,88,88,61,63,56,67,48,46,95,88,74,93,55,47,84,91,94,101,95,99,101,98,69,97,93,99,97,92,91,9,17,13,17,10,75,81,80,81,84,85,89,85,95,92,94,92,92,94,92,22
216,HOT,19,CM,96,86,85,96,100,101,93,86,95,98,94,88,97,95,73,94,100,84,93,95,81,94,88,99,84,101,98,98,89,91,13,17,14,11,16,95,93,95,93,95,93,96,93,93,91,92,91,90,91,90,23
216,HOT,19,CF,96,94,89,99,89,96,99,96,98,94,91,84,85,88,83,98,105,94,98,94,38,45,57,75,35,87,86,75,88,96,12,15,10,17,10,94,95,96,95,96,94,89,94,73,74,63,74,69,62,69,22
216,HOT,18,CDM,95,89,84,67,85,77,72,61,68,90,87,68,91,56,60,78,86,85,95,98,99,98,102,75,98,97,104,105,80,83,11,10,11,8,14,80,80,81,80,83,83,88,83,95,91,95,91,92,94,92,20
216,HOT,18,ST,94,103,102,100,94,93,98,92,93,85,77,78,58,78,87,99,96,97,93,96,32,34,27,89,33,71,89,67,93,95,10,18,13,11,13,94,94,94,94,91,91,80,91,61,68,55,68,64,55,64,22
216,HOT,18,CB,95,85,76,55,58,44,51,49,52,78,63,64,87,53,49,64,75,61,79,89,101,98,98,97,97,97,92,101,96,81,19,17,12,19,18,69,67,67,67,68,71,76,71,89,85,95,85,88,95,88,25
216,HOT,21,CM,98,89,83,102,100,103,101,92,98,100,100,98,101,95,93,93,102,85,96,95,55,88,91,85,76,88,98,87,89,97,15,17,18,11,13,96,96,97,96,98,96,98,96,90,89,83,89,87,82,87,23
216,HOT,20,RW,97,101,98,93,94,97,96,89,88,89,88,102,88,96,89,103,102,102,92,98,48,44,45,74,48,89,89,87,84,95,11,11,15,16,13,93,97,96,97,95,96,88,96,73,77,65,77,73,65,73,22
216,HOT,20,LM,97,93,97,96,100,103,96,93,92,97,93,99,96,93,91,100,98,94,91,95,66,82,88,85,80,81,104,87,88,90,12,15,17,9,12,95,97,96,97,96,97,95,97,89,91,83,91,89,82,89,21
216,HOT,17,LM,93,94,97,93,88,90,95,69,85,91,84,92,87,88,91,98,93,93,87,94,51,42,37,69,34,84,98,78,80,89,9,8,15,10,10,89,93,92,93,92,93,86,93,70,73,60,73,68,60,68,18
216,HOT,20,CB,96,95,93,56,68,46,59,64,67,91,71,63,87,35,65,71,89,79,90,92,101,96,100,97,97,97,86,98,98,96,16,13,9,9,13,76,75,75,75,77,78,82,78,93,89,96,89,91,96,91,21
216,HOT,20,ST,96,97,99,100,97,95,99,94,98,85,86,85,75,74,80,97,97,95,94,93,34,36,35,100,35,91,85,64,95,98,16,13,13,17,16,96,94,95,94,92,92,83,92,65,69,60,69,66,60,66,23
216,HOT,15,ST,88,98,99,93,85,89,90,83,89,88,86,86,77,74,80,95,95,95,89,90,59,46,45,70,35,72,92,75,67,88,13,10,12,18,11,88,92,91,92,90,91,84,91,70,73,61,73,69,61,69,21
216,HOT,20,ST,97,97,98,102,98,91,102,95,98,86,75,77,66,83,83,96,93,91,89,99,37,46,37,100,37,96,86,90,88,97,14,18,8,12,10,97,92,94,92,90,90,81,90,67,70,64,70,67,65,67,22
216,HOT,19,CB,97,95,88,59,78,54,59,40,68,87,76,81,74,61,73,72,83,88,99,96,104,94,99,97,101,101,97,103,96,86,16,11,17,12,13,76,77,76,77,77,79,80,79,92,92,97,92,94,97,94,22
216,HOT,21,ST,98,104,102,105,98,98,102,97,96,87,83,78,76,95,100,98,95,102,92,102,28,33,43,94,27,92,89,74,96,98,17,9,10,8,16,98,95,97,95,94,93,85,93,66,69,59,69,65,59,65,22
216,HOT,21,CM,98,95,88,97,105,105,97,90,94,103,96,97,103,98,91,94,100,87,94,95,86,94,88,97,93,95,103,97,91,92,16,18,16,13,8,97,96,97,96,97,97,98,97,96,95,93,95,94,93,94,22
216,HOT,21,ST,98,101,103,104,98,103,101,95,100,87,84,83,78,97,91,101,94,98,84,99,36,44,38,97,27,91,91,86,103,100,10,14,18,14,17,98,96,97,96,94,94,85,94,68,70,63,70,67,62,67,23
