season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
298,KFA,9,CAM,77,80,82,69,74,69,79,73,72,76,82,78,72,74,75,75,77,84,87,82,48,57,60,67,49,60,84,61,77,81,14,15,15,15,16,73,77,76,77,77,77,75,77,67,69,60,69,67,60,67,22
298,KFA,9,ST,77,86,79,81,77,71,75,64,71,73,73,69,69,65,70,77,75,86,83,77,46,43,63,73,41,87,68,62,76,78,14,23,21,14,23,77,76,76,76,75,75,71,75,63,64,60,64,62,59,62,25
298,KFA,14,CM,83,75,72,78,91,80,78,63,84,92,87,82,88,85,84,80,87,78,67,74,63,78,62,79,79,80,79,74,78,89,22,17,15,18,17,80,80,81,80,83,81,83,81,78,77,74,77,76,75,76,24
298,KFA,14,CAM,82,81,82,82,88,82,82,88,82,83,79,80,79,83,84,88,85,85,86,81,59,68,65,74,55,72,81,61,85,77,19,22,18,17,23,82,83,83,83,82,82,80,82,72,74,68,74,72,67,72,26
298,KFA,8,RM,75,87,86,63,68,72,73,59,61,73,73,75,75,71,59,73,75,78,93,73,66,73,72,69,61,72,92,68,85,74,19,20,21,23,24,71,74,73,74,73,75,74,75,72,74,70,74,73,69,73,27
298,KFA,12,LB,81,75,84,39,76,61,62,51,71,82,76,80,81,68,80,81,82,86,86,83,84,85,83,60,84,74,76,68,82,83,16,19,21,21,21,66,74,72,74,75,76,78,76,81,81,79,81,81,79,81,26
298,KFA,12,ST,79,71,73,77,88,81,76,81,82,73,77,61,71,70,62,69,77,78,73,80,63,48,34,87,51,94,84,79,78,76,15,18,15,16,18,79,73,76,73,75,73,72,73,65,63,64,63,62,66,62,23
298,KFA,9,LB,77,93,94,32,82,76,82,32,79,70,73,79,68,82,85,79,74,82,89,82,69,72,72,67,73,80,89,72,86,69,19,19,21,23,15,69,74,73,74,73,76,73,76,73,77,73,77,77,73,77,26
298,KFA,10,CB,78,81,76,30,31,64,39,65,41,72,72,57,67,31,54,41,58,78,67,78,78,80,78,75,74,94,93,89,64,68,15,14,18,21,24,54,57,55,57,60,60,66,60,75,73,78,73,75,78,75,25
298,KFA,16,LM,87,92,94,89,90,91,90,80,77,82,84,82,70,76,86,91,90,88,83,87,35,41,46,69,40,68,88,66,71,85,20,21,21,19,15,86,88,88,88,87,87,80,87,64,69,56,69,65,55,65,26
298,KFA,8,RB,74,69,88,63,62,67,61,54,54,74,72,85,71,65,69,63,59,87,74,78,79,79,64,53,76,70,81,87,87,70,24,23,14,23,18,64,69,66,69,68,70,69,70,73,74,72,74,74,73,74,27
298,KFA,10,CB,78,77,76,40,51,67,45,66,69,74,73,74,71,67,70,56,72,72,70,82,85,78,78,78,74,82,73,77,83,81,24,21,15,21,19,61,65,63,65,66,67,70,67,76,75,78,75,76,78,76,27
298,KFA,9,CB,77,46,57,29,42,24,30,38,43,53,47,34,44,36,37,32,38,77,51,72,82,84,82,78,76,93,77,76,84,73,17,18,20,15,22,46,41,42,41,43,44,50,44,67,62,77,62,66,77,66,24
298,KFA,11,CM,79,79,70,60,83,82,61,59,71,86,87,77,84,82,81,72,74,85,84,76,64,74,76,52,56,78,88,78,70,69,18,21,16,16,15,69,74,73,74,76,75,79,75,77,74,70,74,72,69,72,23
298,KFA,8,CB,75,76,75,31,46,29,30,34,41,56,62,34,42,33,30,68,70,48,63,71,76,77,69,79,76,84,73,78,77,74,21,23,22,21,17,54,55,56,55,56,57,58,57,67,66,75,66,69,75,69,26
298,KFA,11,RM,79,76,77,78,81,78,75,72,64,83,77,77,78,75,78,80,81,80,88,80,64,63,70,73,62,77,88,79,71,78,15,24,17,16,16,77,78,78,78,79,79,78,79,74,74,70,74,73,70,73,24
298,KFA,9,ST,75,87,86,73,74,72,78,69,72,70,57,57,63,69,69,72,73,84,70,77,32,44,46,74,37,78,82,69,78,57,12,19,13,10,11,75,72,73,72,71,72,67,72,59,60,56,60,59,55,59,20
298,KFA,7,GK,76,59,60,26,27,22,20,26,27,36,74,19,31,23,27,20,26,29,59,73,24,26,25,24,24,69,37,27,63,25,79,77,68,78,78,34,35,36,35,38,36,38,36,35,33,34,33,34,33,34,76
298,KFA,7,CB,73,75,78,43,56,39,66,41,50,73,71,64,69,45,45,66,67,78,57,73,67,75,62,76,76,86,81,78,82,71,23,21,22,18,22,63,65,64,65,66,68,68,68,71,71,73,71,71,74,71,26
298,KFA,11,LB,79,84,83,34,34,35,78,31,64,80,65,79,71,77,75,76,73,87,85,82,80,80,82,65,79,73,83,73,80,72,22,14,20,15,17,62,71,68,71,70,74,73,74,77,80,77,80,79,77,79,24
298,KFA,12,LM,80,81,82,75,78,78,81,72,62,81,82,76,76,58,81,81,82,82,83,80,71,72,75,59,74,76,90,72,81,69,19,14,22,18,24,76,80,79,80,80,80,80,80,77,78,73,78,76,73,76,25
298,KFA,13,CM,82,75,77,77,77,81,78,73,52,85,87,73,82,66,73,81,82,84,70,83,68,66,75,74,58,71,90,85,65,82,22,15,23,16,14,78,80,80,80,82,80,82,80,77,75,71,75,73,71,73,24
298,KFA,9,CB,76,67,59,39,65,53,39,53,50,53,27,25,34,52,27,29,59,47,70,62,80,79,79,75,76,87,62,79,81,68,10,13,17,15,15,54,44,47,44,45,44,49,44,64,61,76,61,65,76,65,18
298,KFA,9,ST,76,91,91,81,76,68,71,70,69,72,69,67,64,53,67,76,75,89,84,72,26,31,30,73,32,73,75,58,78,73,19,15,18,23,19,76,76,75,76,74,74,67,74,53,58,49,58,55,49,55,24
298,KFA,7,CM,73,70,66,57,71,65,66,41,63,79,76,52,75,69,66,65,74,72,81,73,66,66,73,60,63,73,78,77,63,70,11,16,19,11,17,66,67,68,67,71,68,73,68,72,68,68,68,68,68,68,20
298,KFA,9,CM,77,69,72,69,75,79,77,50,47,80,81,52,76,41,53,82,81,61,79,79,54,49,62,40,54,62,83,69,61,77,11,15,14,12,12,70,74,76,74,78,75,77,75,68,66,58,66,63,58,63,19
298,KFA,8,LM,75,84,90,73,63,62,76,60,61,74,68,66,66,58,70,80,74,92,90,71,28,30,32,47,35,60,79,36,82,61,16,22,15,19,17,70,75,73,75,74,75,67,75,53,58,44,58,54,44,54,24
298,KFA,7,CDM,72,65,70,44,70,64,67,39,51,76,75,41,73,45,40,70,70,68,71,70,69,69,73,61,61,79,74,76,56,59,18,16,19,10,17,63,64,67,64,69,66,71,66,72,66,69,66,66,68,66,21
298,KFA,8,LM,75,77,74,77,78,77,79,71,71,78,61,71,59,35,43,82,85,74,78,77,23,20,24,70,22,59,66,41,78,71,17,20,22,18,19,76,77,77,77,76,75,68,75,50,55,42,55,51,42,51,25
298,KFA,7,RM,71,92,91,63,63,55,68,62,57,60,70,72,54,65,62,73,64,86,84,71,62,62,54,54,59,62,89,75,54,65,15,17,16,15,10,66,70,68,70,67,71,64,71,63,68,61,68,67,61,67,20
298,KFA,10,CB,78,73,69,32,52,46,46,33,39,62,64,34,67,32,30,43,55,81,76,66,79,80,76,79,78,93,81,85,82,70,19,16,18,19,23,54,52,53,52,56,55,61,55,72,66,78,66,69,78,69,24
298,KFA,6,CDM,70,81,81,37,66,66,67,43,45,74,73,49,67,48,48,55,67,60,69,69,69,69,69,69,63,83,73,71,69,50,13,19,14,15,18,62,63,64,63,66,65,68,65,70,67,70,67,68,69,68,21
298,KFA,6,ST,70,83,83,77,71,63,71,57,68,63,62,45,45,45,48,59,67,81,83,66,23,14,23,72,23,57,72,62,86,52,20,11,11,13,20,70,66,68,66,66,64,57,64,44,48,41,48,46,41,46,21
