season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
234,LH,17,LB,90,90,93,77,82,83,83,71,73,84,80,91,85,81,82,89,87,91,88,89,92,91,92,80,92,83,91,89,78,80,15,17,19,18,18,83,86,84,86,85,86,85,86,88,90,88,90,90,88,90,25
234,LH,16,LB,90,93,88,80,87,85,93,80,64,90,88,91,86,76,88,100,93,101,98,89,88,92,90,84,94,85,91,90,87,90,15,8,8,12,8,88,91,90,91,90,91,90,91,89,91,89,91,90,89,90,19
234,LH,15,GK,92,57,62,16,48,19,20,19,29,30,71,14,16,13,15,16,25,66,54,93,14,18,31,36,19,85,42,95,75,74,96,93,87,94,90,36,34,36,34,37,35,35,35,37,33,40,33,33,40,33,92
234,LH,15,GK,92,57,62,26,48,19,20,19,43,30,73,24,16,13,29,25,35,69,64,97,14,18,31,36,19,85,42,94,78,77,87,96,88,91,94,40,39,41,39,41,39,38,39,38,35,40,35,35,40,35,92
234,LH,15,GK,92,60,56,15,41,14,16,20,35,34,67,15,33,19,13,23,26,64,57,93,16,16,25,14,14,80,48,42,87,56,97,94,91,92,87,33,35,36,35,38,37,38,37,35,33,33,33,32,32,32,92
234,LH,14,GK,92,60,56,15,41,14,16,20,35,39,71,15,39,19,13,23,27,64,57,91,17,16,26,14,14,80,48,41,88,69,96,96,91,93,88,33,35,37,35,40,38,40,38,37,33,33,33,32,33,32,92
234,LH,22,CAM,100,102,106,105,88,97,95,91,97,96,99,95,92,105,99,110,102,94,111,95,30,45,47,70,40,88,91,79,85,105,16,12,11,18,9,95,100,99,100,100,99,92,99,73,76,61,76,71,61,71,22
234,LH,22,CAM,100,106,103,102,93,102,101,94,103,97,95,89,97,104,101,109,101,102,109,97,38,59,59,80,46,89,91,94,98,103,18,48,16,17,15,97,100,100,100,100,99,94,99,78,79,69,79,75,69,75,32
234,LH,15,GK,92,57,55,11,24,12,16,11,23,25,23,14,24,22,21,12,27,58,59,88,4,11,19,12,12,85,36,33,60,85,85,97,97,97,94,29,28,28,28,28,29,27,29,27,27,27,27,27,27,27,92
234,LH,18,ST,94,90,92,100,99,93,97,99,106,90,80,80,64,97,87,86,90,76,79,91,34,67,47,98,57,93,92,87,95,93,8,9,13,12,12,94,89,91,89,88,87,82,87,71,74,70,74,72,70,72,19
