season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
265,LOL,26,ST,107,100,100,110,112,107,108,112,106,102,108,100,100,99,106,100,109,99,108,101,42,53,44,109,51,111,96,110,99,112,17,19,16,16,13,107,103,105,103,104,103,98,103,81,80,74,80,77,75,77,25
265,LOL,22,ST,103,104,103,107,104,98,108,100,94,96,93,86,90,86,105,99,101,101,92,104,39,42,40,105,40,96,92,78,98,107,16,17,17,15,16,103,100,101,100,99,98,91,98,72,75,66,75,71,66,71,25
265,LOL,19,CAM,96,95,94,93,105,98,97,99,84,97,89,91,104,89,95,102,95,96,93,98,73,89,76,91,74,94,94,98,96,93,18,12,15,13,16,96,95,96,95,96,96,95,96,89,88,86,88,87,86,87,23
265,LOL,25,ST,107,102,101,114,110,101,110,108,109,93,94,90,84,94,103,98,110,100,106,107,76,74,70,108,60,106,109,108,109,107,11,17,10,16,17,107,102,104,102,101,100,96,100,88,88,86,88,87,87,87,25
265,LOL,20,CM,99,94,89,92,105,99,95,86,94,104,99,96,107,97,101,100,106,93,98,90,87,92,82,93,78,101,100,99,91,105,19,16,14,15,14,96,97,97,97,99,98,99,98,95,92,91,92,91,91,91,24
265,LOL,23,LW,103,106,105,99,107,99,107,101,100,100,104,108,96,98,108,104,102,104,102,105,88,60,74,105,55,100,96,89,107,104,16,15,16,16,16,103,103,103,103,102,103,97,103,87,89,84,89,87,83,87,25
265,LOL,20,GK,105,68,72,33,36,33,25,26,29,66,69,26,73,34,33,27,43,89,79,104,31,33,26,28,33,79,63,61,100,81,109,105,96,105,108,45,48,48,48,54,51,56,51,52,47,46,47,46,46,46,105
265,LOL,23,CAM,104,99,102,98,104,107,108,97,100,105,105,104,104,103,110,108,105,109,105,102,56,62,57,69,50,80,87,73,80,101,12,16,15,12,13,98,104,103,104,104,103,99,103,81,83,69,83,79,69,79,23
265,LOL,20,GK,104,71,70,32,58,35,35,31,51,42,62,24,50,32,30,30,42,88,88,103,37,37,36,32,39,80,57,63,96,81,108,104,92,105,106,47,47,48,47,49,47,49,47,49,46,48,46,47,49,47,104
265,LOL,24,RW,107,111,111,101,108,107,104,94,88,108,100,109,105,94,106,112,108,111,106,109,94,103,98,88,106,92,103,103,97,105,16,16,18,16,15,103,107,106,107,106,107,105,107,102,105,99,105,104,99,104,26
