season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
237,MC,16,LB,90,91,95,72,89,75,79,63,69,86,72,81,93,45,77,96,88,83,89,98,86,93,87,84,95,77,98,91,79,76,23,17,12,14,15,83,85,85,85,85,87,87,87,89,90,88,90,90,88,90,25
237,MC,16,LB,90,91,96,65,89,76,77,68,69,92,76,79,95,46,72,93,88,82,86,95,87,94,85,89,93,82,98,93,81,77,8,17,10,17,11,83,84,84,84,85,87,88,87,90,90,89,90,90,89,90,22
237,MC,17,CB,93,87,82,69,84,55,65,48,45,78,60,67,78,41,49,77,77,80,81,87,91,98,96,91,96,100,66,96,98,87,10,21,10,20,21,77,74,74,74,73,74,75,74,85,83,93,83,85,93,85,25
237,MC,17,CB,93,86,83,68,93,57,70,48,46,79,61,69,79,41,35,79,82,79,78,88,92,98,95,91,97,100,66,97,100,84,13,15,12,16,17,79,75,77,75,75,76,77,76,86,84,93,84,86,93,86,23
237,MC,20,RB,98,106,104,80,82,89,90,89,83,93,86,105,82,81,97,102,101,107,99,98,93,101,94,86,94,51,105,90,79,90,14,12,15,15,16,89,96,93,96,94,97,93,97,92,99,89,99,98,89,98,23
237,MC,20,RB,98,102,106,79,85,90,92,88,84,91,89,108,85,81,98,103,98,106,103,97,95,101,92,88,97,59,105,87,75,97,11,17,8,10,10,89,96,93,96,94,97,93,97,92,99,90,99,98,90,98,21
237,MC,17,CB,94,92,85,59,82,59,50,51,63,77,57,76,75,68,59,81,87,86,80,96,98,92,90,102,91,100,88,104,105,79,13,16,9,17,13,77,75,74,75,73,77,76,77,87,87,94,87,89,95,89,23
237,MC,17,CB,94,89,83,69,86,64,57,64,68,85,61,81,85,75,62,86,93,91,89,101,97,93,83,105,88,100,88,106,107,88,15,14,13,13,17,82,80,80,80,79,82,81,82,89,88,94,88,89,95,89,24
237,MC,20,RM,98,99,102,93,85,94,93,88,83,97,93,96,88,82,98,106,105,106,108,95,76,77,79,71,57,71,105,75,67,101,12,13,17,12,15,91,98,97,98,98,98,95,98,86,89,76,89,85,75,85,22
237,MC,20,RW,98,98,100,88,89,95,100,94,91,100,90,97,94,90,100,106,102,107,106,98,52,84,82,71,66,53,105,83,78,106,15,17,16,14,11,91,98,97,98,98,99,96,99,86,89,75,89,86,74,86,23
237,MC,20,CM,100,91,89,89,89,96,93,82,83,105,102,85,98,87,93,95,102,92,100,96,96,98,103,93,99,101,107,105,88,98,13,15,15,10,11,93,94,95,94,97,96,100,96,100,97,98,97,97,98,97,21
237,MC,18,CAM,95,84,90,88,98,93,88,90,100,100,94,97,101,100,93,103,100,96,87,94,42,39,78,72,37,86,90,76,75,85,8,16,10,16,9,90,95,94,95,95,95,93,95,78,78,65,78,72,63,72,21
237,MC,21,LB,101,108,107,93,111,107,97,92,95,102,96,100,96,109,108,99,101,96,109,102,98,99,100,93,101,96,108,98,100,95,13,10,14,10,14,99,100,100,100,99,100,99,100,99,101,98,101,101,98,101,21
237,MC,21,CDM,99,97,93,69,86,81,82,54,75,97,98,71,103,71,73,90,93,90,105,98,103,95,100,109,98,106,99,106,102,99,14,16,14,11,17,88,87,89,87,91,90,95,90,99,94,100,94,95,100,95,23
237,MC,19,GK,102,56,67,26,56,29,36,46,45,59,76,34,57,33,32,40,56,91,95,99,29,29,39,32,36,81,49,65,96,95,104,102,88,106,105,48,51,52,51,56,53,56,53,52,47,47,47,46,48,46,102
237,MC,21,CM,100,95,97,95,105,109,99,97,95,98,97,99,104,96,96,101,106,96,101,104,85,82,87,79,76,93,107,93,87,101,11,11,8,13,8,97,99,100,99,100,100,100,100,94,94,87,94,91,86,91,20
237,MC,23,CAM,102,93,94,99,96,102,100,98,103,107,101,98,105,102,101,109,107,98,103,96,81,83,90,96,66,98,95,88,87,108,14,16,9,9,14,99,101,101,101,102,101,101,101,94,92,88,92,89,87,89,22
