season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
297,MCFC,16,ST,88,92,93,92,88,84,91,90,87,85,87,74,67,76,86,92,93,91,95,91,17,24,28,76,16,80,80,67,86,91,17,19,10,18,15,88,89,90,89,88,87,79,87,58,61,48,61,56,48,56,25
297,MCFC,17,ST,88,85,92,93,91,85,93,88,85,83,85,73,65,74,84,92,92,89,93,92,16,23,27,73,15,79,80,65,83,92,16,18,9,17,14,88,88,89,88,88,86,78,86,57,60,47,60,55,47,55,24
297,MCFC,15,CDM,87,75,77,73,87,82,74,78,65,89,79,72,85,75,74,81,87,81,85,89,83,88,91,65,82,81,89,90,82,81,15,14,8,10,16,78,80,80,80,82,81,84,81,87,84,83,84,83,83,83,21
297,MCFC,15,CB,86,67,63,48,79,58,45,49,66,77,63,65,70,56,65,66,74,63,46,88,88,89,85,88,88,93,78,91,75,85,13,12,8,9,12,67,65,65,65,66,67,71,67,81,78,86,78,80,86,80,19
297,MCFC,15,CAM,88,67,74,75,74,75,89,83,75,94,95,85,83,79,84,90,93,94,92,88,29,51,48,56,32,59,83,56,69,94,6,5,7,12,8,78,85,85,85,88,86,85,86,67,68,53,68,63,53,63,16
297,MCFC,12,GK,84,58,63,16,26,21,20,14,27,61,74,15,58,42,29,26,45,67,67,80,14,21,27,21,22,74,45,44,86,65,85,86,92,85,81,35,41,41,41,48,44,49,44,43,37,36,37,36,36,36,84
297,MCFC,14,LB,84,81,85,68,87,81,78,65,71,88,78,80,82,59,78,89,87,97,93,84,82,87,84,61,86,74,97,91,74,82,13,12,18,10,14,78,82,81,82,83,83,84,83,85,85,81,85,84,81,84,20
297,MCFC,16,CM,87,73,75,75,81,78,83,79,80,93,91,78,87,78,85,90,91,86,85,91,61,71,83,53,67,77,75,72,66,91,14,17,8,16,8,79,84,84,84,87,84,87,84,80,78,72,78,76,71,76,21
297,MCFC,15,RB,86,97,91,55,90,72,70,61,66,81,73,85,71,75,80,81,82,74,75,86,83,88,85,78,87,85,94,82,87,79,15,9,20,12,18,76,78,78,78,77,80,78,80,83,86,84,86,86,84,86,21
297,MCFC,15,CB,87,67,66,57,73,60,55,61,48,79,52,56,75,42,54,53,73,73,66,82,87,90,90,89,89,87,80,95,91,88,15,8,12,15,14,68,63,64,63,65,65,71,65,82,77,87,77,80,87,80,20
297,MCFC,16,CAM,88,77,79,84,88,89,87,83,78,91,93,93,88,84,86,87,90,83,80,90,41,59,61,55,53,74,89,74,66,87,17,15,7,15,11,82,87,86,87,88,87,86,87,74,75,63,75,71,62,71,22
297,MCFC,14,RB,84,87,81,67,92,80,81,78,73,82,68,79,75,82,82,79,85,79,71,86,79,84,87,75,85,86,92,80,81,75,18,8,19,8,18,80,79,79,79,78,80,80,80,82,84,82,84,84,82,84,21
297,MCFC,15,RW,87,96,96,86,74,74,89,67,66,87,80,80,71,65,72,90,91,92,94,85,52,62,30,41,57,71,85,38,64,80,18,15,15,12,18,80,87,86,87,86,87,79,87,66,72,57,72,68,58,68,23
297,MCFC,14,CB,84,77,77,33,50,42,52,30,41,86,69,67,77,33,51,74,83,69,63,80,86,88,83,83,86,85,85,80,78,85,11,19,14,12,13,63,68,67,68,70,72,75,72,83,81,84,81,82,84,82,21
297,MCFC,14,LB,84,91,86,38,74,68,77,24,45,82,64,89,74,33,84,84,82,74,78,83,81,84,84,69,86,87,85,81,75,77,11,11,12,12,19,70,77,74,77,75,79,77,79,81,84,82,84,84,81,84,20
297,MCFC,13,GK,87,66,67,17,46,21,23,21,21,60,71,23,58,23,18,26,40,64,52,90,12,18,29,17,26,72,45,39,62,67,87,85,93,91,85,39,42,43,42,48,45,49,45,43,39,35,39,38,34,38,87
297,MCFC,15,CB,86,74,72,48,72,50,57,44,39,77,56,62,82,73,65,58,75,53,58,86,89,90,89,89,89,88,75,75,81,78,13,14,8,8,17,67,64,65,64,65,67,72,67,82,79,86,79,81,86,81,20
297,MCFC,15,RW,87,80,89,78,74,74,85,70,67,89,88,89,82,66,87,95,94,93,90,86,49,48,53,55,39,57,86,62,57,89,12,13,17,12,15,79,87,86,87,87,88,83,88,69,72,57,72,67,56,67,21
297,MCFC,6,CB,70,65,59,35,36,27,33,30,41,66,37,35,55,27,31,51,70,65,59,60,70,75,65,72,71,83,79,59,76,78,18,15,15,12,12,51,51,50,51,52,53,56,53,66,63,70,63,65,70,65,19
297,MCFC,15,LW,87,97,95,85,89,81,87,71,71,82,82,85,67,72,86,91,88,94,86,83,30,36,36,75,39,75,86,63,70,82,12,15,12,17,12,85,87,86,87,85,86,77,86,61,67,54,67,63,54,63,21
297,MCFC,5,CB,68,75,76,29,51,39,57,31,46,61,45,54,58,41,39,51,57,70,70,63,73,72,60,67,65,79,71,63,84,52,11,18,21,10,16,54,55,54,55,54,57,56,57,63,64,68,64,65,68,65,19
297,MCFC,5,GK,60,53,51,16,25,22,19,22,27,36,21,23,51,18,27,24,31,43,47,58,17,25,23,22,22,48,48,25,64,36,60,60,63,64,57,29,31,30,31,31,33,33,33,33,32,29,32,32,29,32,60
297,MCFC,5,LM,67,90,93,64,63,48,59,51,67,63,61,65,51,55,49,73,70,70,81,52,31,35,33,37,31,67,58,41,51,53,12,19,15,15,11,62,67,65,67,65,67,57,67,48,54,42,54,51,42,51,18
297,MCFC,12,LB,76,78,83,65,83,78,77,67,66,79,87,87,84,82,87,84,81,89,89,78,70,75,76,66,72,63,75,75,75,75,19,15,17,15,15,74,80,78,80,80,80,80,80,76,77,72,77,76,72,76,22
