season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
233,MOG,21,ST,100,92,99,108,106,99,103,98,109,96,85,90,87,101,96,92,99,85,84,97,35,70,55,103,59,97,96,92,101,102,8,9,13,12,12,100,96,98,96,95,95,91,95,78,79,74,79,78,75,78,19
233,MOG,17,RB,92,90,89,73,82,72,80,71,75,89,89,98,91,69,63,89,96,92,92,91,92,92,94,88,93,80,98,90,73,91,14,13,14,22,14,83,87,86,87,87,89,89,89,91,93,89,93,92,89,92,23
233,MOG,20,CB,98,93,93,68,64,54,63,56,62,79,66,66,82,63,61,75,95,85,94,100,104,98,96,105,106,95,83,96,95,93,11,12,17,16,15,79,78,78,78,78,79,81,79,91,90,98,90,93,99,93,23
233,MOG,20,CDM,99,95,96,72,79,72,79,56,52,103,89,78,96,71,57,93,93,99,107,103,106,99,101,79,98,95,107,103,98,97,9,17,13,17,10,84,89,88,89,91,91,94,91,99,97,98,97,97,98,97,23
233,MOG,22,CM,100,93,92,104,107,109,106,98,107,103,95,99,103,99,99,98,101,93,98,100,80,90,87,89,80,95,105,94,93,105,15,17,18,11,13,100,99,100,99,100,99,100,99,94,93,89,93,92,89,92,23
233,MOG,20,RW,98,94,103,89,92,94,99,83,98,95,92,106,88,100,97,105,104,102,95,91,37,44,45,67,41,81,90,95,75,99,11,11,15,16,13,91,98,96,98,97,98,90,98,72,76,61,76,71,61,71,21
233,MOG,12,ST,79,83,81,81,81,73,74,92,79,74,64,45,63,54,51,74,78,55,47,81,22,40,28,89,26,84,77,53,64,78,12,16,18,15,15,79,72,76,72,73,72,68,72,55,55,51,55,53,51,53,21
233,MOG,19,LM,95,88,93,92,101,99,93,88,87,93,93,101,92,94,89,100,100,85,91,91,70,55,67,83,53,78,104,88,73,87,12,15,17,9,12,92,95,94,95,94,95,91,95,81,83,72,83,79,72,79,20
233,MOG,21,CM,99,88,87,90,101,103,97,77,102,103,98,97,106,101,108,102,105,95,102,100,89,82,86,81,72,90,92,101,85,108,9,11,9,13,10,94,97,98,97,99,98,99,98,94,91,87,91,88,87,88,20
233,MOG,12,CAM,80,79,79,74,86,81,74,96,90,84,85,82,80,83,85,79,82,83,89,83,55,68,78,73,63,73,77,34,67,84,18,15,9,15,9,78,80,79,80,80,80,80,80,73,75,67,75,74,66,74,21
