season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
201,NHD,15,GK,86,55,51,31,35,26,19,32,34,38,74,30,37,29,23,28,29,38,41,88,22,19,38,32,21,81,62,31,58,71,79,91,94,86,89,38,39,40,39,42,41,43,41,40,39,37,39,38,36,38,86
201,NHD,15,CM,81,84,81,68,70,77,83,68,78,88,86,75,87,81,76,83,83,83,86,83,60,62,65,56,59,61,70,60,55,85,9,16,9,10,16,74,81,80,81,82,81,81,81,73,73,64,73,70,63,70,20
201,NHD,17,ST,87,80,82,93,92,86,91,91,94,82,70,64,63,82,81,73,82,71,71,87,28,51,44,93,38,88,84,75,88,88,8,9,13,12,12,87,80,83,80,80,78,75,78,63,64,61,64,62,61,62,18
201,NHD,15,ST,82,81,85,87,84,81,87,82,88,68,81,51,60,76,73,82,80,82,86,85,27,41,66,85,32,69,81,60,80,85,8,15,9,12,10,82,78,82,78,79,76,74,76,61,62,57,62,60,55,60,19
201,NHD,15,CM,83,73,70,71,78,79,70,65,70,87,81,65,85,71,60,72,85,71,76,87,83,89,89,71,85,81,91,93,74,88,11,17,15,17,17,75,76,77,76,79,77,83,77,86,82,84,82,82,84,82,23
201,NHD,13,CB,80,73,75,31,47,28,45,50,32,78,61,80,71,33,48,44,63,71,80,84,83,84,85,77,85,76,84,85,71,79,15,12,8,14,9,56,59,56,59,59,64,66,64,78,78,80,78,80,80,80,20
201,NHD,17,CAM,86,71,74,84,91,92,85,85,73,92,90,83,93,67,76,80,90,75,89,89,54,57,80,81,38,71,94,88,85,88,10,15,8,11,18,84,84,85,84,86,85,87,85,78,75,69,75,72,67,72,21
201,NHD,15,CB,82,79,72,27,61,25,40,22,36,72,50,39,63,14,18,39,58,49,49,81,86,81,82,89,85,92,75,83,80,77,14,10,15,12,8,56,51,53,51,53,55,60,55,75,71,82,71,75,82,75,18
201,NHD,14,ST,80,64,62,87,85,81,86,83,85,73,72,60,69,71,64,66,77,53,58,85,33,30,40,86,37,73,75,51,85,88,10,18,17,10,14,80,73,77,73,74,72,71,72,57,57,52,57,55,53,55,21
201,NHD,15,GK,91,49,44,11,25,10,13,15,23,19,64,15,27,10,13,16,26,44,55,94,11,10,14,9,8,87,34,83,77,24,93,85,72,96,93,28,29,30,29,32,31,31,31,31,26,31,26,25,31,25,91
