season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
249,NTG,22,RM,103,97,95,99,109,109,98,91,108,101,105,112,111,109,109,102,106,97,99,101,76,83,86,87,59,87,109,105,88,103,26,18,22,24,23,99,102,101,102,102,103,102,103,94,93,85,93,90,84,90,31
249,NTG,22,CM,102,86,84,88,98,110,89,81,105,107,104,105,110,111,110,103,109,94,104,91,88,95,93,73,80,85,103,84,78,111,20,19,16,14,24,92,98,97,98,100,99,102,99,97,95,88,95,93,87,93,26
249,NTG,22,ST,103,100,101,109,108,106,104,108,107,100,93,98,93,103,104,96,108,98,97,99,48,57,59,96,46,94,98,83,95,109,20,18,23,18,16,103,101,102,101,100,100,95,100,80,82,72,82,78,72,78,27
249,NTG,22,ST,103,109,110,111,101,99,109,102,106,89,79,86,81,96,99,102,100,109,97,106,59,36,43,92,46,93,103,88,93,109,12,15,16,17,19,103,100,101,100,97,98,88,98,73,78,67,78,74,68,74,25
249,NTG,22,CM,103,93,93,98,93,98,97,87,102,109,104,101,104,109,108,104,108,105,109,98,89,99,98,61,78,88,105,98,81,111,19,20,19,15,24,94,101,100,101,102,102,103,102,99,97,90,97,94,89,94,28
249,NTG,20,CAM,99,86,83,87,101,104,91,79,103,108,100,105,107,108,103,106,104,90,102,86,76,76,83,86,73,95,94,79,79,105,19,16,18,16,17,93,97,96,97,99,98,99,98,90,90,83,90,86,82,86,24
249,NTG,21,ST,101,109,107,107,104,95,108,106,88,87,87,86,69,79,101,96,97,108,98,102,46,47,49,95,49,90,97,86,103,108,14,18,15,18,25,101,98,99,98,95,95,86,95,72,77,68,77,74,69,74,27
249,NTG,19,ST,97,99,99,104,100,93,101,98,96,86,83,76,65,89,98,92,96,102,96,98,42,45,44,97,31,84,93,83,89,101,14,17,22,25,20,97,93,95,93,92,91,83,91,68,71,63,71,68,63,68,27
249,NTG,20,RB,99,99,96,77,98,98,93,95,95,100,96,102,97,98,95,94,100,99,108,100,106,97,96,80,99,89,106,91,96,101,13,21,20,17,25,91,95,94,95,95,96,97,96,98,99,95,99,99,96,99,27
249,NTG,21,CB,101,101,91,83,81,60,88,79,64,86,81,59,93,53,77,77,90,92,105,91,106,99,99,108,105,105,92,109,101,95,19,24,20,24,17,88,83,85,83,84,84,87,84,95,90,101,90,94,101,94,28
249,NTG,22,RB,102,104,103,73,100,77,96,63,90,102,96,102,78,81,83,98,106,98,95,104,103,102,102,101,101,99,103,95,100,99,20,21,22,17,15,94,97,96,97,96,98,96,98,99,102,101,102,102,101,102,27
249,NTG,23,CF,103,103,104,105,98,105,103,102,103,99,95,99,101,100,105,109,109,101,106,98,49,62,53,99,59,96,101,110,95,107,19,13,25,23,15,102,103,103,103,102,102,97,102,83,84,76,84,81,77,81,26
249,NTG,20,CDM,100,91,87,70,89,89,80,67,83,102,103,86,100,93,91,95,104,103,99,98,100,99,104,85,93,91,103,93,87,105,21,17,23,25,22,86,92,91,92,95,93,98,93,100,97,96,97,96,95,96,29
249,NTG,21,ST,101,104,99,108,103,101,106,101,97,86,81,74,81,75,108,98,103,105,93,101,54,42,39,97,56,92,95,83,79,89,16,20,25,16,21,101,97,99,97,95,94,87,94,72,75,68,75,73,69,73,27
249,NTG,22,CF,103,106,108,109,109,108,102,104,103,96,94,99,91,103,103,108,104,105,109,101,52,54,61,92,53,85,107,100,101,108,20,22,23,25,15,103,103,103,103,101,102,95,102,80,84,73,84,80,73,80,29
