season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
218,OTW,17,CM,90,76,87,80,89,94,81,73,76,94,97,79,88,67,85,98,95,87,86,87,72,80,82,64,67,75,89,56,88,92,20,25,27,23,23,83,88,88,88,91,88,90,88,83,82,75,82,80,75,80,30
218,OTW,15,RW,90,98,102,81,91,87,88,79,81,86,81,85,77,80,92,96,90,98,88,91,53,57,58,52,41,66,89,81,81,89,11,10,16,17,11,84,90,88,90,88,89,83,89,72,75,63,75,71,62,71,21
218,OTW,17,RM,90,85,87,79,88,88,85,87,79,98,96,99,81,77,101,98,96,93,95,86,30,18,25,42,12,60,71,80,64,91,13,15,11,16,6,81,91,89,91,91,90,83,90,60,63,44,63,56,44,56,20
218,OTW,17,LM,89,85,87,83,84,77,85,80,84,94,96,88,87,89,95,98,96,91,95,88,32,26,34,42,27,60,59,52,35,96,16,7,10,11,8,81,90,89,90,91,89,83,89,62,64,45,64,58,45,58,19
218,OTW,15,ST,86,55,53,91,83,73,95,82,81,79,71,45,55,41,64,80,91,51,46,90,35,26,26,99,16,95,50,79,67,93,4,4,4,4,5,86,76,82,76,79,73,71,73,56,50,54,50,48,55,48,13
218,OTW,17,ST,93,78,78,99,91,87,99,91,91,89,77,57,66,74,89,91,95,83,80,94,41,44,43,99,21,81,74,84,104,95,12,15,8,7,11,93,87,91,87,88,84,81,84,66,63,62,63,60,62,60,20
218,OTW,15,CB,91,67,68,44,71,42,44,52,50,80,59,49,73,40,33,68,77,62,58,89,95,96,97,90,93,86,60,90,91,90,13,7,11,13,14,65,63,65,63,66,65,71,65,84,78,91,78,81,91,81,20
218,OTW,16,CF,88,74,75,87,94,84,88,92,68,89,86,84,87,77,93,94,94,83,74,87,60,79,72,84,73,93,68,94,83,90,7,12,16,7,17,88,87,88,87,88,86,86,86,81,78,79,78,77,79,77,19
218,OTW,15,LB,85,72,77,66,86,69,74,59,62,87,76,84,70,59,85,84,86,79,78,93,87,93,92,81,88,73,76,85,85,85,8,6,10,6,4,78,80,79,80,80,80,81,80,85,85,86,85,85,86,85,15
218,OTW,18,CAM,95,85,91,88,98,98,100,85,73,99,87,79,97,73,81,96,100,85,95,98,93,96,99,68,95,89,99,101,82,98,14,14,17,14,11,91,93,94,93,95,93,96,93,96,94,92,94,93,92,93,22
