season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
206,TB,10,GK,81,60,62,15,31,16,19,17,27,21,68,16,18,16,28,28,26,65,49,80,14,14,25,23,16,73,46,26,80,73,88,76,60,85,83,32,34,35,34,36,35,33,35,29,31,30,31,30,29,30,81
206,TB,15,LW,85,78,85,85,86,86,85,86,78,84,83,82,73,81,87,89,88,87,91,87,29,26,39,51,26,67,67,47,60,86,13,11,14,18,8,81,85,85,85,85,83,77,83,58,62,46,62,56,46,56,20
206,TB,14,RM,82,83,85,64,80,79,77,81,75,80,81,91,76,74,93,90,89,92,85,79,11,18,25,42,14,56,69,71,64,81,15,17,13,18,8,73,82,80,82,81,82,74,82,53,57,39,57,51,38,51,21
206,TB,18,ST,91,90,89,94,92,90,95,90,85,81,84,86,75,74,79,89,92,87,61,95,20,29,27,91,21,83,90,61,93,93,10,14,18,14,17,91,89,90,89,88,88,80,88,59,64,52,64,60,52,60,22
206,TB,12,GK,82,66,53,17,27,18,16,14,27,22,68,14,25,14,14,13,26,53,63,85,15,25,25,16,27,75,37,35,76,63,80,84,83,83,83,30,32,33,32,34,32,33,32,33,32,33,32,33,33,33,82
206,TB,6,GK,75,49,51,17,40,18,21,20,28,36,61,20,40,20,14,14,35,61,64,71,14,14,26,17,20,64,30,31,78,61,77,73,74,78,77,32,33,34,33,37,34,36,34,33,30,30,30,30,30,30,75
206,TB,12,GK,84,41,38,15,24,14,16,20,26,38,56,22,36,22,16,15,25,49,37,82,14,16,26,22,15,66,35,22,53,69,83,86,78,85,87,29,30,31,30,34,32,35,32,32,30,29,30,29,28,29,84
206,TB,15,CM,84,70,66,72,83,86,71,76,77,89,80,61,89,73,64,79,87,66,74,87,79,85,88,84,81,85,89,85,80,86,13,10,16,12,13,79,77,79,77,80,78,84,78,86,80,83,80,81,83,81,20
206,TB,10,CB,78,56,49,37,71,57,53,48,65,73,41,58,68,32,56,53,67,52,63,73,81,81,81,80,79,79,67,80,85,78,35,36,41,37,35,59,56,57,56,57,58,63,58,73,70,78,70,71,78,71,40
206,TB,11,CM,77,66,67,81,86,80,78,84,82,82,83,78,83,82,85,73,81,67,78,83,53,56,57,76,41,79,68,82,75,89,13,14,16,10,11,78,77,78,77,78,77,77,77,69,66,64,66,64,64,64,20
206,TB,12,GK,82,49,43,16,24,21,18,19,16,37,40,21,37,17,13,14,26,38,48,79,16,14,22,19,16,73,34,37,62,58,80,82,73,86,88,30,30,30,30,32,31,33,31,32,29,30,29,29,30,29,82
206,TB,14,ST,85,71,70,88,87,84,88,87,81,74,74,55,53,55,62,80,85,54,58,87,47,45,24,95,50,86,68,83,95,88,17,13,12,12,18,85,77,82,77,78,75,71,75,60,60,61,60,59,64,59,22
206,TB,13,RB,82,79,77,47,76,70,68,64,66,81,64,84,72,68,70,80,81,78,81,86,80,84,87,77,84,73,81,84,77,82,7,6,5,5,6,71,74,73,74,74,76,76,76,80,82,81,82,82,81,82,14
206,TB,10,GK,80,37,49,14,24,19,13,16,14,34,65,14,38,15,19,16,27,57,52,77,16,17,14,15,17,60,33,25,65,42,85,78,82,79,81,27,30,31,30,35,32,35,32,31,27,27,27,27,27,27,80
206,TB,13,CB,82,75,69,53,82,75,54,62,71,75,43,81,78,72,81,67,72,53,44,80,82,85,84,82,84,90,78,84,70,77,16,17,13,8,12,69,67,66,67,65,69,70,69,78,78,82,78,79,82,79,20
