season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
214,TC,14,RW,85,87,93,79,80,84,83,60,71,83,85,80,78,84,83,89,88,91,82,86,44,58,56,32,52,64,88,45,47,82,17,15,16,16,10,77,85,84,85,85,85,81,85,69,73,56,73,69,55,69,22
214,TC,15,RM,85,91,95,79,74,83,79,62,54,85,81,82,80,60,77,91,86,90,85,84,37,30,58,32,24,64,88,47,49,45,17,15,16,16,10,76,85,83,85,84,85,79,85,64,68,48,68,62,46,62,22
214,TC,16,RW,87,97,95,89,81,75,86,77,74,82,82,76,72,65,79,91,89,94,85,86,31,35,36,80,33,76,85,67,77,88,16,8,10,9,14,85,87,86,87,85,86,78,86,62,66,54,66,62,54,62,19
214,TC,16,ST,87,97,99,93,85,73,85,76,74,81,86,79,77,67,83,95,90,95,88,87,50,53,58,79,49,87,85,71,80,88,12,14,16,15,15,87,88,88,88,87,88,81,88,71,73,66,73,71,65,71,22
214,TC,15,CM,87,82,82,79,88,90,90,79,67,88,80,77,85,72,77,84,89,80,86,91,87,90,90,63,94,81,97,92,80,88,15,15,18,15,12,83,84,85,84,85,85,87,85,88,88,85,88,87,86,87,22
214,TC,15,CM,87,83,86,81,87,93,91,78,66,87,77,76,88,74,76,83,92,84,87,90,81,89,89,66,91,79,97,99,85,87,14,14,17,14,11,84,85,86,85,86,85,87,85,88,87,85,87,86,85,86,21
214,TC,16,CDM,90,75,72,83,82,89,84,71,74,91,83,72,87,75,73,79,86,75,86,89,89,95,94,81,93,92,88,99,82,88,11,17,15,17,17,83,81,83,81,84,82,87,82,90,86,90,86,86,90,86,23
214,TC,18,LM,93,98,101,87,79,82,94,86,89,90,86,98,93,86,93,98,95,97,85,88,29,46,49,67,49,76,93,60,72,91,13,8,10,8,8,87,93,91,93,91,93,86,93,70,75,58,75,70,58,70,17
214,TC,18,CM,92,78,78,86,101,98,90,88,76,98,91,92,100,79,79,89,99,88,96,87,61,67,86,78,45,75,95,91,89,92,10,15,8,11,18,88,90,90,90,92,90,92,90,84,81,74,81,77,73,77,21
214,TC,12,CB,80,85,82,55,60,29,59,17,37,66,77,35,59,18,36,52,69,68,59,81,85,83,63,88,79,91,77,91,91,68,16,23,17,13,12,65,62,65,62,64,64,66,64,73,69,80,69,73,81,73,23
