season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
202,TKI,18,CF,89,88,87,88,83,81,94,73,77,90,89,62,64,61,76,90,90,88,71,93,42,37,59,94,35,73,79,70,94,83,12,10,17,14,17,88,87,89,87,88,85,81,85,67,68,62,68,65,61,65,22
202,TKI,15,GK,89,49,26,15,36,17,21,18,33,34,37,16,28,16,17,16,26,63,55,78,16,18,27,15,19,85,50,33,71,75,86,92,89,93,93,30,29,30,29,31,30,32,30,33,31,32,31,30,32,30,89
202,TKI,17,CM,86,71,72,87,88,82,79,74,80,91,90,85,84,91,83,89,88,71,79,85,68,81,82,42,68,63,89,90,63,65,14,19,17,14,16,78,84,84,84,85,85,86,85,82,81,73,81,78,72,78,23
202,TKI,16,CDM,88,73,74,67,69,71,72,67,62,89,88,67,79,77,73,81,87,83,75,92,92,89,89,74,87,91,95,97,69,86,13,16,13,13,19,76,78,79,78,82,80,85,80,88,85,87,85,85,87,85,23
202,TKI,18,LWB,90,94,93,72,80,78,66,56,53,90,84,93,74,62,78,91,91,91,76,88,87,87,89,65,89,68,92,76,75,77,15,18,14,11,13,78,86,83,86,84,86,84,86,85,90,82,90,88,82,88,22
202,TKI,17,CM,91,88,83,82,79,82,90,79,81,92,90,77,91,69,72,92,93,85,86,95,66,86,94,75,75,67,98,80,72,95,13,22,13,16,21,84,88,88,88,89,89,91,89,87,86,80,86,85,79,85,26
202,TKI,17,RWB,86,85,86,68,63,74,77,63,70,83,72,86,73,48,64,87,91,76,82,89,83,89,89,60,86,69,87,82,59,85,13,17,12,12,21,75,82,80,82,81,83,81,83,84,86,81,86,85,80,85,23
202,TKI,18,LW,87,81,83,87,90,83,91,77,74,86,81,92,82,70,73,92,89,76,56,91,42,45,41,81,36,79,81,62,74,70,16,14,20,10,12,86,87,87,87,86,87,81,87,66,69,59,69,65,58,65,21
202,TKI,17,CM,88,77,75,79,88,90,90,66,74,93,85,73,89,73,73,88,91,81,75,92,70,77,88,58,63,69,85,65,76,75,13,18,18,20,19,82,85,86,85,87,85,88,85,82,80,74,80,78,73,78,25
202,TKI,17,LW,88,90,93,83,86,84,91,67,46,91,93,89,76,88,74,89,87,94,76,88,18,16,37,91,20,69,76,97,83,55,19,14,14,12,13,86,88,88,88,88,88,80,88,60,63,51,63,58,51,58,22
202,TKI,18,ST,89,83,82,94,90,87,89,91,93,87,71,29,73,51,95,87,88,80,81,93,69,39,62,94,57,88,76,47,76,69,12,11,21,17,15,89,81,87,81,84,79,79,79,70,67,68,67,67,68,67,22
202,TKI,14,CB,80,72,73,58,82,70,29,46,70,68,48,40,67,59,56,61,64,75,56,80,85,82,82,76,80,85,80,95,77,62,14,14,15,16,18,64,59,61,59,60,60,64,60,76,71,80,71,74,80,74,22
202,TKI,18,RW,89,98,97,81,82,89,93,71,76,87,89,86,77,69,73,89,88,98,86,92,45,47,36,55,36,63,78,70,79,83,10,10,10,14,17,83,89,88,89,88,88,81,88,65,69,56,69,65,55,65,21
202,TKI,16,CB,85,74,77,70,70,68,30,59,50,78,78,60,62,49,49,64,78,72,69,89,90,85,89,83,88,88,82,83,74,62,13,15,15,17,19,69,68,68,68,70,69,73,69,82,80,85,80,81,85,81,23
202,TKI,15,LB,82,88,88,57,73,58,76,65,61,79,71,71,70,70,64,66,78,74,65,88,80,87,85,72,82,70,86,71,68,69,11,20,15,12,14,72,73,74,73,73,75,76,75,80,81,79,81,82,79,82,22
202,TKI,15,RW,83,96,97,73,79,80,82,60,66,77,82,84,59,62,59,81,84,94,79,87,81,80,85,73,78,71,89,61,63,62,16,13,20,17,19,79,83,82,83,81,82,78,82,78,84,77,84,83,76,83,24
202,TKI,16,CB,85,84,88,58,72,62,41,47,82,69,63,58,59,62,70,67,76,83,73,89,89,92,87,84,91,83,83,81,80,69,20,17,16,17,12,68,68,68,68,67,69,70,69,80,80,85,80,83,85,83,24
202,TKI,16,GK,89,57,69,17,28,17,20,20,30,29,66,16,28,18,17,18,22,72,66,83,17,19,32,20,20,62,30,68,82,43,92,89,88,89,93,31,34,34,34,36,34,34,34,34,31,34,31,32,34,32,89
202,TKI,17,CB,88,82,78,53,62,58,28,57,61,76,79,41,67,26,34,59,81,70,76,88,86,94,86,89,91,91,84,96,88,84,12,21,18,12,16,66,64,66,64,68,66,73,66,83,78,88,78,81,88,81,23
202,TKI,17,CAM,86,72,78,80,75,81,83,78,90,90,89,86,83,86,92,90,89,80,85,88,33,33,56,43,28,41,75,32,71,75,17,12,15,18,16,76,85,84,85,86,85,82,85,63,66,46,66,60,45,60,23
202,TKI,14,GK,84,62,61,20,27,21,14,21,26,44,72,18,39,17,23,16,21,33,57,82,15,18,31,19,21,66,36,38,73,32,85,88,77,85,83,31,34,35,34,38,36,39,36,36,33,33,33,33,32,33,84
202,TKI,16,LB,88,93,90,35,54,39,71,43,50,86,83,90,77,49,74,78,86,85,77,93,91,90,86,82,84,82,94,84,78,81,17,21,15,21,18,69,77,74,77,77,81,81,81,86,88,86,88,88,86,88,27
202,TKI,17,ST,88,84,77,93,92,71,93,84,84,82,70,39,51,62,67,79,87,91,70,92,18,17,67,89,27,97,86,68,89,83,11,16,13,15,20,88,80,84,80,81,77,74,77,61,60,56,60,58,55,58,23
202,TKI,15,RWB,82,90,84,61,66,62,76,51,47,83,71,85,76,54,64,81,75,78,86,84,89,83,79,70,75,83,90,86,71,77,16,11,14,21,13,73,77,75,77,76,79,77,79,81,82,80,82,82,80,82,22
202,TKI,18,CB,91,87,80,60,71,90,52,70,78,93,89,71,91,87,76,85,92,87,84,97,94,96,88,86,91,93,86,84,94,89,19,13,19,20,19,77,81,80,81,84,82,88,82,91,88,91,88,88,91,88,26
202,TKI,14,LW,81,86,88,79,80,65,81,70,76,78,74,85,74,66,76,87,81,83,80,80,45,35,42,67,41,72,83,73,72,75,13,20,14,12,13,78,81,80,81,79,81,74,81,62,66,55,66,63,56,63,21
202,TKI,16,CB,84,77,82,39,71,68,37,55,79,78,72,67,70,72,70,72,73,79,66,88,87,85,83,81,90,87,85,85,96,74,17,11,19,17,15,64,67,66,67,69,70,73,70,81,80,84,80,82,85,82,23
202,TKI,16,CB,85,72,74,47,51,47,30,51,36,74,69,47,60,42,35,53,76,63,78,80,84,91,83,92,80,93,82,90,84,81,12,13,11,12,19,61,60,60,60,63,62,68,62,79,75,85,75,78,85,78,21
202,TKI,16,CM,84,75,77,80,73,79,83,76,71,90,89,70,81,63,65,85,93,90,81,88,60,69,63,61,45,59,79,70,58,85,19,11,14,11,11,79,83,84,83,86,83,84,83,75,72,65,72,70,64,70,21
202,TKI,13,GK,83,53,48,26,28,20,18,18,26,41,24,15,39,14,20,16,29,50,49,80,15,21,31,15,18,65,27,71,60,71,84,81,77,87,86,32,31,32,31,32,32,33,32,35,31,34,31,31,34,31,83
202,TKI,18,CM,90,86,84,80,81,84,91,85,74,91,89,77,92,79,78,86,90,81,84,95,91,88,91,90,80,88,97,86,91,82,12,12,21,13,16,86,86,87,86,88,87,90,87,90,87,88,87,87,88,87,22
202,TKI,17,RB,86,94,96,55,84,54,79,34,64,84,71,88,76,46,74,76,83,79,74,90,86,88,81,74,84,89,92,81,69,76,20,15,18,12,18,76,79,78,79,77,81,79,81,83,86,83,86,86,83,86,24
202,TKI,16,ST,84,72,74,90,84,78,87,79,79,77,74,71,57,40,69,77,84,75,65,83,26,41,38,90,49,88,78,75,87,88,15,11,13,12,14,84,79,81,79,78,77,72,77,60,62,58,62,60,59,60,20
202,TKI,17,CAM,88,86,89,81,83,90,84,87,79,88,91,81,84,92,79,89,94,88,81,88,26,36,38,42,32,65,81,45,71,55,16,12,17,13,18,80,87,86,87,88,87,82,87,63,66,48,66,60,47,60,22
202,TKI,13,GK,83,39,29,29,58,60,19,48,60,70,64,62,56,57,40,19,19,39,71,91,18,19,21,29,25,71,60,59,73,47,83,90,75,84,76,39,40,40,40,44,43,48,43,43,41,36,41,38,37,38,83
202,TKI,18,CF,91,96,87,95,93,87,90,89,86,89,85,91,84,83,80,92,91,88,87,95,51,61,62,87,62,85,94,53,82,88,16,12,13,20,15,91,90,91,90,89,90,86,90,75,79,69,79,77,69,77,24
202,TKI,18,ST,91,87,83,97,95,84,94,92,84,80,72,62,69,58,66,84,89,79,74,93,30,31,30,94,36,94,82,73,98,97,15,11,11,16,13,91,84,87,84,84,82,76,82,61,62,57,62,59,58,59,22
