season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
225,TKL,22,CF,99,97,101,100,92,96,103,92,95,99,89,89,87,92,102,106,99,103,88,97,53,50,73,92,47,84,96,79,99,104,13,11,18,15,18,97,98,99,98,98,97,92,97,79,81,71,81,77,70,77,23
225,TKL,17,GK,99,58,26,15,36,17,21,18,33,41,37,16,28,16,17,16,35,82,86,88,20,18,27,15,19,90,50,72,82,75,96,104,94,102,105,33,32,33,32,35,33,35,33,38,34,38,34,33,38,33,99
225,TKL,16,CM,91,85,81,89,96,86,87,72,88,96,93,96,88,98,99,92,93,86,94,91,72,93,87,59,75,78,97,97,76,73,12,17,15,12,14,86,90,89,90,90,91,91,91,88,88,82,88,86,81,86,22
225,TKL,18,CDM,95,82,82,73,81,78,75,64,75,98,87,75,85,86,80,89,94,91,93,98,99,93,95,83,95,94,103,108,89,96,11,14,11,11,17,83,85,85,85,88,87,90,87,95,92,94,92,92,95,92,22
225,TKL,19,LB,93,100,101,76,79,69,77,76,64,86,81,95,81,85,81,107,95,106,91,94,102,93,88,76,85,67,106,89,84,86,14,17,13,10,12,83,91,88,91,89,92,88,92,89,94,87,94,93,87,93,22
225,TKL,19,RWB,95,97,99,82,81,93,87,69,78,86,86,93,81,87,74,96,97,96,101,94,97,95,92,73,93,93,107,101,76,92,12,16,11,11,20,87,92,90,92,90,92,90,92,92,95,91,95,94,91,94,23
225,TKL,16,LW,86,80,81,81,89,82,90,89,73,85,83,96,81,76,81,95,86,70,76,90,48,44,49,86,35,93,87,61,78,72,15,13,19,9,11,86,86,86,86,85,87,81,87,68,71,62,71,67,61,67,20
225,TKL,17,RB,92,98,90,71,89,79,78,83,71,95,85,90,81,86,66,92,89,76,92,92,93,95,88,67,95,93,101,92,85,87,13,11,11,9,10,83,87,86,87,86,88,88,88,91,93,89,93,92,90,92,19
225,TKL,17,RWB,92,90,89,77,105,89,79,74,97,92,92,92,79,81,76,87,93,62,77,98,91,88,90,87,96,91,95,86,86,96,12,18,19,13,14,87,87,88,87,87,89,89,89,90,92,90,92,92,90,92,23
225,TKL,21,CM,99,91,89,94,106,105,96,74,94,106,95,96,101,97,94,96,106,89,97,102,79,86,96,71,72,82,96,80,86,96,12,17,17,19,18,94,97,98,97,99,98,99,98,93,93,85,93,90,84,90,25
225,TKL,21,LW,99,106,107,96,101,101,97,92,91,96,97,100,90,107,84,103,93,105,93,96,35,30,45,88,30,76,94,106,90,90,19,14,14,12,13,96,99,98,99,97,98,89,98,70,74,60,74,69,60,69,23
225,TKL,17,CB,93,91,81,68,79,70,69,55,73,85,77,69,75,63,65,80,86,80,78,95,99,96,92,92,97,93,87,90,87,83,9,15,10,11,17,80,79,80,79,80,80,82,80,89,88,93,88,89,93,89,21
225,TKL,21,ST,99,96,95,102,98,97,105,95,100,89,81,69,81,69,97,91,96,91,101,99,60,53,69,106,57,101,82,78,104,88,12,11,21,17,15,99,92,95,92,92,90,87,90,77,77,76,77,76,76,76,23
225,TKL,17,CB,92,78,79,71,104,94,59,58,75,78,59,57,89,79,86,77,77,79,98,87,94,90,92,98,94,101,89,106,86,80,12,12,13,14,16,80,73,76,73,74,74,78,74,87,82,92,82,85,92,85,21
225,TKL,11,GK,81,47,28,15,30,22,18,20,17,46,58,18,47,22,14,25,18,56,71,80,32,18,30,16,19,67,57,44,62,65,76,83,79,83,85,29,31,32,31,36,34,40,34,39,34,34,34,33,34,33,81
225,TKL,16,LB,90,99,96,66,71,71,75,62,75,90,82,83,75,60,72,83,82,78,89,93,94,92,83,71,99,82,96,105,83,90,10,17,11,12,14,78,82,81,82,82,84,83,84,88,90,89,90,90,89,90,21
225,TKL,18,CAM,94,91,97,91,90,82,95,81,89,93,96,85,91,85,80,101,96,92,100,89,61,46,75,72,50,81,97,79,76,92,14,17,13,18,16,89,93,93,93,94,94,90,94,78,79,68,79,75,68,75,24
225,TKL,20,RW,98,108,108,94,90,98,101,77,85,94,95,93,84,76,80,101,95,107,93,100,60,62,60,68,52,78,102,80,89,96,10,10,10,14,17,93,98,97,98,97,97,91,97,78,83,70,83,79,69,79,22
