season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
207,TT,14,CB,84,74,76,42,61,49,57,40,52,81,69,58,87,34,62,60,79,64,71,84,87,85,88,85,83,83,78,82,87,85,13,13,12,10,15,65,66,66,66,69,69,75,69,83,78,84,78,80,84,80,20
207,TT,14,CB,84,76,72,26,61,38,45,27,46,80,46,39,72,30,28,63,80,62,56,82,87,88,85,83,85,83,78,83,75,77,13,13,12,10,15,60,60,61,60,62,63,69,63,80,76,84,76,78,84,78,20
207,TT,18,CAM,90,88,80,92,87,90,91,72,82,90,90,90,88,84,87,95,94,82,71,89,19,29,27,85,30,86,84,83,43,89,17,15,20,17,16,89,90,90,90,90,90,84,90,63,65,52,65,60,52,60,24
207,TT,17,CAM,90,88,87,92,87,94,90,72,82,91,88,90,88,84,87,95,94,82,71,89,19,29,27,84,30,86,84,83,43,89,17,15,20,17,16,89,91,91,91,90,90,84,90,63,65,52,65,60,52,60,24
207,TT,14,CDM,85,67,59,66,85,77,71,77,66,88,78,73,87,69,74,82,81,58,54,87,80,87,89,79,77,91,91,85,74,86,10,18,15,12,17,76,75,77,75,78,78,83,78,85,81,83,81,80,83,80,22
207,TT,14,CDM,85,75,73,67,86,78,72,78,67,87,78,74,86,70,75,79,80,59,55,87,80,87,89,80,77,91,91,85,75,87,10,18,15,12,17,77,76,78,76,78,79,82,79,85,82,83,82,82,83,82,22
207,TT,14,CM,84,85,81,77,79,80,75,75,66,88,82,70,83,74,74,83,89,87,88,86,78,81,83,56,72,62,91,74,85,84,10,19,18,18,14,77,81,81,81,83,82,84,82,82,81,76,81,80,75,80,23
207,TT,14,CM,84,85,81,78,80,80,73,74,69,89,80,71,84,76,74,83,90,88,91,86,80,82,84,59,73,65,91,77,87,86,11,20,19,19,15,78,82,82,82,83,82,84,82,83,82,77,82,81,77,81,24
207,TT,13,GK,86,58,54,34,38,29,22,35,37,41,77,33,40,32,26,31,32,41,44,82,25,22,41,35,24,84,65,34,61,74,84,89,90,86,87,41,41,42,41,44,44,45,44,42,41,39,41,40,38,40,86
207,TT,17,ST,91,91,91,97,95,90,94,95,96,85,78,82,67,88,85,82,86,79,76,88,31,65,45,95,56,90,94,82,94,90,10,11,15,14,14,91,86,88,86,85,85,80,85,69,72,67,72,71,68,71,20
207,TT,15,ST,86,86,90,88,88,84,88,85,89,79,86,70,69,84,78,85,84,87,91,89,32,53,71,91,37,79,86,74,85,90,10,17,11,14,12,86,84,86,84,84,83,80,83,69,69,64,69,67,62,67,21
207,TT,16,CM,86,71,69,70,83,82,77,69,75,89,87,70,87,76,73,74,89,70,76,91,88,90,93,81,91,89,89,98,81,89,12,18,16,18,18,79,78,80,78,82,80,86,80,90,85,89,85,85,89,85,24
207,TT,16,CB,89,87,84,46,65,40,41,33,43,79,57,49,69,22,35,48,66,56,58,89,92,89,89,93,93,98,80,89,90,86,15,11,16,13,9,64,60,61,60,62,64,68,64,82,79,89,79,82,89,82,20
207,TT,14,ST,85,69,67,92,90,86,91,88,90,78,77,65,74,76,69,71,82,58,63,90,38,35,45,91,42,78,80,56,90,93,11,19,18,11,15,85,78,82,78,79,77,76,77,62,62,57,62,60,58,60,22
207,TT,13,GK,87,50,45,12,26,11,14,16,24,20,65,16,28,11,14,17,27,45,56,90,12,11,15,10,9,88,35,84,78,25,89,82,71,93,89,29,30,31,30,33,31,32,31,31,26,32,26,26,32,26,87
