season_pk,season,pay_side,position,overall,Sprint_speed,Acceleration,Finishing,Shot_power,Long_shots,Positioning,Volleys,Penalties,Short_pass,Eyesight,Crossing,Long_pass,FK_Acc,Curve,Dribbling,Ball_control,Agility,Balance,Reflexes,Interpersonal_defense,Stand_tackle,Interception,Heading,Slide_tackle,Strength,Stamina,Aggression,Jumping,Composure,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,GK_Positioning,ST,LW,CF,RW,CAM,LM,CM,RM,CDM,LWB,CB,RWB,LB,SW,RB,GK
231,VTR,19,GK,101,55,65,25,52,25,35,28,34,51,66,29,58,16,28,41,51,88,92,103,28,25,36,28,34,77,46,55,95,93,102,98,93,101,108,46,49,49,49,52,50,52,50,48,45,44,45,43,44,43,101
231,VTR,14,GK,90,46,38,18,22,21,21,29,32,48,53,29,46,24,21,22,41,36,32,91,18,25,35,24,24,85,37,51,65,68,87,89,94,91,93,35,36,37,36,40,39,43,39,42,37,39,37,36,39,36,90
231,VTR,18,GK,99,69,65,18,35,25,31,19,27,29,78,19,57,21,18,16,35,81,90,103,23,32,59,26,34,82,67,91,96,83,105,90,95,103,99,38,40,41,40,44,43,48,43,51,45,49,45,46,48,46,99
231,VTR,23,ST,101,93,98,108,105,100,101,100,103,89,92,85,87,97,100,103,105,95,107,89,36,51,66,107,38,105,93,108,90,109,16,18,13,15,12,101,97,99,97,97,96,91,96,77,76,72,76,73,71,73,23
231,VTR,20,RM,98,104,100,88,90,92,94,82,88,96,95,106,97,89,101,105,96,103,97,101,56,62,58,74,46,80,97,71,46,94,12,17,9,14,13,91,98,96,98,97,98,93,98,79,83,68,83,78,66,78,23
231,VTR,16,CB,92,80,83,62,79,80,59,61,70,83,51,63,85,66,67,84,81,75,78,87,95,94,96,95,89,98,86,96,98,88,14,19,17,9,19,77,74,74,74,74,75,78,75,87,84,92,84,86,92,86,23
231,VTR,20,ST,99,98,101,106,106,101,105,98,98,88,85,74,72,89,96,98,101,100,108,106,41,38,35,87,25,82,93,78,99,103,10,17,11,16,13,99,96,99,96,96,94,86,94,67,70,60,70,66,60,66,23
231,VTR,22,ST,101,105,101,106,108,109,108,99,103,98,97,89,100,104,108,101,95,101,111,101,89,58,59,92,68,95,101,101,101,101,13,14,16,10,11,101,100,101,100,100,99,95,99,85,86,81,86,83,82,83,21
231,VTR,16,LB,92,91,88,68,93,85,87,66,87,90,84,93,93,77,83,89,89,80,91,97,83,96,92,90,96,85,101,94,78,90,8,7,9,7,8,85,87,86,87,87,89,90,89,91,92,90,92,92,90,92,17
231,VTR,15,GK,92,47,59,19,35,28,31,22,29,38,61,24,46,25,28,23,24,71,75,87,25,25,34,19,29,78,38,48,83,69,94,93,86,92,96,35,37,37,37,40,38,40,38,40,36,38,36,36,38,36,92
