팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과,시즌 & 이름
01-03 성남FC 리그3연패 베스트,"2001년, 2002년, 2003년 K리그 3연패를 달성한 성남FC 선수들로 구성된 팀컬러입니다.",5명,-,-,-,골 결정력 +3 / 슛 파워 +2 /  / ,-,-,-,"['TKL 김상식', 'TKL 김영철', 'TKI 김도훈', 'TKI 윤정환', 'TKI 김상식', 'TKL 이기형', 'TKL 김도훈', 'TKL 윤정환', 'TKI 김영철']"
02 수원삼성 더블,2002년 FA컵과 아시아 챔피언스 리그를 우승한 수원삼성 블루윙즈 선수들로 구성된 팀컬러입니다.,5명,-,-,-,크로스 +2 / 반응 속도 +2 / 커브 +1 / ,-,-,-,"['TKL 서정원', 'TKL 김두현', 'TKL 고종수', 'TKI 최성용', 'CAP 이운재', 'TKI 신홍기', 'BWC 이운재', 'TKL 이운재']"
09 포항 스틸러스 더블,2009년 리그컵과 아시아 챔피언스 리그를 우승한 포항 스틸러스 선수들로 구성된 팀컬러입니다.,5명,-,-,-,볼 컨트롤 +2 / 밸런스 +2 / 대인 수비 +1 / ,-,-,-,"['20KL 김광석', '17 김재성', '19PLA 김광석', '20KLB 김광석', '18PLS 최효진', '21KL 김광석', '18PLS 김광석', 'TKL ', 'TKL 김기동', 'TKL 황지수', 'LIVE 김광석', '21 최효진', 'TKL 김광석', 'TKL 최효진']"
10 FC서울 더블,2010년 K리그와 리그컵을 우승한 FC서울 선수들로 구성된 팀컬러입니다.,5명,-,-,-,골 결정력 +2 / 대인 수비 +2 / 헤더 +1 / ,-,-,-,"['20KLB ', '22KLB 김태환', '19 ', '21KLB 김태환', '22KLB 정승용', 'LIVE 고요한', 'LIVE 정승용', 'LIVE ', 'TKL ', '20 데얀', '21 ', 'TKL 데얀', 'TKL 정조국', '20 정조국', '19 정승용', 'TKL 최효진', '19 김치우']"
13 포항 스틸러스 더블,2013년 K리그와 FA컵을 우승한 포항 스틸러스 선수들로 구성된 팀컬러입니다.,5명,-,-,-,스태미너 +2 / 짧은 패스 +2 / 시야 +1 / ,-,-,-,"['18PLS 김원일', 'LIVE ', '20KL ', '19PLA 김원일', '21KL 고무열', 'TKL 황지수', 'TKL 김광석', 'LIVE 신광훈', 'TKL 고무열', '20KLB 김광석', '21KLB 신진호', '21KL 신진호', '18PLS 김광석', '19 김원일', '20KL 신진호', '22KL 신광훈', '20KL 김광석', '17 ', 'TKL ', 'TKL 김승대', 'LIVE 김광석', 'LIVE 고무열', '22KL 고무열', '21KL 김광석', '18PLS 김승대', '18PLS 신광훈', '22KLB 신진호', 'OTW ', '21KL 김승대']"
14-15 전북현대 리그연패 베스트,"2014년, 2015년 K리그 2연패를 달성한 전북현대 선수들로 구성된 팀컬러입니다.",5명,-,-,-,골 결정력 +2 / 가속력 +2 / 크로스 +1 / ,-,-,-,[]
17-19 전북현대 리그3연패 베스트,"2017년, 2018년, 2019년 K리그 3연패를 달성한 전북현대 선수들로 구성된 팀컬러입니다.",5명,-,-,-,밸런스 +2 / 짧은 패스 +2 / 크로스 +1 / ,-,-,-,"['2019KFA 김신욱', 'WC22 이용', '22KFA 이용', '2019KFA 김민재', '2019KFA 이재성', 'LH 이동국', '22PLA 김민재', 'TKL 고무열', 'VTR 이동국', '2019KFA 이용', 'TKL 최보경', 'TKL 한교원', '20KLB 이용', 'TKL ', 'SPL 김민재', '22KLB 김진수', 'WC22 ', 'TKL 이주용', 'WC22 김진수', '22KFA ']"
2002 대한민국,2002 대한민국 선수들로 구성된 팀컬러입니다.,5명,-,-,-,스태미너 +2 / 몸싸움 +2 / 적극성 +1 / ,-,-,-,[]
2006 잉글랜드,2006 잉글랜드 선수들로 구성된 팀컬러입니다.,5명,-,-,-,긴 패스 +2 / 중거리 슛 +2 / 속력 +1 / ,-,-,-,"['LIVE 시오 월콧', '18 ', '17 존 테리', '21 아론 레넌', '20 웨인 루니', 'TC 마이클 오언', '20 ']"
2019 U-20 대한민국,2019 U-20 대한민국 선수들로 구성된 팀컬러입니다.,5명,-,-,-,볼 컨트롤 +2 / 긴 패스 +2 / 짧은 패스 +1 / ,-,-,-,"['20KLB ', '20KLB 엄원상', '19NG 이강인', 'FA 이강인', '21KFA ', '22KLB 엄원상', 'TKL 조영욱', '21KLB 조영욱', '22KFA 엄원상', '22KFA 조영욱', '21KFA 엄원상', '21KFA 이강인', '22KLB 고재현']"
